Electorate Candidate and Party Votes Recorded at Each Polling Place
"East Coast Bays 11","Candidate Vote Details"
,,"DYER, Simonne Marie","GOLDSMITH, Vivienne Jayne","HUTTON, Toby James","McCULLY, Murray Stuart","STANSFIELD, Brett Thomas","Total Valid Candidate Votes","Informal Candidate Votes"
"Albany","Albany Community Hall, 3/21 Library Lane",6,52,6,136,28,228,4
,"Albany School, 6 Bass Road",2,13,0,57,12,84,3
,"Massey University, Gate 4, 82 Turtea Drive",6,24,0,63,8,101,8
,"Oteha Valley School, corner Oteha Valley Road & Medallion Drive",92,299,31,1122,92,1636,50
,"Pinehurst School  75 Bush Road",32,91,15,466,45,649,34
"Browns Bay","Browns Bay Red Cross Centre, 5 Glencoe Close",80,255,18,979,150,1482,32
,"Browns Bay School, Masterton Road",63,228,24,1148,151,1614,23
,"Northcross Intermediate School, 10 Sartors Avenue",88,199,19,945,138,1389,28
,"Pinehill School, corner Hugh Green Drive & Spencer Road",61,310,46,1177,98,1692,55
,"Progress Hall, (under Bays Club)  6 Anzac Road",59,207,10,733,102,1111,36
,"Salvation Army East Coast Bays Hall, 5 Bayview Road",62,153,5,662,94,976,25
"Campbells Bay","Campbells Bay Methodist Church Hall, 218 Beach Road",0,7,4,42,4,57,1
"Forrest Hill","Forrest Hill Presbyterian Church Hall, 151 Forrest Hill Road",2,14,1,20,3,40,3
"Glenfield","Glenfield Community Centre, corner Glenfield Road & Bentley Avenue",12,124,8,148,24,316,10
,"Glenfield Primary School, 101 Chivalry Road",16,232,8,318,66,640,24
,"Manuka Road Primary School, 34 Manuka Road",13,57,2,112,9,193,6
,"Meadowood Community House, 55 Meadowood Drive (off Unsworth Drive)",73,337,18,612,81,1121,40
,"Target Road Primary School, 80 Target Road",71,465,23,873,122,1554,66
"Long Bay","Long Bay Baptist Church, 282 Glenvar Road",63,140,7,436,69,715,17
,"Long Bay College, 20 Ashley Avenue",20,50,5,249,33,357,9
"Mairangi Bay","Mairangi Bay Presbyterian Church Hall, 11 Hastings Road",16,47,4,258,46,371,10
,"Mairangi Bay School, Galaxy Drive entrance",4,30,3,110,14,161,5
,"Rangitoto College, 564 East Coast Road",49,193,24,810,103,1179,32
"Milford","Carmel College, 114 Shakespeare Road",2,9,0,19,5,35,1
,"Milford School, 34 Shakespeare Road",0,5,0,38,5,48,2
,"North Shore Hospital, Shakespeare Road",1,20,1,35,14,71,1
"Murrays Bay","Murrays Bay Intermediate School, 37 Sunrise Avenue",48,157,16,661,78,960,21
"Redvale","East Coast Bays Bible Baptist Church, 1092 East Coast Road",29,59,5,235,44,372,14
"Sunnynook","Sunnynook School, 27 Lyford Crescent",0,31,4,46,5,86,5
,"Wairau Intermediate School, 113 Becroft Drive",15,150,3,281,44,493,18
"Takapuna","Takapuna School, 23 Auburn Street (or Anzac Street entrance)",2,14,0,42,7,65,0
"Torbay","Glamorgan School, 145 Glamorgan Drive",90,281,17,1094,133,1615,33
,"Torbay School, 60 Deep Creek Road",90,331,18,1163,169,1771,32
,"Torbay Senior Citizens Club, Torbay Shopping Centre, 37 Watea Road",102,344,9,1012,205,1672,36
"Unsworth Heights","Westminster Christian School, 31 Westminster Gardens (off Unsworth Drive)",56,219,17,563,52,907,25
"Westlake","Westlake Boys High School, 30 Forrest Hill Road",0,10,1,20,1,32,4
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in East Coast Bays",141,472,41,2124,193,2971,94
,"Ordinary Votes BEFORE polling day - Taken in Helensville",7,18,0,72,11,108,2
,"Ordinary Votes BEFORE polling day - Taken in North Shore",18,60,3,241,25,347,13
,"Ordinary Votes BEFORE polling day - Taken in Northcote",22,182,5,249,32,490,12
,"Special Votes BEFORE polling day",10,69,3,215,29,326,9
,"Special Votes On polling day",87,442,40,1280,239,2088,55
,"Overseas Special Votes including Defence Force",4,53,3,228,49,337,4
,"East Coast Bays Total",1614,6453,467,21094,2832,32460,902
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33362
"Electorate Candidate Valid Votes","Party",,"McCULLY, Murray Stuart - majority 14641"
"DYER, Simonne Marie",Conservative Party,1614,.0497227357
"GOLDSMITH, Vivienne Jayne",Labour Party,6453,.1987985213
"HUTTON, Toby James",ACT New Zealand,467,.0143869378
"McCULLY, Murray Stuart",National Party,21094,.6498459643
"STANSFIELD, Brett Thomas",Green Party,2832,.087245841
