Electorate Candidate Votes Recorded at Each Voting Place
"Te Tai Hauāuru 68","Candidate Vote Details"
,,"McDONALD, Jack Baxter","McKENZIE, Christopher Owen","RURAWHE, Adrian Paki","WINIATA-HAINES, Jordan","Total Valid Candidate Votes","Informal Candidate Votes"
,Mana
"Aotea","Horouta Marae, 5 Whitford Brown Avenue",8,25,31,5,69,0
,"Summerset Aotea Village, 15 Aotea Drive",1,6,8,0,15,0
"Ascot Park","Rangikura School, 95 Conclusion Street",6,8,36,4,54,1
"Cannons Creek","Cannons Creek School, 5 Warspite Avenue",11,12,27,11,61,1
,"Glenview School, 106 Bedford Street",1,2,6,1,10,1
,"Maraeroa School, 47 Driver Crescent",6,8,3,3,20,1
,"Russell School, 18 Fantame Street",7,4,20,1,32,2
"Elsdon","Porirua School, 1 Awarua Street",20,45,47,18,130,1
"Kenepuru","Kenepuru Hospital, Hospital Drive (off Raiha Street)",2,2,8,2,14,1
"Linden","Linden School, 60 Ranui Terrace",3,0,3,2,8,0
,"Linden Social Centre, 10 Linden Avenue",6,9,12,0,27,0
,"Tui Park Kindergarten, 12b Mexted Terrace",2,5,12,0,19,0
"Mana","St Barnabas' Church Hall, 106a Mana Esplanade",8,9,2,3,22,1
"Paekakariki","Paekakariki School, Wellington Road",22,3,5,1,31,0
,"St Peter's Village Hall, corner Beach Road & Ames Street",14,8,7,1,30,1
"Papakowhai","Papakowhai School, 17 Spey Place",6,5,11,0,22,0
"Paraparaumu","Paraparaumu School, Ruapehu Street",7,10,9,2,28,1
"Paremata","Paremata School, 43 Paremata Crescent",8,8,5,2,23,0
"Pauatahanui Village","Pauatahanui School, 12 Paekakariki Hill Road",2,6,2,0,10,1
"Plimmerton","Plimmerton School, 11 School Road",8,14,11,1,34,1
"Porirua City","North City Mall, Shop 150, Ground Floor by escalator, 2 Titahi Bay Road ",22,54,43,17,136,0
,"Whitireia Polytechnic, Block E, 2 Wi Neera Drive",5,21,16,5,47,1
"Porirua East","Porirua East School, 8 Martin Street",14,19,37,5,75,6
,"Windley School, 146 Mungavin Avenue",3,8,18,4,33,1
"Pukerua Bay","Pukerua Bay School, 89 Rawhiti Road",7,3,6,0,16,0
"Raumati Beach","Raumati Beach School, 26-34 Raumati Road",19,19,12,5,55,0
"Raumati South","Raumati South Memorial Hall, Tennis Court Road (opposite No 25)",2,6,7,0,15,2
,"Raumati South School, 56 Matai Road",3,8,3,0,14,1
"Titahi Bay","Garage at 99 Gloaming Hill",5,19,17,5,46,0
,"Ngati Toa School,  44 Piko Street",14,22,25,8,69,1
,"Niblick Hall, 1 Niblick Lane",10,28,42,2,82,0
,"Titahi Bay Intermediate School, 16 Kahutea Terrace",12,23,36,10,81,1
,"Titahi Bay North School, 47 Jillett Street",17,10,27,3,57,0
,"Titahi Bay School, 11 Kura Street",7,12,16,4,39,0
"Waitangirua","Corinna School, 36 Kalingo Street",5,7,17,6,35,0
,"Natone Park School, 6 Kokiri Crescent",8,11,36,4,59,0
,"Te Kura Māori o Porirua, 392 Warspite Avenue",5,27,20,7,59,0
"Whitby","Discovery School, Pullen Lane",2,12,5,3,22,0
,"Postgate School, 3 Staithes Drive North",6,10,8,1,25,1
