Electorate Candidate and Party Votes Recorded at Each Polling Place
"Wellington Central 59","Candidate Vote Details"
,,"APPLEBY, Michael George","BROOKES, Grant Donald","CLEMENT, Rebekah Catherine","DARNTON, Bernard Timothy","FRANKS, Stephen Leslie","FRANKS, Donald George","HARNISH, Justin ","KEDGLEY, Susan Jane","MANSELL, Allan Joseph","ROBERTSON, Grant Murray","ROY, Heather Jean","SMITH, Vaughan","SOMERSET, David","WALLIS, Richard Anthony","Total Valid Candidate Votes","Informal Candidate Votes"
"Brooklyn","Brooklyn Community Centre, 18 Harrison Street",21,6,4,0,438,3,1,197,2,690,26,10,8,1,1407,7
,"Brooklyn School, 58 Washington Avenue",9,0,0,0,343,7,1,110,0,355,11,1,2,1,840,5
"Chartwell","Crofton Downs Primary School Hall, 1 Chartwell Drive",1,0,0,0,6,0,0,5,0,10,0,1,0,0,23,0
"Hataitai","Hataitai Bowling Club, Upstairs Lounge, 159 Hataitai Road",2,0,0,0,9,0,0,13,0,17,0,0,0,0,41,0
"Johnsonville","Broderick Road Chapel, 17 Broderick Road",0,0,1,0,6,0,0,4,0,4,0,0,0,0,15,0
"Karori","Karori Baptist Church, 161-163 Karori Road",7,1,0,1,527,3,0,100,1,353,29,3,3,0,1028,2
,"Karori Normal School, Donald Street",9,0,1,1,801,4,13,154,2,641,76,4,6,0,1712,4
,"Karori Playcentre, 64 Campbell Street ",3,3,0,1,390,4,0,74,0,356,28,2,3,2,866,5
,"Karori West School, Allington Road",4,3,1,5,488,2,0,117,0,575,30,9,3,0,1237,9
,"Karori West Scout Hall, 21 Sunshine Avenue",5,0,4,1,185,3,1,47,1,288,11,8,2,0,556,9
,"St Teresa's Parish Hall, 301 Karori Road",5,2,3,1,614,1,1,116,1,471,35,5,7,1,1263,11
"Kelburn","Kelburn Normal School, 16 Kowhai Road",5,0,2,3,346,3,0,107,0,386,16,1,0,1,870,2
,"St Michael's and All Angels Parish Hall, 83 Upland Road",16,3,3,4,471,3,0,152,3,587,24,14,3,4,1287,2
"Khandallah","St Barnabas Parish Hall, 35 Box Hill",0,0,0,0,7,1,0,2,0,6,0,0,0,0,16,0
"Makara","Makara Model School, 399 Makara Road",3,0,2,0,81,0,1,5,2,61,3,1,1,0,160,0
"Mt Cook","St Paul's Lutheran Church, 12 King Street",6,0,0,0,86,1,0,55,1,98,12,4,2,1,266,1
"Mt Victoria","Clyde Quay School, 27 Elizabeth Street",16,1,3,3,672,10,0,285,1,778,32,8,6,1,1816,12
,"St Joseph's Church, Bill Pearce Room, 150 Brougham Street",5,0,4,0,121,1,0,66,0,179,10,0,0,0,386,0
"Newtown","Newtown School Hall, corner Riddiford & Mein Streets",4,2,0,0,34,1,0,33,0,75,2,3,3,0,157,2
,"St James Presbyterian Church Lounge, 235 Adelaide Road",1,0,0,0,6,0,0,3,0,11,1,0,0,0,22,0
,"Te Whaea National Dance & Drama Centre, 11 Hutchison Road",0,1,0,1,48,0,0,47,1,87,1,1,0,0,187,1
,"Wellington Hospital, Te Ao Marama Training Centre, Riddiford Street (main entrance)",2,0,1,0,16,2,0,7,0,27,1,0,0,0,56,1
"Ngaio","Ngaio Town Hall, 1 Ottawa Road",1,0,0,0,12,0,0,11,0,19,4,1,0,0,48,0
"Northland","Northland School, 14 Harbour View Road",4,0,2,1,320,3,1,82,1,378,11,3,5,0,811,2
,"St Anne@Ward Church Hall, 69 Northland Road",12,0,3,0,212,6,1,92,1,345,12,2,2,4,692,2
"Oriental Bay","Overseas Terminal, 1 Herd Street (off Oriental Parade)",7,1,4,1,480,3,0,133,0,246,16,4,3,0,898,3
"Roseneath","St Barnabas Church Hall, 15 Maida Vale Road",0,0,0,1,53,0,0,9,0,14,1,0,1,0,79,0
"Thorndon","St Mary's College, Guilford Terrace",0,0,1,1,177,1,0,52,0,153,12,0,2,0,399,5
,"Thorndon School, 19b Hobson Crescent",7,0,3,0,411,3,1,74,1,353,24,4,2,1,884,8
