Electorate Candidate Votes Recorded at Each Voting Place
"Waiariki 71","Candidate Vote Details"
,,"FLAVELL, Te Ururoa James William Ben","SPELLMAN, Patrick John Junior","SYKES, Annette Te Imaima","WAITITI, Rawiri Wikuki","Total Valid Candidate Votes","Informal Candidate Votes"
,Bay of Plenty
"Katikati","Katikati Primary School, 24 Beach Road",12,0,4,11,27,0
,"Katikati War Memorial Hall, 29-31 Main Road",23,2,11,11,47,1
,East Coast
"Awakeri","Awakeri School, 974 State Highway 30",33,0,12,9,54,0
"Cape Runaway","Te Kura Mana Māori o Whangaparaoa, State Highway 35",11,0,1,28,40,0
"Coastlands","Rangitaiki Independent School, 33 Meadow Vale",15,0,2,5,22,0
"Edgecumbe","Edgecumbe College, 100 College Road",53,3,29,37,122,1
"Galatea","Galatea School, Mangamate Road",6,0,1,2,9,2
"Kawerau","District Council, Town Hall, Ranfurly Court",131,2,181,121,435,6
,"Putauaki School Hall, 87 Fenton Mill Road",45,1,44,39,129,3
"Kutarere","Kutarere School, 461 State Highway 2",19,1,13,22,55,2
"Maketu","Maketu School, School Road",63,1,29,44,137,3
"Matata","Matata Public School, 43 Pollen Street",46,2,30,24,102,2
"Minginui","Minginui Health & Kokiri Centre, 63 Rimu Crescent",11,0,32,16,59,0
"Murupara","Murupara Municipal Hall, Pine Drive",124,1,60,50,235,3
"Ohope","Ohope Beach School, 170 Pohutukawa Avenue",14,0,1,7,22,0
,"Ohope Community Hall, Bluett Road",20,2,4,10,36,2
"Omaio","Te Kura o Omaio, School Road",15,0,6,48,69,3
"Omarumutu","Omarumutu School, 141 Omarumutu Road",5,0,13,11,29,0
"Opotiki","Opotiki College Hall, St John Street",60,4,45,75,184,2
,"Opotiki Senior Citizens Hall, 1 King Street",53,1,65,116,235,5
"Otakiri","Otakiri School, Staff Room, 571 Otakiri Road",8,0,0,2,10,0
"Otamarakau","Otamarakau School, Room 2, 2216 Old Coach Road",4,0,7,1,12,0
"Paengaroa","Paengaroa School, Multi Purpose Room, 33 Old Coach Road",30,0,9,15,54,2
"Pongakawa","Pongakawa School, 956 Old Coach Road",7,0,3,5,15,0
"Pukehina","Pukehina School, 1762 Old Coach Road",3,0,6,1,10,0
"Pukehina Beach","Pukehina Community Hall, 14 Pukehina Parade",32,3,10,23,68,2
"Raukokore","Raukokore School, State Highway 35",13,0,10,45,68,0
"Ruatahuna","Huiarau School, 98 Sister Annie Road",41,1,23,16,81,0
"Ruatoki North","Te Kura o Tawera, 164 Ngahina Road",31,0,22,19,72,2
"Taneatua","Taneatua School, 44 McKenzie Street",60,2,54,39,155,6
"Te Kaha","Te Whanau-a-Apanui Area School, State Highway 35",25,1,21,57,104,3
"Te Teko","Te Kura o Te Teko School Hall, 6 Te Teko Road",108,1,96,57,262,2
"Thornton","Thornton School Hall, 43 Eastbank Road",5,0,2,2,9,0
"Torere","Te Kura o Torere, 2276 State Highway 35",15,1,9,15,40,0
"Waimana","Nukuhou North School, State Highway 2",5,0,5,2,12,0
,"Waimana School, 6 Raroa Road",45,1,37,28,111,2
"Waiohau","Te Kura Kaupapa Māori O Waiohau, 2481 Galatea Road",18,0,21,2,41,1
"Whakatane","Allandale School, 167 King Street",69,0,62,59,190,2
,"District Council, 9 Commerce Street",114,1,63,70,248,4
,"Reads Auction Hall, 17 King Street",98,2,78,59,237,5
,"Salvation Army Hall, 87 King Street",54,1,34,50,139,1
,"Te Whare Kura o Ruatoki, 16 Mission Road",72,0,29,19,120,0
,"Whakatane Intermediate School Hall, 101 James Street",70,0,47,42,159,2
"Woodlands","Woodlands School, 168 Dip Road",3,0,1,4,8,0
,Napier
"Tuai","Tuai Public Hall, corner Main Road & Waikare-Taheke Street",12,0,15,18,45,0
,Rotorua
"Broadlands","Broadlands School, 2986 Broadlands Road",7,0,0,7,14,0
"Hamurana","Hamurana Play Centre, 38 Tauranga Direct Road",11,0,4,0,15,0
"Horohoro","Horohoro School, 69 Apirana Road",24,0,5,6,35,1
"Kaingaroa Forest","Administration Building, Dun Road",27,1,22,28,78,0
"Koutu","Te Kura O Te Koutu, 41-45 Russell Road ",86,1,44,44,175,3
"Lake Okareka","Lake Okareka Community Hall, 75 Loop Road",7,0,1,0,8,2
"Lake Rerewhakaaitu","Lake Rerewhakaaitu School, 9 Ash Pit Road",9,1,6,2,18,0
"Lake Rotoma","Rotoma and Rotoehu Community Hall, 167 State Highway 30",10,0,11,5,26,0
"Lynmore","Lynmore School, corner Te Ngae & Iles Roads",60,2,22,17,101,3
,"Lynmore Scout Hall, Lewis Road",17,1,2,3,23,2
"Mamaku","Mamaku School, 54 Tarena Street",21,0,9,15,45,2
"Ngakuru","Ngakuru School, 913 Whirinaki Valley Road",10,0,1,1,12,0
"Ngapuna","Hurunga Marae, 15 Hurunga Street",39,0,59,19,117,4
"Ngongotaha","Ngongotaha Community Hall, 5 School Road",170,2,54,53,279,4
"Ohauiti","Ohauiti Settlers Hall, 459 Ohauiti Road",9,1,3,0,13,0
"Okere Falls","Whangamarino School, 637 State Highway 33",45,1,39,18,103,3
"Owhata","Owhata School Hall, 29-37 Brent Road",66,1,37,35,139,1
,"St Mark's Anglican Hall, corner Sunrise Avenue & Te Ngae Road",108,3,78,47,236,0
"Reporoa","Mihi School, 76 Springs Road",7,0,1,6,14,0
,"Reporoa Primary School, 34 Massey Road",24,1,8,19,52,1
"Rotoiti","Te Kura Kaupapa Māori O Te Rotoiti, 1620 State Highway 30",30,0,36,7,73,0
"Rotokawa","Rotokawa School, 6 Rotokawa Road",43,0,22,13,78,0
"Rotorua","Aorangi School, 3 Gem Street",123,1,77,76,277,11
,"Electorate Headquarters, Zen Centre, Level 2, 1135 Arawa Street",49,1,41,30,121,1
,"Gandhi Hall, 14-16 Gibson Street",61,0,24,23,108,3
,"Glenholme School Hall, 149 Ranolf Street",48,0,34,50,132,2
,"Homedale Kindergarten, 50 Homedale Street",48,0,17,24,89,1
,"Kaitao Middle School, 30 Bell Road",48,0,37,44,129,4
,"Kawaha Point School, 72 Aquarius Drive",118,1,38,54,211,4
,"Malfroy School, 196 Malfroy Road",104,4,67,63,238,2
,"Otonga School Hall, 105 Otonga Road",39,0,17,19,75,0
,"Rotorua Intermediate School, 93-95 Malfroy Road",73,0,40,41,154,5
,"Rotorua Primary School Hall, corner Rangiuru and Arawa Streets",118,1,49,52,220,4
,"Rotorua Public Hospital, Pukeroa Street",29,0,18,17,64,4
,"St Andrew's Church Hall, 309 Old Taupo Road",49,1,45,25,120,0
,"St Chad's Communication Centre, 2 Devon Street",25,0,19,21,65,0
,"St John's Ambulance Hall, 31 Pererika Street",36,0,19,23,78,3
,"St Michael's Catholic School Hall, 168 Clayton Road",59,0,26,42,127,3
,"Sunset Primary School Hall, 150 Sunset Road",108,3,78,80,269,6
,"Waiariki Institute of Technology Cafeteria, Mokoia Drive",26,0,10,6,42,0
,"Westbrook School Hall, 362 Malfroy Road",80,1,47,39,167,1
,"Western Heights High School, 70 Old Quarry Road",118,2,53,53,226,2
"Te Puke","Te Puke Memorial Hall, 130 Jellicoe Street",102,4,53,73,232,7
,"Te Puke Primary School, corner Cameron Road & Kowhai Avenue",26,2,13,19,60,0
"Waikite Valley","Waikite Valley School, 1090 Waikite Valley Road",4,0,2,0,6,3
"Waitangi","Te Kura Kaupapa Māori o Te Matai, 309 State Highway 2",42,0,31,17,90,1
,Taupō
"Kinloch","Kinloch Community Hall, Kinloch Domain, 14 Mata Place",8,1,0,0,9,0
"Omori","Omori Community Hall, Taupo District Council Depot, 320 Omori Road",4,0,0,1,5,1
"Rangitaiki","Rangitaiki School, 27 Rangitaiki School Road",4,0,1,1,6,0
"Taupo","Acacia Bay Community Centre, 1 Wakeman Road",12,0,1,0,13,1
,"Active Arts, 5 Redoubt Street",8,1,1,3,13,0
,"Hilltop School, 90 Rokino Road",12,0,1,1,14,0
,"Hinemoa Kindergarten, 61 Hinemoa Avenue",13,1,10,10,34,0
,"Mountview School, 31 Rangatira Street",32,1,13,17,63,2
,"Rotary House, 12 Story Place",9,1,7,6,23,0
,"St Andrew's Anglican Church, 91 Titiraupenga Street",8,0,5,4,17,1
,"St Patricks School, 86 Acacia Bay Road",18,0,8,13,39,1
,"Tauhara College, 101 Invergarry Road",8,2,7,8,25,0
,"Tauhara Primary School, 90 Crown Road",29,1,6,7,43,5
,"Taupo Baptist Church Hall, corner Rifle Range & Taupo View Roads",55,0,28,21,104,1
,"Taupo Primary School, corner Tamamutu & Ruapehu Streets",37,3,15,10,65,0
,"Taupo Youth Arts Centre, 98 Richmond Avenue",11,1,5,15,32,0
,"Taupo-nui-a-Tia College, 122 Spa Road",34,1,12,22,69,0
,"Waipahihi School, 20 Parata Street",5,1,8,3,17,2
"Turangi","Kuratau School, 2244 State Highway 41",4,0,1,2,7,0
,"Te Kura o Hirangi, 29 Mawake Place",58,0,22,14,94,2
,"Town Gymnasium, Taupo District Council, 3 Town Centre",86,1,27,32,146,6
"Wairakei Village","Wairakei School, 2 Kauri Drive",21,0,11,14,46,1
"Waitahanui","Te Kura o Waitahanui, 107 State Highway 1",23,0,16,9,48,2
,Tauranga
"Bethlehem","Bethlehem Primary School Hall, 66 Carmichael Road",57,4,7,26,94,4
,"Bethlehem Tertiary Institute, 24 Elder Lane",6,0,1,0,7,0
"Mount Maunganui","Harbourside Netball Pavilion, Blake Park, Maunganui Road",8,1,5,6,20,0
,"Mt Maunganui College, 565 Maunganui Road",30,0,8,10,48,1
,"Mt Maunganui Primary School, 13 Orkney Road",17,1,1,4,23,2
,"Senior Citizens' Hall, 345 Maunganui Road",12,1,1,2,16,1
,"St Peter's Church Hall, 11 Victoria Road",4,1,2,2,9,0
"Pyes Pa","Aquinas College, 183 Pyes Pa Road",16,1,1,9,27,1
"Tauranga","Brookfield School, 20 Millers Road",70,3,24,44,141,9
,"Central Baptist Church Hall, corner Cameron Road & 13th Avenue",15,1,13,12,41,0
,"Greenpark School, 13 Lumsden Street",26,3,7,15,51,1
,"Greerton Community Hall, 1247 Cameron Road",69,7,29,61,166,3
,"Matua Community Hall, 110 Levers Road",13,1,4,14,32,2
,"Matua Dance Education Centre, 228b Levers Road",3,0,2,2,7,1
,"Merivale School, 26 Kesteven Avenue",47,2,34,48,131,5
,"Otumoetai Intermediate School, 5 Charles Street",17,3,11,10,41,0
,"Otumoetai School, 236 Otumoetai Road",33,3,11,18,65,2
,"Pillans Point School, 101 Maxwells Road",16,1,2,10,29,1
,"St Columba Church Hall, 502 Otumoetai Road",12,1,7,5,25,0
,"St Peter's Community Centre, 130 Spring Street",12,1,5,11,29,0
,"Tauranga Girls' College Hall, 930 Cameron Road",41,6,29,37,113,6
,"Tauranga Intermediate School, 30 18th Avenue",25,1,2,12,40,0
,"Tauranga Primary School Hall, 31 5th Avenue",15,1,7,13,36,2
"Tauriko","Tauriko School, 768 State Highway 29",5,0,0,2,7,0
,"Voting places where less than 6 votes were taken",24,1,5,12,42,2
,"Ordinary Votes BEFORE polling day",2720,80,1524,1538,5862,146
,"Special Votes BEFORE polling day",317,6,236,209,768,15
,"Special Votes On polling day",700,24,395,386,1505,20
,"Overseas Special Votes including Defence Force",80,1,73,50,204,1
,"Waiariki Total",9726,301,5482,5837,21346,451
,,,,,"Valid Candidate Votes plus Informal Candidate Votes",21797
"Electorate Candidate Valid Votes","Party",,"FLAVELL, Te Ururoa James William Ben - majority 3889"
"FLAVELL, Te Ururoa James William Ben",Māori Party,9726,.4556357163
"SPELLMAN, Patrick John Junior",NZ Independent Coalition,301,.0141010025
"SYKES, Annette Te Imaima",MANA Movement,5482,.2568162653
"WAITITI, Rawiri Wikuki",Labour Party,5837,.2734470158
