Electorate Candidate and Party Votes Recorded at Each Polling Place
"Hauraki-Waikato 64","Candidate Vote Details"
,,"GREENSILL, Angeline Ngahina","KARAMAENE, Te Ariki Derek","MAHUTA, Nanaia Cybele","TE MATAKI, Tau Huia","Total Valid Candidate Votes","Informal Candidate Votes"
"Takanini","Conifer Grove School Hall, 70 Walter Strevens Drive",11,0,19,18,48,2
,"Takanini Church of Christ Hall, 160 Great South Road",17,0,44,17,78,12
,"Takanini School Hall, 39 Takanini School Road ",32,1,86,18,137,17
"Waiau Pa","Waiau Pa School, Events Centre, 571 Waiau Pa Road",2,1,7,3,13,2
,Taranaki-King Country
"Kawhia","Kawhia Community Hall, 141 Jervois Street",25,0,56,7,88,6
"Kihikihi","Kihikihi Town Hall, Lyon Street",37,2,67,18,124,11
"Koromatua","Koromatua School, 355 Koromatua Road",1,0,4,4,9,0
"Ngahinapouri","Ngahinapouri School, 1185 Kakaramea Road",2,1,3,0,6,0
"Ohaupo","Ohaupo Memorial Hall, 98 Great South Road",5,1,9,3,18,3
"Oparau","Oparau Roadhouse, 4370 State Highway 31",2,1,4,2,9,1
"Pirongia","Pirongia School, 100 Beechey Street",1,0,15,9,25,0
"Raglan","Raglan Town Hall, 41 Bow Street",100,2,74,30,206,6
"Rukuhia","Rukuhia School Hall, Rukuhia Road",2,0,4,5,11,0
"Te Awamutu","Pekerau School, 742 Te Rahu Road",15,0,49,16,80,6
,"Te Awamutu College Hall, 938 Alexandra Street",19,0,24,24,67,3
,"Te Awamutu Courthouse, 53 Roche Street",10,0,30,8,48,9
,"Te Awamutu Intermediate School, 646 Hazelmere Crescent",18,1,26,3,48,10
,"Te Awamutu Primary School, 401 Teasdale Street",12,2,31,5,50,3
,"Te Wananga O Aotearoa, Gallery, 320 Factory Road",8,3,11,4,26,1
"Te Pahu","Te Pahu School, 671 Te Pahu Road",5,0,4,3,12,2
,Taupō
"Cambridge","Cambridge East School, corner Bowen & Williams Streets",2,0,16,4,22,1
,"Cambridge High School, 25 Swayne Road",3,0,4,0,7,0
,"Cambridge Middle School, corner Clare & Grey Streets",5,0,9,6,20,4
,"Cambridge Primary School, corner Wilson & Duke Streets",5,0,12,10,27,1
,"Cambridge Scout Hall, 1 Maclean Street",2,0,4,2,8,0
,"Leamington Bowling Club, Leamington Domain, 12 Scott Street",2,0,6,7,15,2
,"Leamington School, corner Lamb & Scott Streets",6,2,34,13,55,4
,"Raleigh Street Christian Centre, 24 Raleigh Street",13,1,34,5,53,3
"Hautapu","Hautapu School, corner Forrest & Hautapu Roads",1,0,2,4,7,0
,Waikato
"Fencourt","Goodwood School, 517 Fencourt Road",0,0,5,2,7,0
"Glen Massey","Glen Massey School, 897 Waingaro Road",3,0,11,2,16,2
"Gordonton","Gordonton School, 50 Woodlands Road",7,0,12,2,21,1
"Horotiu","Horotiu School, Horotiu Bridge Road",14,0,31,1,46,2
"Huntly","Civic Centre, Riverside Room, 148 Main Street",15,0,54,8,77,4
,"Huntly West Primary School, Paki Street",21,1,167,12,201,8
,"Kimihia School, Tamihana Avenue",2,0,31,2,35,2
,"Red Cross Hall, Hakanoa Street",7,0,40,9,56,6
,"St Anthonys Catholic School, 102 Bailey Street",2,0,27,0,29,2
,"Te Whare Oranga, 147 Harris Street",28,0,206,18,252,5
,"West Kindergarten, 26 Smith Avenue",16,2,82,6,106,6
"Kaiaua","Kaiaua School, 1061 East Coast Road",12,2,17,11,42,1
"Mangatangi","Mangatangi School, 2047 Mangatangi Road",1,0,15,3,19,0
"Mangatawhiri","Mangatawhiri School, 15 McKenzie Road",2,0,4,3,9,0
"Maramarua","Maramarua School, 2200 State Highway 2",4,1,15,10,30,0
"Matamata","Matamata College, 121 Firth Street",2,1,13,7,23,2
,"Matamata Primary School, 115a  Broadway",11,3,23,11,48,3
,"Memorial Centre, Tainui Street",19,1,31,14,65,5
"Matangi","Matangi School, 599 Matangi Road",8,1,6,10,25,3
"Mercer","Mercer School, 15 Glass Road",1,1,4,1,7,1
"Meremere","Meremere School, Meremere Lane",7,0,19,7,33,2
"Morrinsville","David Street School, 45 David Street",7,1,27,7,42,6
,"Kai-a-te-mata Marae, Kereone Road",17,1,44,2,64,3
,"Methodist Church Hall, 318 Thames Street",7,1,27,10,45,2
,"Morrinsville College, Alexandra Avenue",6,0,13,8,27,1
"Motumaoho","Motumaoho School, 2085 Hamilton Road",3,0,3,5,11,1
"Newstead","Newstead School, 429 Morrinsville Road",1,1,7,4,13,1
"Ngaruawahia","Ngaruawahia Primary School, Galileo Street",42,5,175,18,240,14
,"Turangawaewae Marae, River Road",48,0,194,12,254,11
,"Waipa School, Kia Toa Road",40,2,131,11,184,12
"Ohinewai","Ohinewai School, 39 Ohinewai South Road",0,0,5,1,6,1
"Okauia","Okauia Hall, 375 Okauia Springs Road",5,0,9,5,19,0
"Onewhero","Onewhero Area School, Hall Road",2,0,6,2,10,1
"Orini","Orini Combined School, 1389 Orini Road ",5,0,6,0,11,0
"Pokeno","Pokeno School, 54 Pokeno Road",8,1,19,6,34,5
"Port Waikato","Port Waikato Community Hall, Sunset Beach Car Park",8,0,19,8,35,1
"Pukekawa","Pukekawa School, 803 Highway 22",4,1,13,5,23,2
"Pukemiro","Pukemiro School, 4 John Avenue",2,0,9,1,12,0
"Puketaha","Puketaha School, 395 Puketaha Road",1,0,6,1,8,0
"Rangiriri","Rangiriri School, 39 Rangiriri Road",5,0,21,2,28,1
"Tamahere","Tamahere School, 37 Devine Road",4,0,12,1,17,1
"Taupiri","Taupiri School, Green Lane Road",10,0,30,4,44,7
"Tauwhare","Tauwhare School, 20 Scotmans Valley Road ",5,1,15,2,23,6
"Te Kauwhata","Te Kauwhata College, Waerenga Road",8,1,28,15,52,2
"Te Kohanga","Te Kohanga School, 976 Tuakau-Port Waikato Main Road",8,0,28,8,44,1
"Te Poi","Te Poi School, 3 Stopford Road",7,1,7,1,16,3
