Electorate Candidate Votes Recorded at Each Voting Place
"Napier 29","Candidate Vote Details"
,,"BAILEY, Paul Edward","McVICAR, Garth Neil","NASH, Stuart Alexander","O'NEILL, Mary Jelena","PULFORD, Barry Reece","WALFORD, Wayne Douglas","Total Valid Candidate Votes","Informal Candidate Votes"
"Te Pohue","Te Pohue School, 44 Richmond Road",4,52,11,0,1,30,98,0
"Tiniroto","Tiniroto School, 14 School Road",7,2,8,1,0,20,38,4
"Tuai","Tuai Public Hall, corner Main Road & Waikare-Taheke Street",4,2,12,0,0,6,24,0
"Tutira","Tutira School, 29 Matahorua Road",4,47,21,0,1,66,139,0
"Waerenga o Kuri","Waerenga-O-Kuri School, 1763 Tiniroto Road",3,8,12,0,2,55,80,1
"Wairoa","Taihoa Marae, 174 State Highway 2 North",7,25,92,0,0,44,168,3
,"Wairoa College, 20 Lucknow Street",32,79,283,3,1,182,580,12
"Westshore ","Westshore School, 13 Ferguson Avenue",15,135,162,0,1,211,524,5
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",297,2310,4786,20,20,3492,10925,79
,"Special Votes BEFORE polling day",92,162,471,1,1,395,1122,13
,"Special Votes On polling day",150,265,654,4,2,614,1689,17
,"Overseas Special Votes including Defence Force",40,35,183,1,1,182,442,4
,"Napier Total",1363,7603,15343,59,51,11493,35912,263
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36175
"Electorate Candidate Valid Votes","Party",,"NASH, Stuart Alexander - majority 3850"
"BAILEY, Paul Edward",Green Party,1363,.0379538873
"McVICAR, Garth Neil",Conservative,7603,.2117119626
"NASH, Stuart Alexander",Labour Party,15343,.427238806
"O'NEILL, Mary Jelena",Alliance,59,.0016429049
"PULFORD, Barry Reece",Democrats for Social Credit,51,.0014201381
"WALFORD, Wayne Douglas",National Party,11493,.3200323012
