Electorate Candidate Votes Recorded at Each Voting Place
"Waimakariri 57","Candidate Vote Details"
,,"ADCOCK-WHITE, Peter Dominic","COSGROVE, Clayton James","DOOCEY, Matthew Maurice ","HUNT, Reuben Timothy","PRICE, Benjamin Daniel","PROSSER, Richard Ivor","RERITI-CROFTS, Aroha Hohipera","Total Valid Candidate Votes","Informal Candidate Votes"
"Akaroa","Akaroa Area School Gymnasium, 141 Rue Jolie (Selwyn Avenue entrance)",0,2,14,1,0,0,0,17,0
"Belfast","Belfast Salvation Army, 794 Main North Road",2,293,348,32,13,16,1,705,1
,"Belfast School, 700 Main North Road",0,559,792,43,27,46,5,1472,7
"Bishopdale","Bishopdale School Hall, 465 Greers Road",0,22,48,4,0,1,0,75,2
,"Cotswold School Hall, 44 Cotswold Avenue",2,160,406,22,10,14,2,616,1
"Christchurch City","Christchurch Public Hospital, The Great Escape Cafe, First Floor, 2 Riccarton Avenue",0,30,17,4,2,1,1,55,1
,"St Michael's Church School Hall, corner Tuam & Durham Streets",0,7,13,2,0,1,0,23,0
"Clarkville","Clarkville School, 10 Heywards Road",0,145,342,14,9,8,1,519,2
"Cust","Cust School, 473 Earlys Road",0,212,319,35,12,16,2,596,3
"Eyreton","Eyreton Hall, corner Mandeville & South Eyre Roads",0,106,159,17,0,4,0,286,0
"Fernside","Fernside Preschool, 207 O'Roarkes Road",1,165,339,27,21,7,1,561,3
"Kaiapoi","Kaiapoi Co-operating Parish, Wesley Centre, 53 Fuller Street",4,670,361,39,14,38,5,1131,7
,"Kaiapoi High School Auditorium,  101 Ohoka Road",0,656,389,34,11,21,1,1112,7
,"Kaiapoi North School, 278 Williams Street",3,810,520,56,16,39,2,1446,7
"Kainga","Kainga Public Hall, Kainga Road",0,7,2,0,0,1,0,10,0
"Mairehau","Mairehau High School, 440 Hills Road",0,9,7,4,0,0,0,20,1
"Marshland","Marshland School, 329 Prestons Road",0,19,32,1,0,4,0,56,0
"Ohoka","Ohoka School, 261 Jacksons Road",1,200,519,31,12,12,1,776,0
"Ouruhia","Ouruhia School Library, 21 Turners Road",0,17,15,3,1,2,0,38,0
"Oxford","Jaycee's Room, 56 Main Street",11,563,707,111,54,43,2,1491,7
"Papanui","Casebrook Intermediate, 90 Veitches Road",2,466,460,62,20,26,3,1039,4
,"Northcity Church, 95a Sawyers Arms Road",0,25,33,2,1,5,1,67,0
,"Papanui High School, 30 Langdons Road",0,15,33,9,0,0,0,57,0
,"Papanui Primary School, 40 Winters Road",0,8,6,3,1,0,0,18,0
,"St Joseph's School, 4 Vagues Road",0,49,57,3,3,4,0,116,0
,"The Village Presbyterian Church Hall, corner Papanui Road & Frank Street",0,2,10,0,0,1,0,13,0
"Pegasus","Pegasus Bay School, 5 Solander Road",0,240,404,24,11,10,1,690,2
"Rangiora","Ashgrove School, 48 Seddon Street",1,495,535,26,31,28,1,1117,4
,"McAlpine Band Hall, 8a Good Street (in New World carpark)",0,563,624,58,59,49,4,1357,11
,"Rangiora Borough School, 157 King Street",4,738,702,72,64,49,7,1636,9
,"Rangiora High School, 125 East Belt (entry off Wales Street)",5,231,255,26,18,24,1,560,0
,"Rangiora New Life School, 2 Denchs Road",1,347,395,26,29,18,1,817,5
"Redwood","Northcote School, 26 Tuckers Road",0,59,53,3,8,6,0,129,1
,"Redwood Play Centre, 40 Dunedin Street",0,6,5,1,0,0,0,12,0
,"Redwood School, 51 Prestons Road",0,57,158,2,0,4,0,221,0
,"Redwood Scout Hall, 20 Sturrocks Road",0,89,172,9,4,2,0,276,5
"Swannanoa","Swannanoa School, 1305 Tram Road ",0,214,373,28,11,7,1,634,4
"Tuahiwi","Tuahiwi School, 206 Tuahiwi Road",0,99,88,14,6,6,3,216,4
"View Hill","View Hill School, 496 Island Road",0,34,72,6,6,5,1,124,0
"Waikuku Beach","Waikuku Beach Hall, corner Park Terrace & Domain Road",0,202,136,39,3,13,2,395,0
"West Eyreton","West Eyreton School, 1650 North Eyre Road",2,195,263,26,9,24,2,521,9
"Woodend","Woodend School, Main North Road",0,571,519,51,26,47,4,1218,11
,"Voting places where less than 6 votes were taken",0,1,1,0,1,1,0,4,0
,"Ordinary Votes BEFORE polling day",15,4181,4986,311,209,323,18,10043,53
,"Special Votes BEFORE polling day",2,293,355,36,22,20,0,728,4
,"Special Votes On polling day",4,806,1039,163,67,76,16,2171,16
,"Overseas Special Votes including Defence Force",2,119,180,26,5,2,2,336,1
,"Waimakariri Total",62,14757,17263,1506,816,1024,92,35520,192
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35712
"Electorate Candidate Valid Votes","Party",,"DOOCEY, Matthew Maurice  - majority 2506"
"ADCOCK-WHITE, Peter Dominic",Democrats for Social Credit,62,.0017454955
"COSGROVE, Clayton James",Labour Party,14757,.4154560811
"DOOCEY, Matthew Maurice ",National Party,17263,.4860078829
"HUNT, Reuben Timothy",Green Party,1506,.0423986486
"PRICE, Benjamin Daniel",Conservative,816,.022972973
"PROSSER, Richard Ivor",New Zealand First Party,1024,.0288288288
"RERITI-CROFTS, Aroha Hohipera",Māori Party,92,.0025900901
