Electorate Candidate and Party Votes Recorded at Each Polling Place
"Selwyn 47","Candidate Vote Details"
,,"ADAMS, Amy Juliet","COATES, David Andrew","DENNIS, Samuel James","MAIN, Philippa Ruth","ROGERS, Victoria Jane","WATSON, Ivor George","WILLIAMSON, Eleanor Gaye","WOODS, Willliam Edward","Total Valid Candidate Votes","Informal Candidate Votes"
"Aidanfield","ABC Development Learning Centre, 50 Kinsella Crescent",534,207,4,46,2,6,14,2,815,8
"Akaroa","Akaroa Gaiety Hall, 105 Rue Jolie",322,190,4,21,5,6,4,4,556,6
"Arthurs Pass","Arthurs Pass Community Hall, School Terrace",17,20,1,0,0,1,0,3,42,1
"Banks Peninsula","Duvauchelle Hall, Main Road",134,69,1,8,0,0,3,1,216,8
,"Le Bons Bay School, Le Bons Bay Road",24,28,2,3,0,1,0,0,58,0
,"Little Akaloa Community Hall, Main Road",28,11,0,3,0,0,1,0,43,0
,"Okains Bay School, Okains Bay Road",32,15,0,3,0,0,0,2,52,0
,"Pigeon Bay Boating Club, Wharf Road",26,11,0,1,2,0,0,0,40,1
,"Wainui Community Centre, Wainui Main Road",42,23,0,2,0,0,1,0,68,0
"Broadfield","Broadfield School, corner Shands & Robinsons Roads",285,63,3,4,2,9,2,9,377,3
"Brookside","Brookside St Luke's Sunday School Hall, Brookside-Burnham Road",92,33,2,5,1,1,3,0,137,1
"Burnham","Burnham School Hall, corner Chaytor Avenue & Godley Road",236,124,8,14,3,9,3,5,402,4
"Cashmere","Princess Margaret Hospital, 97 Cashmere Road, Entrance 4",57,45,2,6,0,5,3,0,118,3
"Christchurch City","ANZ Building, ground floor, 9 Cathedral Square",28,19,0,1,0,1,2,1,52,2
,"Christchurch Art Gallery, corner Worcester Boulevard & Montreal Streets",18,9,0,0,0,1,0,2,30,0
,"Christchurch Public Hospital, Great Escape Cafe, Riccarton Avenue",12,7,0,3,1,0,0,1,24,0
"Darfield","Darfield High School, McLaughlins Road",497,191,33,17,3,8,9,17,775,9
,"Malvern Order of St John, corner Currie Street & North Terrace",385,177,27,19,3,6,8,36,661,6
"Diamond Harbour","Diamond Harbour Community Centre, Waipapa Avenue",93,130,4,13,3,4,2,1,250,5
,"Diamond Harbour School, 13 Hunters Road",224,219,4,22,4,9,5,4,491,11
"Dunsandel","Dunsandel Community Hall, corner Dunsandel-Hororata & Browns Roads",376,124,7,16,4,12,4,15,558,7
"Glentunnel","Glentunnel School, Homebush Road",176,112,37,14,1,6,2,15,363,6
"Governors Bay","Governors Bay School, Jetty Road",234,187,2,13,4,4,4,0,448,7
"Greendale","Greendale School, corner Greendale & Bridge Roads",109,19,4,1,1,1,3,4,142,0
"Greenpark","Greenpark School, 155 Greenpark Road",166,50,0,8,2,3,2,10,241,1
"Halswell","Catholic Church Hall, 56 Nicholls Road",858,549,16,92,7,17,13,14,1566,19
,"Halswell School Hall, corner Kennedys Bush & School Roads",783,455,10,79,14,21,13,12,1387,25
,"St Mary's Anglican Church Hall, 329 Halswell Road",1033,645,17,106,18,19,14,12,1864,31
"Harewood","Harewood Playcentre, 719 Harewood Road",175,89,4,9,3,5,1,3,289,5
"Hei Hei","Gilberthorpe School, 163 Gilberthorpes Road",16,15,0,1,0,0,0,1,33,0
"Hillmorton","Rowley School, 48 Rowley Avenue",7,18,3,5,1,1,0,0,35,0
"Hornby","Hornby Library, Goulding Avenue",36,20,3,5,1,2,0,0,67,1
,"South Hornby School, Shands Road",18,14,0,2,0,1,0,1,36,0
,"St Columba's Church Hall, 452 Main South Road",19,21,2,5,1,2,0,2,52,0
"Hororata","Hororata Primary School Library, 2548 Bealey Road",256,80,12,5,2,7,4,18,384,0
"Irwell","Irwell Hall, corner Leeston & Selwyn Lake Roads",206,60,5,6,0,4,5,5,291,4
"Killinchy","Killinchy Community Centre, Leeston-Dunsandel Road",113,39,2,5,2,3,2,3,169,1
"Kirwee","Kirwee Model School, School Lane",416,101,13,8,3,10,1,9,561,8
"Ladbrooks","Ladbrooks School, 9 Barnes Road",222,72,2,11,1,4,0,6,318,2
"Lakeside","Lakeside Community Memorial Hall, corner Harts & Leeston Taumutu Roads",99,36,2,4,0,3,1,6,151,2
"Leeston","Leeston Consolidated School, 3 Selwyn Street",573,271,10,16,5,13,12,23,923,11
