Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Tonga 69","Candidate Vote Details"
,,"KATENE, Rahui Reid","LANGSBURY, Dora Roimata","OKEROA, Mahara","Total Valid Candidate Votes","Informal Candidate Votes"
,Christchurch Central
"Avonside","Avonside Early Childhood Centre, 43 Woodham Road",11,4,11,26,2
,"Avonside Scout Den, 11 Retreat Road",10,4,7,21,1
,"Christchurch Amateur Radio Club, 27 Galbraith Avenue",3,1,5,9,1
,"Holy Trinity Anglican Church Hall, 168 Stanmore Road",12,5,10,27,1
"Christchurch City","ANZ Building, ground floor, 9 Cathedral Square",13,5,15,33,2
,"Cathedral College, corner Barbadoes Street and Moorhouse Avenue",24,3,8,35,1
,"Christchurch East School, 311 Gloucester Street",17,11,12,40,1
,"Christchurch Public Hospital, Great Escape Cafe, Riccarton Avenue",10,3,3,16,0
,"Hagley Community College, 510 Hagley Avenue",3,0,3,6,0
,"HMNZS Pegasus, 419 Montreal Street",3,2,5,10,0
,"St Luke's Church, 250 Manchester Street",8,2,5,15,1
,"St Mary's Parish Hall, 375 Manchester Street",0,2,5,7,0
"Linwood","Linwood Bible Chapel, 78 Stanmore Road",15,4,22,41,1
,"Linwood College Student Centre, 85 Aldwins Road",13,4,10,27,1
,"Linwood Intermediate School,  7 McLean Street",19,0,5,24,0
,"Linwood North School Hall, 221 Woodham Road",36,8,31,75,3
,"St Chad's Anglican Church Hall, 1 Carnarvon Street (corner Buckleys Road)",13,1,5,19,2
"Mairehau","Aldred Methodist Hall, Knowles Street (corner Nancy Avenue)",7,4,2,13,1
,"Glenmoor School, 96 Philpotts Road",1,2,4,7,0
,"Mairehau Primary School, 43 Mahars Road",13,7,13,33,1
"Papanui","Papanui Baptist Church, 144 Sawyers Arms Road",13,1,10,24,0
,"Papanui Methodist Church Hall, 68 Harewood Road (corner Chapel Street)",17,3,11,31,2
,"Papanui Primary School, 40 Winters Road",4,1,8,13,1
,"Paparoa Street School, 120 Paparoa Street",7,0,4,11,0
,"St Joseph's Church School, 4 Vagues Road",13,3,4,20,1
"Phillipstown","Phillipstown School, 39 Nursery Road",22,8,28,58,1
,"Te Waipounamu Maori Cultural Centre, 290 Ferry Road",18,2,17,37,1
"Richmond","North Avon Baptist Church Hall, 103 North Avon Road",15,5,15,35,1
,"Richmond Kindergarten, 41 North Avon Road",10,3,3,16,2
,"Richmond Primary School, Perth Street",20,5,11,36,1
"Shirley","Hammersley Park School, 102 Quinns Road",11,1,21,33,1
,"MacFarlane Park Free Kindergarten, 19 Acheson Avenue",11,2,23,36,2
,"Shirley Intermediate School Hall, corner Shirley Road & North Parade ",11,1,14,26,0
,"Shirley Primary School, 11 Shirley Road",22,9,27,58,1
"St Albans","Beulah Christian Fellowship Church, 140 Springfield Road",9,1,4,14,0
,"Lamb of God Community Hall, 19 Thames Street",2,2,6,10,0
,"Malvern Scout Hall, Innes Road (adjacent Rugby Park)",4,0,3,7,2
,"Rehua Marae, 79 Springfield Road",38,4,14,56,1
,"St Albans Baptist Church, corner McFaddens Road & Redwood Place",3,2,2,7,0
,"St Albans Community Resource Centre, 1047 Colombo Street",13,5,12,30,1
,"St Albans School, 17 Sheppard Place",12,3,14,29,0
,Christchurch East
"Aranui","Aranui School Rooms 1 and 2, 257 Breezes Road",59,7,34,100,8
,"St Ambrose Church Cafe, 309 Breezes Road",25,4,32,61,1
,"St James School, Room 4, 25 Rowan Avenue",34,4,26,64,4
"Avondale","Avondale School, Rooms 5 and 6, 132 Breezes Road",19,3,27,49,2
