Electorate Candidate and Party Votes Recorded at Each Polling Place
"Kaikoura 21","Candidate Vote Details"
,,"BROWNING, Steffan John","BURNS, Brendon","COWAN, Brett","HOWARD, Thomas Edward (Ted)","KING, Colin McDonald","KLEIS, Gregory Lynn","MAURICE, John ","O'SULLIVAN, Patrick James","WESTLEY, Robin Keith","Total Valid Candidate Votes","Informal Candidate Votes"
,"Picton School, cnr Buller and Kent Streets",29,305,2,2,222,0,24,5,7,596,6
,"Queen Charlotte College, Waikawa Road",31,203,2,3,244,1,16,1,8,509,2
"Rai Valley","Rai Valley Area School, Community Library, SH 6",15,81,1,1,159,1,4,3,6,271,4
"Rapaura","Rapaura School, Hammerichs Road",10,56,2,1,186,0,0,0,2,257,1
"Rarangi","Rarangi Golf Club, Rarangi Beach Road",15,104,0,0,92,0,2,1,2,216,0
"Renwick","Renwick Community Hall, High Street",60,462,3,7,840,0,9,19,19,1419,8
"Riverlands","Riverlands School, School Road",7,56,0,0,99,0,1,2,3,168,1
"Rotherham","Rotherham School, Main Road",5,36,0,0,117,0,3,5,2,168,4
"Scargill","Scargill Memorial Hall, Overton's Road",10,12,0,0,60,0,1,0,1,84,2
"Seddon","Seddon School, Marama Road",19,128,2,1,257,0,3,11,9,430,6
"Sefton","Sefton School, Upper Sefton Road",17,96,2,3,242,1,4,5,8,378,3
"Spotswood","Spotswood Hall, Waiau East Road",2,10,0,0,52,0,0,0,0,64,1
"Spring Creek","Spring Creek School, Ferry Road",21,157,1,1,177,0,6,13,3,379,2
"Tuamarina","Tuamarina School, Bush Road",18,76,1,2,102,0,3,7,3,212,2
"Waiau","Waiau School, Montrose Street",7,70,0,2,192,1,2,2,5,281,0
"Waihopai","Waihopai Valley Community Hall, 1605 Waihopai Valley Road",4,11,1,0,90,0,2,3,1,112,2
"Waikari","Waikari School, Princes Street",12,84,3,1,163,0,7,2,7,279,2
"Waikawa Bay","Waikawa Bay School, 282 Waikawa Road",25,149,2,1,212,0,3,1,3,396,3
"Waipara","Waipara School, Lofthagen Drive",14,60,1,0,163,0,6,3,6,253,1
"Wairau Pa","Kokiri Centre, Wairau Bar Road",1,1,2,0,1,0,0,0,0,5,2
"Wairau Valley Township","Wairau Valley School, Morse Street",2,80,0,0,159,0,3,3,6,253,0
"Waitaria Bay","Waitaria Bay School",6,29,0,0,55,0,2,1,0,93,0
"Ward","Ward School, Duncan Street",8,44,1,1,157,0,2,1,1,215,0
"Woodbourne","RNZAF Family Centre, Caldwell Road",9,54,2,3,143,0,0,2,7,220,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",8,166,0,0,165,2,8,1,0,350,22
,"Ordinary Votes BEFORE polling day",121,815,11,11,1222,6,26,12,41,2265,13
,"Special Votes BEFORE polling day",59,211,4,2,343,0,7,1,11,638,8
,"Special Votes On polling day",177,577,18,12,945,5,18,24,32,1808,23
,"Overseas Special Votes including defence force",29,91,1,1,156,0,1,2,3,284,2
,"Kaikoura Total",1927,13080,174,170,17755,64,430,275,481,34356,335
,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34691
"Electorate Candidate Valid Votes","Party",,"KING, Colin McDonald - majority 4675"
"BROWNING, Steffan John",Green Party,1927,.0560891838
"BURNS, Brendon",Labour Party,13080,.380719525
"COWAN, Brett",Mâori Party,174,.0050646175
"HOWARD, Thomas Edward (Ted)",Independent,170,.0049481895
"KING, Colin McDonald",National Party,17755,.5167947375
"KLEIS, Gregory Lynn",Alliance,64,.0018628478
"MAURICE, John ",Jim Anderton's Progressive,430,.0125160088
"O'SULLIVAN, Patrick James",ACT New Zealand,275,.0080044243
"WESTLEY, Robin Keith",United Future New Zealand,481,.0140004657
