Electorate Candidate Votes Recorded at Each Voting Place
"Ōtaki 37","Candidate Vote Details"
,,"DREW, Madeleine Rose","GUY, Allen Nathan","LOVELOCK, Anne Christine ","McCANN, Robert Eric","MACDONALD, Frederick John","VICKERS, Amanda Michelle","Total Valid Candidate Votes","Informal Candidate Votes"
"Foxton","Coley Street School, 53 Coley Street",20,229,15,136,0,1,401,5
,"Foxton Primary School, 5 Park Street",24,255,17,217,1,0,514,5
"Foxton Beach","Foxton Beach Primary School, 10 Carthew Terrace",17,246,19,142,1,4,429,3
"Ihakara","Ihakara Hall, corner Tavistock Road & State Highway 57",14,280,7,58,0,2,361,7
"Levin","Fairfield School, 89 MacArthur Street",29,452,20,220,4,0,725,7
,"Horowhenua District Council, 126 Oxford Street",45,419,21,288,3,6,782,17
,"Levin Baptist Church, 19 Rugby Street",26,233,15,166,1,5,446,5
,"Levin East School, 90 Bartholomew Road",33,358,19,324,2,7,743,6
,"Levin Intermediate School, 20 Collingwood Street",32,148,7,173,4,2,366,6
,"Levin North School, 148 Weraroa Road",41,537,27,315,2,6,928,8
,"LifeChangers Church Hall, 87-89 Cambridge Street",14,181,19,132,1,3,350,1
,"Taitoko School, 38 Kinross Street",8,53,3,164,1,3,232,7
"Manakau","Manakau District Hall, Mokena Kohere Street",28,241,4,103,0,2,378,5
"Newtown","Newtown School Hall, corner Riddiford & Mein Streets",0,6,0,4,0,0,10,0
"Ohau","Ohau School, 13 Muhunoa East Road",37,368,12,122,1,3,543,3
"Otaki","Hadfield Hall, 47 Te Rauparaha Street",43,157,9,188,1,3,401,7
,"Otaki Presbyterian Church, 249 Mill Road",48,237,13,202,4,3,507,7
,"Waitohu School, 20-22 Te Manuao Road",36,247,12,109,1,6,411,2
"Otaki Beach","Otaki Surf Lifesaving Club, Marine Parade",25,96,8,116,3,1,249,3
"Paraparaumu","Kapiti Primary School, corner Kapiti & Rimu Roads",65,405,16,271,3,6,766,6
,"Mazengarb Sports Complex, Mazengarb Road",33,367,2,144,1,1,548,2
,"Paraparaumu School, Ruapehu Street",10,87,4,34,2,0,137,3
,"The Meadows Church, corner Realm Drive & Mazengarb Road",69,778,36,402,3,6,1294,16
"Paraparaumu  Beach","Kapiti Senior Citizens Centre, 45 Ocean Road",65,650,13,270,4,4,1006,11
,"Paraparaumu Beach Guide Hall, Te Kupe Road",45,405,12,238,0,3,703,4
,"Paraparaumu Beach School, Gray Avenue",47,431,12,246,0,3,739,2
"Porirua City","North City Mall, Shop 150, Ground Floor by escalator, 2 Titahi Bay Road ",0,7,0,4,0,0,11,0
"Poroutawhao","Poroutawhao Hall, State Highway 1",7,111,4,34,0,0,156,0
"Raumati Beach","Raumati Beach School, 26-34 Raumati Road",10,65,2,24,0,1,102,0
"Te Horo","Te Horo Hall, 50 School Road",71,429,8,147,0,4,659,4
"Waikanae","Kapanui School, 23 Rimu Street",47,424,12,191,2,3,679,8
,"Waikanae Baptist Church, 286 Te Moana Road",50,477,17,257,1,5,807,2
,"Waikanae Funeral Home, corner Kapanui Road & Omahi Street",22,327,13,153,1,2,518,8
,"Waikanae Primary School Hall, Hira Street",75,563,18,250,3,6,915,6
"Waikanae Beach","Waikanae Beach Community Hall, 22A Rauparaha Street",73,403,14,297,1,2,790,7
"Waitarere Beach","St Aidan's Anglican Church, 625 Waitarere Beach Road",27,162,9,71,1,1,271,1
,"Voting places where less than 6 votes were taken",0,3,0,0,0,0,3,0
,"Ordinary Votes BEFORE polling day",839,8526,409,5828,54,74,15730,193
,"Special Votes BEFORE polling day",149,612,28,516,6,14,1325,18
,"Special Votes On polling day",188,739,36,507,5,11,1486,15
,"Overseas Special Votes including Defence Force",50,266,1,135,1,0,453,2
,"Ōtaki Total",2462,20980,913,13198,118,203,37874,412
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",38286
"Electorate Candidate Valid Votes","Party",,"GUY, Allen Nathan - majority 7782"
"DREW, Madeleine Rose",Green Party,2462,.0650050166
"GUY, Allen Nathan",National Party,20980,.5539420183
"LOVELOCK, Anne Christine ",Conservative,913,.024106247
"McCANN, Robert Eric",Labour Party,13198,.3484712468
"MACDONALD, Frederick John",Independent,118,.0031155938
"VICKERS, Amanda Michelle",Independent,203,.0053598775
