Electorate Candidate Votes Recorded at Each Voting Place
"Rangitata 42","Candidate Vote Details"
,,"CORBETT, Thomas Frederick","GIBSON, Steven John","GOODHEW, Joanne Gay","VITALI, Oliver ","Total Valid Candidate Votes","Informal Candidate Votes"
"Alford Forest","Alford Forest Hall, corner Highway 72 & Alford Forest Settlement Road",1,12,109,2,124,0
"Arowhenua","Arowhenua Maori School, 33 Huirapa Street",0,28,28,1,57,1
"Ashburton","Allenton School Hall, 110 Harrison Street",13,245,1059,38,1355,27
,"Ashburton Intermediate School, 144 Cass Street",16,299,727,52,1094,16
,"Hampstead School, 55 Wellington Street",10,246,452,29,737,15
,"New Life Church, 58 Melcombe Street, Tinwald",6,82,320,26,434,8
,"Sinclair Community Centre, 74 Park Street",9,147,501,25,682,6
,"St John Rooms, 241 Tancred Street",5,102,192,16,315,10
,"Tinwald War Memorial Hall, corner Graham & McMurdo Streets",20,202,910,31,1163,25
,"Walnut Ave Pavillion, 66 Walnut Avenue",8,119,557,40,724,20
"Carew","Carew Peel Forest School, 1051 Ealing-Montalto Road",4,7,124,4,139,1
"Clandeboye","Clandeboye Old School, 1 Kotuku Place",1,33,111,4,149,5
"Fairton","Fairton School, 14 Fairfield Road",0,27,140,5,172,5
"Greenstreet","Greenstreet-Ashburton Forks Hall, corner Ashburton-Staveley & Driscolls Roads",2,2,63,2,69,0
"Hinds","Hinds School, 54 Reed Street",2,45,219,17,283,2
"Lagmhor","Lagmhor Site, Ashburton Borough School, Tinwald Westerfield Mayfield Road",3,8,113,2,126,0
"Lowcliffe","Lowcliffe/Coldstream Hall, 9 Trig Pole Road",2,8,91,1,102,1
"Mayfield","Mayfield School, 14 Lismore-Mayfield Road",13,26,270,10,319,0
"Methven","Mt Hutt College Hall, corner Main & McDonald Streets",8,122,671,19,820,13
"Mt Somers","Mt Somers Springburn School, Ashburton Gorge Road",0,24,173,5,202,3
"Orari","Orari Coronation Hall, 8 McDonald Street",2,39,114,10,165,3
"Pleasant Point","Pleasant Point Primary School, Victor Wilson Hall, 33 Halstead Road",5,174,493,30,702,18
"Rangitata","Rangitata Soldiers Memorial Hall, State Highway 1",1,4,58,1,64,1
"Seadown","Seadown Hall, 729 Seadown Road",4,61,143,1,209,7
"Temuka","Opihi College, 83 Richard Pearse Drive",7,197,336,28,568,19
,"Presbyterian Church Complex, corner Hally Terrace & Wilmshurst Road",10,224,362,26,622,17
,"Temuka Primary School, 9 Hayhurst Street",10,224,301,24,559,22
"Timaru","Bluestone School, 46 Raymond Street",8,146,244,24,422,21
,"Church Street Bible Chapel, 213 Church Street (corner Avenue Road)",9,190,301,29,529,27
,"Elim Christian Centre, 7 Elizabeth Place",5,116,216,31,368,21
,"Gleniti School, 22 Heath Street",5,92,355,19,471,12
,"Grantlea Downs School, 65 Grants Road",9,248,295,35,587,24
,"Highfield School, 26 Rimu Street",1,127,261,17,406,28
,"Life Church, 134 Morgans Road",5,76,249,29,359,18
,"Methodist Church Hall, corner North Street & Woodlands Road",14,259,273,26,572,24
,"Mountainview High School, 67-141 Pages Road",11,195,331,31,568,24
,"Roncalli College, 19 Wellington Street",3,104,175,14,296,4
,"Salvation Army Hall, corner 206 Wai-iti & Otipua Roads",12,240,492,39,783,37
,"South School, 44 Queen Street",14,391,391,44,840,30
,"St Stephen's Church Hall, 349 Wai-iti Road",7,154,468,35,664,24
,"Timaru Girls High School, corner Hassall & Cain Streets",7,179,194,16,396,13
,"Waimataitai School Hall, 29 Trafalgar Street",20,319,528,57,924,53
,"Washdyke Community and Sports Centre, Sir Basil Arthur Park, 92 Pleasant Point Highway",2,80,219,29,330,10
"Wakanui","Wakanui School, 20 Wakanui School Road",2,31,145,6,184,4
"Willowby ","Willowby Hall, 471 Longbeach Road",2,20,208,13,243,1
"Winchester","Winchester Rural School, 14 Rise Road",4,53,169,11,237,8
"Winchmore","Winchmore Hall, 935 State Highway 77",2,5,124,5,136,1
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",122,2988,7637,519,11266,431
,"Special Votes BEFORE polling day",6,182,432,25,645,17
,"Special Votes On polling day",31,447,1012,63,1553,29
,"Overseas Special Votes including Defence Force",6,62,162,11,241,5
,"Rangitata Total",469,9411,23518,1577,34975,1111
,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36086
"Electorate Candidate Valid Votes","Party",,"GOODHEW, Joanne Gay - majority 14107"
"CORBETT, Thomas Frederick",ACT New Zealand,469,.0134095783
"GIBSON, Steven John",Labour Party,9411,.2690779128
"GOODHEW, Joanne Gay",National Party,23518,.6724231594
"VITALI, Oliver ",Conservative,1577,.0450893495
