Electorate Candidate and Party Votes Recorded at Each Polling Place
"Christchurch East 5","Candidate Vote Details"
,,"DALZIEL, Lianne Audrey","GILMORE, Aaron Wayne","HOPKINSON, Paul Barry","LAMBERT, Paula","LE CREN, Anthony St John","MATHERS, Celeste Mojo","McILRAITH, Nicholas Myles","PARK, Sevaschan Sam","PIESSE, Paul Egerton","SANDYS, Elspeth Somerville","SOLOMON, Maretta Tuasivi","Total Valid Candidate Votes","Informal Candidate Votes"
"Kainga","Kainga Public Hall, Kainga Road",125,82,1,8,3,22,0,0,0,4,0,245,1
"Linwood","Linwood Avenue School, 260 Linwood Avenue",28,9,0,0,0,2,0,0,0,0,1,40,0
,"Linwood North School Hall, 221 Woodham Road",108,52,1,6,3,11,1,0,1,7,0,190,0
,"St Chad's Anglican Church Hall, 1 Carnarvon Street (corner Buckleys Road)",87,46,0,2,5,13,0,0,1,2,0,156,1
"Mairehau","Mairehau Primary School, 43 Mahars Road",22,18,0,3,0,4,0,0,0,0,0,47,0
"Marshland","Marshland School, 329 Prestons Road",112,184,4,2,3,12,0,1,0,8,4,330,5
"New Brighton","Central New Brighton School, Roy Stokes Hall, 140 Seaview Road",1095,431,2,25,10,158,2,7,9,40,10,1789,17
"North New Brighton","Freeville School, Room 3, 11 Sandy Avenue",480,266,6,10,7,44,2,5,5,13,7,845,7
,"North New Brighton School Hall, 150 Leaver Terrace",629,284,1,22,11,70,3,5,8,13,5,1051,8
,"Room 123, Korean Catholic Community, 268 Bower Avenue",478,281,6,19,5,76,2,6,4,15,4,896,7
,"Section Sales Office, corner Aston Drive & Orlando Crescent",227,278,1,5,11,31,0,3,0,7,3,566,2
,"Travis Junction Life Centre, 158 Travis Road",173,165,0,1,5,21,2,1,0,5,8,381,3
"Ouruhia","Ouruhia School Staffroom, 21 Turners Road",53,76,0,0,0,6,0,0,0,2,0,137,0
"Parklands","Parkview School Hall, 10 Chadbury Street",1028,839,4,16,14,59,0,7,7,27,5,2006,6
"Phillipstown","Phillipstown School, 39 Nursery Road",11,9,0,0,0,2,0,0,0,1,0,23,0
"Queenspark","Queenspark School Hall, 222 Queenspark Drive",638,673,2,14,9,49,1,2,2,18,10,1418,3
"Richmond","North Avon Baptist Church Hall, 103 North Avon Road",32,21,0,0,1,4,0,0,0,0,0,58,0
"Shirley","Hammersley Park School, 102 Quinns Road",219,161,1,4,2,9,0,4,1,9,0,410,0
,"Shirley Intermediate School Hall, corner Shirley Road & North Parade ",211,169,1,4,5,19,0,3,2,13,5,432,7
,"Shirley Primary School, 11 Shirley Road",57,71,0,0,4,5,0,2,0,4,0,143,0
"South New Brighton","South Brighton Community Centre, 74 Beatty Street",1067,627,4,32,12,210,2,4,5,33,6,2002,14
,"South Brighton Croquet Club Rooms, 132 Union Street",335,93,3,13,8,79,0,1,5,11,2,550,4
"Spencerville","Spencerville Public Hall, 6 Heyders Road",100,183,10,5,4,21,0,0,0,4,1,328,5
"Wainoni","Methodist Church Lounge, 878 Avonside Drive",271,128,2,3,9,15,1,1,2,13,2,447,3
,"Ottawa Gardens Pre-School, 49 Ottawa Road",249,95,0,3,6,18,0,0,3,6,0,380,0
,"Wainoni School Hall, 115 Eureka Street",219,66,1,4,6,5,1,2,2,6,1,313,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",423,187,0,2,3,17,0,0,0,11,3,646,37
,"Ordinary Votes BEFORE polling day",1461,1007,4,18,18,144,5,5,7,49,14,2732,13
,"Special Votes BEFORE polling day",203,138,1,5,2,27,1,2,2,7,3,391,3
,"Special Votes On polling day",917,668,10,41,19,162,4,5,3,24,13,1866,17
,"Overseas Special Votes including defence force",92,90,0,1,1,20,0,0,1,2,3,210,2
,"Christchurch East Total",17969,12204,90,417,378,1843,40,114,119,575,204,33953,267
,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34220
"Electorate Candidate Valid Votes","Party",,"DALZIEL, Lianne Audrey - majority 5765"
"DALZIEL, Lianne Audrey",Labour Party,17969,.5292315848
"GILMORE, Aaron Wayne",National Party,12204,.3594380467
"HOPKINSON, Paul Barry",Workers Party,90,.0026507231
"LAMBERT, Paula",Aotearoa Legalise Cannabis Party,417,.0122816835
"LE CREN, Anthony St John",Kiwi Party,378,.0111330368
"MATHERS, Celeste Mojo",Green Party,1843,.0542809177
"McILRAITH, Nicholas Myles",Democrats for Social Credit,40,.0011780991
"PARK, Sevaschan Sam",Independent,114,.0033575825
"PIESSE, Paul Egerton",Alliance,119,.0035048449
"SANDYS, Elspeth Somerville",Jim Anderton's Progressive,575,.0169351751
"SOLOMON, Maretta Tuasivi",United Future,204,.0060083056
