Electorate Candidate Votes Recorded at Each Voting Place
"Mt Roskill 28","Candidate Vote Details"
,,"BINDRA, Mahesh","COATES, Robert Barry Hobson","DAVIE, Paul Clifford","GOFF, Philip Bruce","MINTO, John Bernard","PARMAR, Kushmiita Parmjeet Kaur","Total Valid Candidate Votes","Informal Candidate Votes"
"Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",0,3,0,15,0,7,25,2
"Balmoral","Auckland Deaf Society Incorporated, 164 Balmoral Road",2,21,2,79,4,60,168,3
,"Balmoral Scout Group, Pollard Park, 1a Waitomo Avenue",16,45,19,268,8,223,579,3
"Blockhouse Bay","Blockhouse Bay Baptist Church, 504 Blockhouse Bay Road",1,0,1,3,0,4,9,0
,"Blockhouse Bay Community Church, 76 Dundale Avenue",0,1,0,8,0,4,13,2
,"Blockhouse Bay Primary School, 584 Blockhouse Bay Road",1,1,1,14,2,6,25,1
"Epsom","Epsom Methodist Church Hall, 12 Pah Road",10,22,10,139,2,179,362,1
,"Epsom Normal School, 41 The Drive",1,8,1,20,0,47,77,0
,"Sacred Heart Parish Hall, 19 Banff Avenue",0,3,5,41,0,50,99,0
"Grafton","Auckland City Hospital, Foyer, 2 Park Road",1,1,1,42,0,16,61,1
"Hillsborough","Hillsborough Primary School ,18 Belfast Street",12,40,54,376,1,327,810,10
,"St David's Church, 202 Hillsborough Road",29,32,39,396,3,320,819,8
,"Waikowhai Primary School, 381 Hillsborough Road",17,29,18,294,3,216,577,9
"Lynfield","Halsey Drive Primary School, 106 Halsey Drive",9,32,41,511,4,403,1000,15
,"Lynfield College School, 191 White Swan Road (main entrance)",2,6,3,49,0,27,87,3
,"Lynfield Tennis Club, 18 The Avenue",19,27,58,467,5,330,906,9
"Mt Albert","Mt Albert Presbyterian Church Hall, 14 Mt Albert Road",1,4,2,10,0,6,23,0
,"Owairaka District School Hall, 113 Richardson Road",3,3,3,78,1,21,109,1
,"Salvation Army Community Church Hall, 218 Mt Albert Road (Duncan Avenue entrance)",0,13,3,156,5,64,241,2
"Mt Eden","Auckland Normal Intermediate, 24 Poronui Street",2,2,1,14,2,14,35,0
,"Auckland Provincial Guide Centre, 132 Grange Road",0,2,0,10,2,13,27,0
,"Balmoral School Hall, 19 Brixton Road",2,3,0,20,0,15,40,0
,"Good Shepherd Parish Hall, 30 Telford Avenue",4,11,5,115,2,78,215,6
,"Maungawhau School, 43 Ellerton Road",14,90,23,489,7,556,1179,5
,"St Albans Anglican Church Hall, 443 Dominion Road",1,2,0,18,0,18,39,2
"Mt Roskill","Christ The King Parish School Hall, 288 Richardson Road",2,5,7,255,0,48,317,11
,"Dominion Road School, 14 Quest Terrace",11,41,41,462,7,148,710,14
,"Hay Park School, 670 Richardson Road",15,34,32,837,8,247,1173,7
,"Marshall Laing Primary School, 39 Marshall Laing Avenue",4,4,5,74,1,24,112,4
,"May Road School, 504 Richardson Road",15,37,23,856,6,232,1169,13
,"Monte Cecilia Catholic School, 72 Hillsborough Road",19,35,26,274,8,208,570,4
,"Mt Roskill Intermediate School, 62 Denbigh Avenue",17,21,33,453,3,126,653,6
,"St Giles Presbyterian Church, 1207 Dominion Road",25,23,34,533,10,244,869,7
,"St John's Presbyterian Church, 422 Mt Albert Road",14,30,24,367,10,140,585,8
,"Sunnydene Special School, 48 Smallfield Avenue",3,17,6,255,6,52,339,2
,"Tri-Star Gymnastic Club Incorporated, 55 Arundel Street",3,17,8,253,3,126,410,3
,"Wesley Intermediate School, 798 Sandringham Road",18,23,21,659,9,89,819,6
,"Wesley Primary School, 24 Potter Avenue",8,5,6,345,5,18,387,7
"New Windsor","New Windsor School, 185 New Windsor Road (64 Peter Buck Road entrance)",0,0,1,14,0,5,20,0
"One Tree Hill","St Oswald's Anglican Church Hall, 193 Campbell Road",6,19,5,60,0,94,184,3
"Onehunga","Onehunga Co-operating Parish, corner Grey Street & Onehunga Mall",9,16,9,90,1,69,194,2
,"Onehunga High School, 24 Pleasant Street",5,3,2,60,1,39,110,0
,"Onehunga Primary School, 122 Arthur Street",5,13,3,83,7,59,170,2
,"St Peter's Anglican Church, corner Church Street & Onehunga Mall",8,12,6,85,3,62,176,1
"Royal Oak","Royal Oak Intermediate, 74 Symonds Street (Trafalgar Street entrance)",20,27,19,280,6,247,599,4
,"Royal Oak Primary School, Chandler Avenue (663 Manukau Road entrance)",27,73,43,589,5,717,1454,27
"Sandringham","Christian Family Church Hall, 631 Sandringham Road",11,23,18,234,1,117,404,1
,"Edendale Primary School Hall, 419 Sandringham Road",7,24,0,68,1,33,133,1
"Three Kings","Mt Roskill Primary School, 37 Frost Road",7,25,20,595,5,250,902,16
,"Three Kings School, 944 Mt Eden Road",29,79,50,806,10,540,1514,21
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",177,279,226,3994,68,2387,7131,102
,"Special Votes BEFORE polling day",29,88,39,716,25,359,1256,13
,"Special Votes On polling day",67,237,80,1405,33,647,2469,42
,"Overseas Special Votes including Defence Force",9,71,17,303,7,215,622,6
,"Mt Roskill Total",717,1682,1094,18637,300,10546,32976,416
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33392
"Electorate Candidate Valid Votes","Party",,"GOFF, Philip Bruce - majority 8091"
"BINDRA, Mahesh",New Zealand First Party,717,.0217430859
"COATES, Robert Barry Hobson",Green Party,1682,.0510067928
"DAVIE, Paul Clifford",Conservative,1094,.0331756429
"GOFF, Philip Bruce",Labour Party,18637,.5651686075
"MINTO, John Bernard",MANA Movement,300,.0090975255
"PARMAR, Kushmiita Parmjeet Kaur",National Party,10546,.3198083455
