Electorate Candidate Votes Recorded at Each Voting Place
"Kelston 21","Candidate Vote Details"
,,"DEGIA-PALA, Anne","HAYCOCK, Bruce Kim","IRWIN, Frances Ruth","LYE, Jeffrey","PENK, Christopher Aidan","SAMI, Roshni Aasha Chettiar","SEPULONI, Carmel Jean","SOMMER, Paul Christian","WOOLSTON, Jason Bruce","Total Valid Candidate Votes","Informal Candidate Votes"
"Avondale","Ascot Room, Avondale Race Course, 2-48 Ash Street",10,8,18,3,93,2,151,4,4,293,5
,"Avondale Intermediate School, 12 Holly Street",25,15,60,9,196,5,379,19,1,709,14
,"Avondale Primary School, Crayford Street West",7,6,18,0,51,0,120,2,0,204,4
,"Rosebank School Hall, 217 Rosebank Road",51,11,93,11,344,9,904,31,5,1459,24
"Glen Eden","Catholic Church Hall, 7 Glendale Road",33,3,67,8,319,4,483,26,1,944,15
,"Glen Eden Baptist Church Hall, 97 Glendale Road",58,0,108,11,452,18,418,28,2,1095,7
,"Glen Eden Primary School, 3 Glenview Road",42,12,55,15,277,4,487,13,4,909,11
,"Konini School, 44 Withers Road",38,1,76,10,380,1,324,13,4,847,6
,"Prospect School Hall, 76 Rosier Road",72,5,88,22,495,13,762,37,5,1499,23
,"Te Kura Kaupapa Māori o Hoani Waititi Marae, 441 West Coast Road",16,3,34,3,117,1,266,10,1,451,6
"Glendene","Glendene School, 60 Barrys Road",56,7,61,6,386,6,551,18,2,1093,15
"Green Bay","Green Bay Community House, 1 Barron Drive",2,0,8,1,17,0,14,0,0,42,0
"Henderson","Bruce McLaren Intermediate School, 61-69 Bruce McLaren Road",65,10,52,14,219,2,603,20,3,988,14
,"Henderson High School, 31 Henderson Valley Road",8,1,17,2,57,2,84,3,3,177,5
,"Henderson Primary School, 13 Montel Avenue",7,0,7,0,37,0,45,1,0,97,4
,"Henderson South School, 24 Garelja Road",3,0,2,1,9,0,38,0,0,53,0
"Kelston","Kelston Boys High School, corner Archibald & St Leonards Roads (Gate 3)",48,9,57,12,389,15,656,20,0,1206,17
,"Kelston Girls College, 1 Archibald Road",54,21,58,10,339,10,779,36,4,1311,38
,"St Leonards Road School, 15 St Leonards Road",27,5,36,12,231,11,580,7,1,910,13
"New Lynn","Dayspring Trust Hall, 2 Seabrook Avenue",3,0,3,1,17,0,24,0,0,48,1
,"Fruitvale School, 9 Croydon Road",7,0,25,3,89,0,107,2,0,233,4
,"New Lynn Salvation Army Hall, 32 Delta Avenue",21,15,36,5,154,4,298,21,1,555,12
,"New Lynn Sea Scout Hall, 37 Margan Avenue",1,2,4,0,33,0,28,4,0,72,1
,"St Austells, 35 Margan Avenue",3,0,5,0,30,1,25,0,0,64,0
,"Western Indoor Sports, 26 Veronica Street",1,1,7,1,22,2,61,0,1,96,0
"Oratia","Oratia District School, 1 Shaw Road",14,0,36,4,189,1,125,8,1,378,2
"Sunnyvale","Kelston Community Centre, 126 Awaroa Road ",82,4,71,10,546,10,575,35,1,1334,14
,"Sunnyvale Primary School, 34 Ribblesdale Road",38,3,35,8,266,6,343,17,3,719,5
"Te Atatu South","Tirimoana School, 34 Kokiri Street",8,2,6,4,140,2,78,2,0,242,3
"Titirangi","Kaurilands School, 109 Atkinson Road",33,6,112,8,572,7,364,27,10,1139,9
,"St Francis Anglican Parish, corner Park & Titirangi Beach Roads",1,0,4,0,13,0,10,0,0,28,1
,"Titirangi War Memorial Hall, 500 South Titirangi Road",6,1,36,1,95,0,56,7,2,204,2
"Waterview","Waterview Methodist Church Hall, corner Great North Road & Fir Street",34,10,110,10,382,4,545,21,1,1117,13
,"Voting places where less than 6 votes were taken",0,0,1,0,1,0,2,0,0,4,0
,"Ordinary Votes BEFORE polling day",233,46,243,25,1551,55,2519,110,11,4793,73
,"Special Votes BEFORE polling day",51,11,95,13,332,8,705,20,2,1237,14
,"Special Votes On polling day",118,46,262,54,786,28,1452,48,8,2802,39
,"Overseas Special Votes including Defence Force",7,3,46,4,98,3,130,3,1,295,1
,"Kelston Total",1283,267,2052,301,9724,234,15091,613,82,29647,415
,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",30062
"Electorate Candidate Valid Votes","Party",,"SEPULONI, Carmel Jean - majority 5367"
"DEGIA-PALA, Anne",New Zealand First Party,1283,.0432758795
"HAYCOCK, Bruce Kim",ACT New Zealand,267,.0090059702
"IRWIN, Frances Ruth",Green Party,2052,.069214423
"LYE, Jeffrey",Aotearoa Legalise Cannabis Party,301,.0101527979
"PENK, Christopher Aidan",National Party,9724,.3279927143
"SAMI, Roshni Aasha Chettiar",Internet Party,234,.0078928728
"SEPULONI, Carmel Jean",Labour Party,15091,.5090228354
"SOMMER, Paul Christian",Conservative,613,.0206766283
"WOOLSTON, Jason Bruce",United Future,82,.0027658785
