Electorate Candidate Votes Recorded at Each Voting Place
"East Coast Bays 11","Candidate Vote Details"
,,"CHEEL, Patricia","CRAIG, Colin Graeme","McCULLY, Murray Stuart","MILNER-WHITE, Gregory Richard","MOORE, Teresa Janet","Total Valid Candidate Votes","Informal Candidate Votes"
"Albany","Albany Community Hall, 3/21 Library Lane",4,64,338,61,55,522,9
,"Albany Primary School, 6 Bass Road",7,126,728,139,81,1081,10
,"Massey University, Building 82, Gate 4, Turitea Place (off Old Albany Highway)",0,29,190,47,27,293,5
,"Oteha Valley School, Medallion Drive (off Oteha Valley Road)",15,249,1053,233,140,1690,29
,"Pinehurst School,  75 Bush Road",1,136,756,150,74,1117,16
"Browns Bay","Browns Bay Red Cross Centre, 5 Wilks Lane",12,171,730,136,108,1157,10
,"Browns Bay School, 2- 4 Masterton Road",8,190,922,149,151,1420,5
,"Crossroads Church, 5 Bayview Road  ",3,110,340,44,56,553,8
,"Northcross Intermediate School, 10 Sartors Avenue",11,207,739,130,114,1201,14
,"Pinehill School, Hugh Green Drive",10,234,1030,195,147,1616,15
,"Progress Hall (under Bays Club),  6 Anzac Road",16,172,689,131,133,1141,5
"Glenfield","Meadowood Community House, 55 Meadowood Drive (off Unsworth Drive)",0,10,45,10,5,70,0
,"Westminster Christian School, 31 Westminster Gardens ",0,6,11,0,2,19,0
"Greenhithe","Upper Harbour Primary School, 140 Kyle Road",0,34,194,26,18,272,2
"Long Bay","Long Bay Baptist Church, 282 Glenvar Road",5,157,350,65,54,631,1
,"Long Bay College, 20 Ashley Avenue",6,72,221,42,60,401,1
"Mairangi Bay","Mairangi Bay Community Church Hall, 49 Maxwelton Drive",0,42,106,19,23,190,2
,"Mairangi Bay Presbyterian Church Hall, 11 Hastings Road",4,39,250,25,31,349,1
,"Rangitoto College, 564 East Coast Road",11,142,610,135,85,983,13
"Milford","Milford School, 34 Shakespeare Road",0,4,32,1,4,41,0
,"North Shore Hospital, Shakespeare Road",1,6,22,4,2,35,0
"Murrays Bay","Murrays Bay Intermediate School, 37 Sunrise Avenue",4,122,512,97,95,830,9
"Redvale","East Coast Bays Bible Baptist Church, 1092 East Coast Road",3,78,276,35,65,457,2
"Sunnynook","Sunnynook School, 27 Lyford Crescent",1,6,36,7,11,61,0
"Takapuna","Takapuna School, 23 Auburn Street (or Anzac Street entrance)",2,9,30,10,7,58,3
"Torbay","Glamorgan School, 145 Glamorgan Drive",6,235,894,194,144,1473,6
,"Torbay School, 60 Deep Creek Road",9,237,841,199,166,1452,13
,"Torbay Senior Citizens Club, Torbay Shopping Centre, 37 Watea Road",6,239,784,215,232,1476,11
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",59,1421,5135,928,617,8160,91
,"Special Votes BEFORE polling day",3,99,518,106,113,839,13
,"Special Votes On polling day",20,246,1262,314,292,2134,32
,"Overseas Special Votes including Defence Force",2,31,313,68,94,508,1
,"East Coast Bays Total",229,4923,19957,3915,3206,32230,327
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",32557
"Electorate Candidate Valid Votes","Party",,"McCULLY, Murray Stuart - majority 15034"
"CHEEL, Patricia",Ban1080,229,.0071051815
"CRAIG, Colin Graeme",Conservative,4923,.1527458889
"McCULLY, Murray Stuart",National Party,19957,.619205709
"MILNER-WHITE, Gregory Richard",Labour Party,3915,.1214706795
"MOORE, Teresa Janet",Green Party,3206,.0994725411
