Electorate Candidate and Party Votes Recorded at Each Polling Place
"Ōhariu 35","Candidate Vote Details"
,,"BARR, Hugh","CHAUVEL, Charles Pierre","DUNNE, Peter Francis","FITZPATRICK, Sean Daniel Thomas","HUGHES, Gareth Thomas Llewellyn","SHANKS, Katrina May","WOODNUTT, Stephen Mark","Total Valid Candidate Votes","Informal Candidate Votes"
"Alicetown","Hutt Central School, 6 Railway Avenue",1,30,42,0,4,22,3,102,2
"Belmont","Belmont Hall, 711 Western Hutt Road",0,6,15,0,0,7,0,28,0
,"Raphael House, 27 Matuhi Street",1,92,92,1,21,53,2,262,0
"Churton Park","Churton Park Little School, 6 Melksham Drive",2,133,373,1,21,157,5,692,2
,"Churton Park School, 90 Churton Drive",12,458,911,8,55,334,19,1797,17
"Crofton Downs","Crofton Downs Primary School Hall, 1 Chartwell Drive",3,167,125,2,25,76,2,400,3
,"Ngaio Playcentre, 50 Silverstream Road",2,139,103,0,24,51,1,320,2
"Grenada North","Grenada North Club Rooms, Nassau Avenue",5,64,45,1,6,21,2,144,3
"Harbour View","Garage, 36 Viewmont Drive",4,121,214,0,31,135,12,517,4
"Hutt Central","Hutt Hospital, 640 High Street",0,9,8,0,2,6,2,27,0
,"Knox Presbyterian Church Hall, 574 High Street",1,18,20,0,1,7,3,50,0
"Johnsonville","Broderick Road Chapel, 17 Broderick Road",20,512,439,7,63,218,11,1270,18
,"Johnsonville School Hall, 8 Morgan Street",10,593,589,5,66,211,9,1483,14
,"Raroa Intermediate School Hall, 37 Haumia Street",13,412,477,3,76,198,9,1188,11
,"West Park School Hall, Broderick Road",6,422,494,3,55,243,16,1239,23
"Kenepuru","Kenepuru Community Hospital, Hospital Drive (off Raiha Street)",0,7,13,0,3,6,0,29,0
"Khandallah","Cashmere Avenue School, 110 Cashmere Avenue",8,399,484,3,77,232,7,1210,11
,"Onslow Community Church, 4 Ngatoto Street",3,207,288,4,28,98,2,630,5
,"Presbyterian Church Hall, 33 Ganges Road",8,491,880,3,71,330,5,1788,9
,"St Barnabas Parish Hall, 35 Box Hill",4,221,334,0,28,132,8,727,5
"Korokoro","Korokoro School Hall, 79 Korokoro Road",7,207,191,1,41,122,4,573,4
"Linden","Linden Social Centre, 10 Linden Avenue",2,40,44,0,6,32,5,129,4
"Maungaraki","Garage, 66 Oakleigh Street",5,114,72,0,21,52,1,265,6
,"Maungaraki Community Centre, 135 Dowse Drive",18,438,589,2,80,264,9,1400,10
"Mt Victoria","Clyde Quay School, 27 Elizabeth Street",0,8,3,0,6,9,0,26,0
"Newlands","Bellevue School Hall, 12 Bancroft Terrace",13,514,463,4,52,189,14,1249,18
,"Newlands School Hall, 200 Newlands Road",13,446,326,4,53,163,10,1015,20
,"Newlands-Paparangi Tennis Club, 26 Black Rock Road",8,195,139,7,23,82,9,463,5
,"Rewa Rewa School Hall, 4 Padnell Crescent",4,344,341,3,36,117,15,860,5
"Newtown","Newtown School Hall, corner Riddiford & Mein Streets",0,25,2,0,3,4,0,34,1
,"Wellington Hospital, Te Ao Marama Training Centre, Riddiford Street (main entrance)",0,4,4,0,1,8,1,18,0
"Ngaio","Ngaio Town Hall, 1 Ottawa Road",10,975,873,1,159,367,13,2398,10
"Normandale","St Aidans-On-The-Hill Church Hall, corner Poto Road & Stratton Street",6,244,296,4,57,141,12,760,5
"Ohariu","Ohariu Hall, 550 Ohariu Valley Road",2,41,87,0,13,43,2,188,3
"Paparangi","Paparangi School Hall, 59 Beazley Avenue",5,362,409,4,39,161,15,995,12
"Petone","Petone Central School, 16 Britannia Street",3,34,40,0,10,12,3,102,3
,"St Augustines Cub Group Hall, 71 Udy Street",0,12,11,0,4,3,1,31,1
"Porirua","5 Lydney Place South (North City Plaza side entrance)",1,12,6,0,2,6,0,27,4
"Tawa","Garage, 127 Taylor Terrace",1,87,110,1,12,53,8,272,1
,"Garage, 16 St Catherines Terrace",3,101,223,0,18,75,3,423,5
,"Hampton Hill School, Victory Crescent",9,226,153,4,31,98,16,537,12
,"New Life Church Hall, 236 Main Road",16,263,228,3,31,125,18,684,13
,"Redwood School, 69a Redwood Avenue",8,236,366,1,34,176,7,828,5
,"Tawa School, 6 Oxford Street",8,362,312,2,65,193,13,955,9
"Wellington City","Capital E, Civic Square",0,30,9,0,7,17,0,63,3
,"Chaffers Dock Atrium, 18 Herd Street",0,10,12,0,3,8,0,33,1
,"Michael Fowler Centre, Renouf Foyer, Level 1, 111 Wakefield Street",0,50,29,0,12,20,3,114,2
,"Wellington High School, 249 Taranaki Street",0,6,3,0,5,2,0,16,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Hutt South",4,130,134,1,30,72,0,371,0
,"Ordinary Votes BEFORE polling day - Taken in Mana",0,15,11,0,5,17,0,48,0
,"Ordinary Votes BEFORE polling day - Taken in Ōhariu",45,1245,1445,12,181,684,41,3653,44
,"Ordinary Votes BEFORE polling day - Taken in Wellington Central",5,303,336,1,77,160,2,884,5
,"Special Votes BEFORE polling day",10,309,222,3,67,167,10,788,8
,"Special Votes On polling day",24,833,718,8,249,569,19,2420,18
,"Overseas Special Votes including Defence Force",6,243,204,2,70,159,6,690,3
,"Ōhariu Total",339,12965,14357,109,2160,6907,378,37215,369
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",37584
"Electorate Candidate Valid Votes","Party",,"DUNNE, Peter Francis - majority 1392"
"BARR, Hugh",New Zealand First Party,339,.0091092301
"CHAUVEL, Charles Pierre",Labour Party,12965,.3483810292
"DUNNE, Peter Francis",United Future,14357,.3857853016
"FITZPATRICK, Sean Daniel Thomas",Libertarianz,109,.0029289265
"HUGHES, Gareth Thomas Llewellyn",Green Party,2160,.0580411125
"SHANKS, Katrina May",National Party,6907,.1855972054
"WOODNUTT, Stephen Mark",Conservative Party,378,.0101571947
