Electorate Candidate Votes Recorded at Each Voting Place
"Te Tai Tonga 70","Candidate Vote Details"
,,"BEYER, Georgina","BUTTON, Ngaire Lorraine","KINGI, Emma-Jane Mihaere","LANGSBURY, Dora Roimata","SAWYERS, Jason Paul","TIRIKATENE, Rino","Total Valid Candidate Votes","Informal Candidate Votes"
,Christchurch Central
"Addington","Kidsfirst Kindergarten, 366 Selwyn Street",5,5,0,6,0,20,36,0
"Beckenham","Beckenham School, 71 Sandwich Road",0,2,1,5,0,5,13,0
"Christchurch City","ABC Salisbury Street, 150 Salisbury Street",1,2,1,5,0,2,11,0
,"Christchurch East School, 311 Gloucester Street",8,6,2,11,0,16,43,0
,"Christchurch Public Hospital, The Great Escape Cafe, First Floor, 2 Riccarton Avenue",1,3,1,0,0,3,8,2
,"St Michael's Church School Hall, corner Tuam & Durham Streets",1,4,1,1,0,3,10,0
"Linwood","Aspire Canterbury, 314 Worcester Street",1,5,0,4,0,9,19,0
,"Linwood College, Student Centre, 85 Aldwins Road",4,6,1,5,0,12,28,4
"Mairehau","Mairehau High School, 440 Hills Road",3,5,0,5,0,3,16,1
,"Mairehau Primary School, 43 Mahars Road",1,7,2,1,0,8,19,1
,"St Albans Community Preschool, 3 Thames Street",0,2,0,0,0,6,8,1
,"St Albans Uniting Parish, corner Knowles Street & Nancy Avenue",2,5,1,3,0,8,19,2
"Opawa","Opawa Baptist Church, 285 Wilsons Road",2,1,0,1,0,4,8,0
,"Opawa School, corner Ford Road & Newbery Street ",1,0,1,2,0,4,8,0
,"St Mark's Church Hall, corner Opawa Road & Vincent Place",1,6,2,2,0,4,15,0
"Papanui","Northcity Church, 95a Sawyers Arms Road",0,4,0,3,0,3,10,1
,"Papanui High School, 30 Langdons Road",2,4,2,3,0,15,26,2
,"Papanui Primary School, 40 Winters Road",0,3,1,0,0,11,15,0
,"Paparoa Street School, 120 Paparoa Street",0,7,0,1,0,5,13,0
,"St Joseph's School, 4 Vagues Road",1,3,2,3,1,3,13,0
"Phillipstown","Phillipstown Community Centre, 39a Nursery Road",7,17,1,12,1,33,71,3
"Redwood","Northcote School, 26 Tuckers Road",3,9,3,3,0,19,37,0
,"Redwood Play Centre, 40 Dunedin Street",0,5,0,2,0,5,12,1
,"Redwood School, 51 Prestons Road",0,15,1,6,0,14,36,0
,"Redwood Scout Hall, 20 Sturrocks Road",1,5,0,0,0,4,10,1
"St Albans","Beulah Church, 140 Springfield Road",2,6,0,3,0,8,19,1
,"Blind Foundation, 96 Bristol Street",1,0,1,2,0,4,8,1
,"Rehua Marae, whare kai (dining room), 79 Springfield Road",4,17,1,8,0,22,52,0
,"St Albans Baptist Church, 64 McFaddens Road",3,4,0,0,0,1,8,0
,"St Albans Primary School, 17 Sheppard Place",2,10,0,3,0,10,25,0
"Sydenham","Special Needs Library, 109 Huxley Street",3,5,2,6,0,12,28,0
,"Sydenham Community Centre, 25-27 Hutcheson Street",3,4,0,3,0,4,14,0
"Waltham","Waltham School Hall, corner Waltham Road & Hastings Street East",2,12,1,2,0,12,29,1
,Christchurch East
"Aranui","Aranui Primary School, 257 Breezes Road",11,16,0,11,0,18,56,1
,"St Ambrose Church, 309 Breezes Road",0,7,1,2,0,13,23,0
,"St James School, 25 Rowan Avenue",4,13,1,6,1,17,42,0
"Avondale","Avondale Primary School, 132 Breezes Road",1,10,3,4,0,7,25,1
,"Woolley Street Kindergarten, 63 Woolley Street",0,3,0,1,0,8,12,0
"Bromley","Bromley School, 33 Keighleys Road",5,6,6,5,1,15,38,0
"Burwood","Burwood Christian Centre, 54 Bassett Street",0,7,0,1,1,11,20,0
