Electorate Candidate and Party Votes Recorded at Each Polling Place
"Botany 3","Candidate Vote Details"
,,"MURPHY, Lynette Mary","PARKASH, Ram","ROSS, Jami-Lee Matenga","WU, Chao-Fu","YOUNG, Paul Chung-Che","Total Valid Candidate Votes","Informal Candidate Votes"
"Botany Downs","Botany Downs Primary School, 35 Mirrabooka Avenue",24,2,829,199,117,1171,37
,"Botany Downs Secondary College, 575 Chapel Road",53,28,1635,522,149,2387,106
,"Elim Christian Centre, 159 Botany Road",40,9,945,191,135,1320,40
,"St Columba Presbyterian Church, 480 Ti Rakau Drive",23,4,712,164,88,991,35
"Botany South","Sancta Maria College, 319 Te Irirangi Drive",20,10,603,395,68,1096,45
"Burswood","East City Wesleyan Church, 219 Burswood Drive",14,5,404,155,71,649,33
"Chapel Downs","Chapel Downs Primary School, 170 Dawson Road",12,6,163,339,22,542,25
"Cockle Bay","Cockle Bay Playcentre, 17 Pah Road",18,4,494,76,28,620,18
"Dannemora","Point View Primary School, 25 Kilkenny Drive",50,10,1410,273,165,1908,46
,"Willowbank School, 56 Middlefield Drive",38,11,1093,310,105,1557,63
"Flat Bush","Baverstock Oaks School, 21 Baverstock Road",14,3,773,309,93,1192,41
,"Dawson Road Primary School, Haumia Way",6,2,73,666,31,778,65
,"Kia Aroha College, 51 Othello Drive",1,2,28,348,18,397,45
,"St Pauls Anglican Church Hall, 141 Chapel Road",1,3,65,36,13,118,6
"Highland Park","Rockabye Early Learning Centre, 122 Aviemore Drive",9,3,345,131,59,547,11
"Howick","Cockle Bay School, 24 Sandspit Road",33,12,857,188,73,1163,29
,"Howick Intermediate School, 1 Botany Road",6,2,250,85,36,379,16
,"Owairoa  Primary School, corner Wellington & Nelson Streets",4,0,130,29,19,182,6
"Meadowlands","Meadowlands Methodist Community Church, 128 Whitford Road",44,14,1178,240,224,1700,66
"Northpark","Our Lady Star of the Sea School, 14 Oakridge Way",27,3,675,146,99,950,31
"Otara","East Tamaki Primary School, 196 Preston Road",2,2,9,88,2,103,10
,"Flat Bush School, 20 Flat Bush Road",2,0,7,113,4,126,7
"Pakuranga","Eastgate Christian Centre, 5 Ben Lomond Crescent",3,0,112,26,6,147,3
,"Pakuranga Recreation & Youth Centre, 13c Reeves Road",4,1,50,22,12,89,2
,"Riverhills Primary School, 13 Waikaremoana Place",0,0,12,6,2,20,0
"Shelly Park","Shelly Park School, 11-13 Sunnyview Avenue",17,4,380,96,41,538,16
"Somerville","Somerville Intermediate School, 39 Somerville Road",16,4,480,69,54,623,20
"Whitford","Whitford Hall, 1 Whitford-Maraetai Road",2,0,22,2,0,26,0
,"Polling places where less than 6 votes were taken",0,0,1,1,0,2,0
,"Ordinary Votes BEFORE polling day - Taken in Botany",56,16,2135,883,213,3303,119
,"Ordinary Votes BEFORE polling day - Taken in Hunua",1,0,8,1,1,11,0
,"Ordinary Votes BEFORE polling day - Taken in Māngere",0,0,17,3,0,20,0
,"Ordinary Votes BEFORE polling day - Taken in Manukau East",0,0,13,43,0,56,1
,"Ordinary Votes BEFORE polling day - Taken in Pakuranga",29,6,413,109,63,620,21
,"Special Votes BEFORE polling day",8,3,193,117,18,339,17
,"Special Votes On polling day",48,12,1095,604,98,1857,87
,"Overseas Special Votes including Defence Force",6,4,171,54,8,243,2
,"Botany Total",631,185,17780,7039,2135,27770,1069
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",28839
"Electorate Candidate Valid Votes","Party",,"ROSS, Jami-Lee Matenga - majority 10741"
"MURPHY, Lynette Mary",ACT New Zealand,631,.0227223623
"PARKASH, Ram",United Future,185,.0066618653
"ROSS, Jami-Lee Matenga",National Party,17780,.6402592726
"WU, Chao-Fu",Labour Party,7039,.253474973
"YOUNG, Paul Chung-Che",Conservative Party,2135,.0768815268
