Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Hauauru 67","Candidate Vote Details"
,,"MASON, Errol Turuki","TURIA, Tariana","Total Valid Candidate Votes","Informal Candidate Votes"
,"Levin Baptist Church, 17-19 Rugby Street",5,19,24,1
,"Levin City Church Hall, 87-89 Cambridge Street",16,40,56,0
,"Levin East School, 90 Bartholomew Road",41,99,140,4
,"Levin Intermediate School, Collingwood Street",11,47,58,2
,"Levin North School, 142-150 Weraroa Road",22,46,68,4
,"Taitoko School, Kinross Street",33,76,109,6
"Manakau","Manakau District Association Hall, Mokena Kohere Street",7,21,28,0
"Ohau","Ohau School, Muhunoa East Road",9,49,58,0
"Otaki","Hadfield Hall, 47 Te Rauparaha Street",42,220,262,1
,"Otaki College, Mill Road",11,74,85,4
,"Waitohu School, Te Manuao Road",7,39,46,1
"Otaki Beach","Otaki Surf Lifesaving Club Hall, Marine Parade",14,69,83,2
"Paraparaumu","Kapiti Primary School, corner Kapiti & Rimu Roads",30,46,76,6
,"Mazengarb Sports Complex, Mazengarb Road",0,19,19,2
,"The Meadows Church, 1 Realm Drive",9,27,36,2
"Paraparaumu  Beach","Kapiti Senior Citizens Centre, Ocean Road",12,14,26,1
,"Paraparaumu Beach Guide Hall, Te Kupe Road",11,14,25,1
,"Paraparaumu Beach School, Gray Avenue",8,25,33,2
"Poroutawhao","Poroutawhao School, State Highway 1",3,19,22,0
"Shannon","Shannon School, Grey Street",32,69,101,7
"Te Horo","Te Horo Hall, 50 School Road",2,11,13,0
"Tokomaru","Tokomaru School, Tokomaru Road",2,16,18,0
"Waikanae","Kapanui School, 23 Rimu Street",7,15,22,0
,"Presbyterian Church Hall, 43 Ngaio Road",3,9,12,2
,"Waikanae Baptist Church, 286 Te Moana Road",7,15,22,1
,"Waikanae Primary School Hall, Hira Street",8,20,28,0
"Waikanae Beach","Waikanae Beach Community Hall, Rauparaha Street",12,22,34,2
"Waitarere Beach","St Aidan's Anglican Church, Waitarere Beach Road",8,14,22,1
,Palmerston North
"Palmerston North","Awapuni Community Centre, 22 Newbury Street",5,16,21,1
,"Awapuni School Hall, 18 Rochester Street",37,60,97,4
,"Central Normal School Hall, 210 Featherston Street",31,75,106,3
,"Cloverlea School Hall, 55 Herbert Avenue",21,43,64,1
,"College Street Normal School Hall, 402 College Street",14,21,35,1
,"Cornerstone Christian School, 61 Roberts Line",13,17,30,2
,"Emmanuel Congregational Church Hall, 43 Victoria Avenue",7,7,14,2
,"Hokowhitu School Hall, 227 Albert Street",7,26,33,0
,"IHC Day Base, 153 Cook Street",10,15,25,2
,"Intermediate Normal School Performing Arts Centre, 31 South Street",15,17,32,2
,"Kelvin Grove Community Centre, 68 Kaimanawa Street",23,53,76,0
,"Metlifecare Retirement Village Lounge, corner Carroll & Fitchett Streets",9,11,20,0
,"Milson School Hall, 5 Rutland Place",34,80,114,2
,"Monrad Intermediate School Hall, 228 Botanical Road",13,45,58,2
,"Olive Tree Village Community Centre, 13 Olive Grove",2,7,9,0
,"Palmerston North Girls' High School Hall, Huia Street",8,31,39,1
,"Palmerston North Senior Citizens Hall, 323-325 Main Street",8,30,38,2
,"Parkland School Library, 41 Parkland Crescent",10,13,23,1
,"Public Hospital Education Centre, Gate 12, 50 Ruahine Street",11,24,35,1
,"Queen Elizabeth College Hall, 350-382 Rangitikei Street",5,17,22,0
,"Rangiora Community Centre, 98-102 Rangiora Avenue",20,47,67,4
,"Riverdale School Hall, 95 Slacks Road",17,14,31,0
,"Roslyn School Hall, 38 Kipling Street",22,61,83,2
,"Ross Intermediate School Hall, 25 Freyberg Street",8,17,25,0
,"Russell Street School Hall, 19-31 Russell Street",12,27,39,3
,"Ryder-Cheshire Centre, 114 Te Awe Awe Street",4,5,9,0
,"Salvation Army Hall, 431 Church Street",7,23,30,0
,"Somerset Crescent School Hall, 45 Somerset Crescent",21,31,52,0
,"St David's Church Hall, 9 Rainforth Street",15,19,34,2
,"St James' School Community Hall, 304 Albert Street",12,20,32,0
,"St Luke's Lutheran Church Hall, corner Church & McGifford Streets",3,13,16,0
,"St Michael's Church Hall, 52 Pembroke Street",55,99,154,10
,"St Oswald's Church Hall, corner Featherston & Kingswood Streets",11,23,34,3
,"St Peter's College, Gym-Classroom, 22-38 Rennie Avenue",10,29,39,1
,"Takaro School Hall, 24 Brighton Crescent",23,60,83,2
,"Terrace End School Hall, 183-209 Ruahine Street",25,36,61,2
,"West End School Hall, 395-427 Botanical Road",10,36,46,0
,"Westbrook Community Centre, 21 Havelock Avenue",31,67,98,1
,"Winchester School Hall, 552 Ruahine Street",10,24,34,0
,Rangitikei
