Electorate Candidate Votes Recorded at Each Voting Place
"Port Hills 41","Candidate Vote Details"
,,"BROSNAN, Christopher Michael","DYSON, Ruth Suzanne","GRIBBEN, Gary James","KORAKO, Tutehounuku","O'ROURKE, Denis John","RUSSELL, Geoffrey Neil","SAGE, Eugenie Meryl","Total Valid Candidate Votes","Informal Candidate Votes"
"Addington","Addington School Hall, 22 Brougham Street (Simeon Street entrance)",0,18,0,7,1,0,7,33,0
"Akaroa","Akaroa Area School Gymnasium, 141 Rue Jolie (Selwyn Avenue entrance)",0,18,0,18,4,0,3,43,0
"Beckenham","Beckenham School, 71 Sandwich Road",1,72,2,71,3,0,18,167,1
,"St Peter's School, 11 Fisher Avenue",4,112,0,96,9,1,24,246,3
"Bromley","Bromley School, 33 Keighleys Road",5,160,0,71,20,0,25,281,2
"Cashmere","Cashmere Primary School, 135 Hackthorne Road",5,302,0,428,7,3,65,810,2
,"Landsdowne Community Centre, 4 Landsdowne Terrace",10,227,2,345,12,1,41,638,2
,"The Princess Margaret Hospital, 97 Cashmere Road (Riley Day Hospital, Entrance 4)",15,274,1,316,18,4,42,670,4
"Cass Bay","TS Godley (former Navy League), 64 Governors Bay Road",1,53,0,71,1,0,10,136,1
"Christchurch City","ABC Salisbury Street, 150 Salisbury Street",0,9,0,10,1,0,2,22,0
,"Christchurch Public Hospital, The Great Escape Cafe, First Floor, 2 Riccarton Avenue",0,40,0,19,9,2,5,75,0
,"HMNZS Pegasus, 419 Montreal Street",0,2,0,5,0,0,1,8,0
,"St Michael's Church School Hall, corner Tuam & Durham Streets",0,22,0,12,1,0,5,40,0
"Governors Bay","Governors Bay School Library, 1 Jetty Road",0,6,0,8,0,0,6,20,0
"Halswell","Aidanfield Christian School, 2 Nash Road",14,130,0,284,15,11,16,470,4
,"Halswell School, corner Kennedys Bush & School Roads",5,191,2,426,27,3,30,684,4
,"Oaklands School, 37 Cunningham Place",22,297,0,376,40,3,39,777,9
,"Saints Peter & Paul Catholic Church Hall, 56 Nicholls Road",33,314,0,447,29,0,50,873,4
,"St Mary's Anglican Church Hall, 329 Halswell Road",33,445,0,794,42,9,76,1399,8
"Heathcote Valley","Heathcote Valley School, 61 Bridle Path Road",8,593,0,322,21,2,59,1005,9
"Hoon Hay","Cashmere Early Learning Centre, 192 Cashmere Road",9,174,0,316,16,3,37,555,5
,"Hoon Hay Presbyterian Church Hall, 5 Downing Street",0,9,0,8,2,1,3,23,0
,"Hoon Hay School Hall, 91 Sparks Road",9,184,0,160,11,1,24,389,4
,"Rowley Avenue School Hall, 48 Rowley Avenue",0,16,1,11,2,0,4,34,0
"Huntsbury","Huntsbury Community Centre, 30H Huntsbury Avenue",2,155,0,148,3,1,25,334,2
"Linwood","Aspire Canterbury, 314 Worcester Street",1,4,0,5,0,0,2,12,0
,"Linwood Avenue School, 260 Linwood Avenue",6,187,1,63,9,7,26,299,5
,"Linwood College, Student Centre, 85 Aldwins Road",3,53,1,31,1,1,14,104,2
