Electorate Candidate Votes Recorded at Each Voting Place
"Ikaroa-Rāwhiti 66","Candidate Vote Details"
,,"EDEN, Cathryn","FOX, Marama Kahu","KANI, Henare Matua","NIKORA, Shane Brisbane","ROSE, Victoria Maree","WHAITIRI, Meka","Total Valid Candidate Votes","Informal Candidate Votes"
"Patutahi","Patutahi School, 29 Atkins Street",2,3,5,9,0,27,46,2
"Ruatoria","Ngata Memorial College, 1 College Road North",1,52,22,77,0,100,252,8
"Te Araroa","Te Waha O Rerekohu Area School, 3 Arewhana Street",1,28,15,29,0,32,105,1
"Te Karaka","Te Karaka Area School, 5 Kanakanaia Road",0,9,12,27,0,66,114,0
"Te Puia Springs","GDC Service Centre, 6 Waipiro Road",0,16,5,27,0,28,76,0
"Tikitiki","Tikitiki School, 33 Rangitukia Road",0,25,16,37,0,65,143,3
"Tokomaru Bay","Hatea-A-Rangi School, 6 School Road",1,22,13,26,1,61,124,5
"Tolaga Bay","Tolaga Bay Area School, Resolution Street",1,25,19,47,1,115,208,4
"Wainui","Wainui Beach School, 56 Wairere Road",0,1,11,7,0,11,30,4
"Whangara","Whangara School, 44 Pa Road",0,3,2,6,0,7,18,0
"Whatatutu","Whatatutu School, 24 Te Hau Road",0,10,1,18,0,36,65,1
,Hutt South
"Belmont","Belmont Hall, 711 Western Hutt Road",2,10,2,4,0,3,21,0
,"Raphael House, 27 Matuhi Street",0,0,4,0,0,3,7,0
"Harbourview","Garage, 12 Panorama Grove",0,4,0,0,0,3,7,0
"Kelson","Kelson School Hall, 52 Taieri Crescent",0,6,6,2,0,13,27,0
"Maungaraki","Maungaraki Community Centre, 135 Dowse Drive",1,8,3,3,0,13,28,0
"Normandale","St Aidans-On-The-Hill Church Hall, 2 Stratton Street",0,3,2,1,0,5,11,0
"Wainuiomata","Arakura School, 209 Wellington Road",0,17,7,27,0,50,101,3
,"Fernlea School, 25a Lees Grove",0,2,4,5,0,12,23,2
,"Holy Trinity Church, 40 Wainuiomata Road",0,9,7,10,0,24,50,0
,"Pukeatua School, 19 Frederick Street",0,17,11,21,0,38,87,3
,"St Peter's Church, 29 Wise Street",2,19,6,13,0,62,102,3
,"Wainuiomata Intermediate School, 66 Konini Street",1,12,5,23,1,37,79,1
,"Wainuiomata Primary School, 5 Homedale Road",0,12,10,14,0,39,75,1
,"Wainuiomata Union Church, 106 Main Road",1,8,3,6,0,29,47,2
,Napier
"Ahuriri","Port Ahuriri School, 15 Lever Street",0,7,9,2,0,10,28,4
"Bayview","Bayview Shops, 20 Hill Road",0,10,5,4,0,24,43,2
,"Community Playgroup, Petane Domain, 16 Onehunga Road",1,1,2,1,0,5,10,0
"Bluff Hill","Napier Central School, 32 Napier Terrace",0,1,2,0,0,6,9,0
,"Napier Girls' High School, 4 Clyde Road",0,0,1,2,0,6,9,0
"Eskdale","Eskdale School, 324 Hill Road",0,2,2,0,0,2,6,1
"Frasertown","Frasertown School, 4 Russell Parade",0,6,4,14,0,28,52,2
"Greenmeadows","Girl Guides Mahoe Hall, corner Auckland Road & York Avenue",0,7,3,9,0,24,43,0
,"Greenmeadows Primary Public School, 45 Osier Road",1,12,5,2,0,30,50,0
,"Salvation Army Hall, 56 Tait Drive  ",2,13,2,8,2,14,41,0
"Jervoistown","Hawkes Bay Fish and Game Offices, 22 Burness Road",0,1,1,2,0,5,9,0
"Kotemaori ","Kotemaori School, State Highway 2",0,1,0,2,1,7,11,0
"Mahia   ","Te Mahia School, 457 Mahia East Coast Road",1,24,4,18,0,47,94,1
"Maraenui","Maraenui Bilingual School, 2a Lister Crescent",2,18,16,47,0,80,163,6
,"Richmond School, 13a Barnard Avenue",0,13,6,23,0,59,101,6
"Marewa","Church of Christ Building, 19 Douglas McLean Avenue",1,6,4,6,0,13,30,0
,"Marewa School, 80 Latham Street",0,17,8,35,0,82,142,3
"Matawai","Matawai School, 29 Raumati Street",0,3,3,6,0,7,19,0
"Meeanee","Meeanee School, 6 Gavin Black Street",0,2,1,1,0,7,11,0
"Mohaka","Mohaka School, Mohaka Coast Road",0,8,1,8,0,16,33,1
"Muriwai","Muriwai School, 1684 Wharerata Road",0,3,3,8,0,26,40,0
"Napier City","Courthouse, 251 Hastings Street ",0,12,6,5,0,29,52,0
,"Napier Intermediate, 3 Jull Street",0,7,9,15,0,22,53,1
"Napier South","St Luke's Church, 196 Vigor Brown Street",3,4,5,0,0,7,19,1
"Nuhaka   ","Nuhaka School, Tamakahu Street ",0,18,7,14,0,34,73,3
"Onekawa","Henry Charles Hall, 109 Henry Charles Terrace",0,2,1,7,1,15,26,0
,"Henry Hill School, 13a Dick Place",0,6,2,14,0,27,49,1
,"Onekawa Primary School, 235 Kennedy Road",1,9,5,8,0,15,38,1
,"Te Kura Kaupapa Māori O Te Ara Hou, 22 Wycliffe Street",0,22,11,31,0,58,122,0
"Patoka","Patoka School, corner Hendley & Puketitiri Roads",1,3,0,2,0,3,9,0
"Pirimai","Baptist Church, 69 Bill Hercock Street ",0,11,3,13,0,38,65,0
"Poraiti","Hohepa Homes, School Cafeteria, 37 Fryer Road",0,3,0,0,0,2,5,1
"Puketapu ","Puketapu School, 708 Puketapu Road",0,4,1,2,0,5,12,0
"Ruakituri","Ruakituri School, 1607 Ruakituri Road",0,5,0,1,0,5,11,1
"Tamatea","Porritt School, 36 Lyttelton Crescent",0,2,7,7,0,26,42,5
,"Tamatea Intermediate, 15 Freyberg Avenue",3,20,9,14,0,30,76,3
,"Tamatea Primary School, 10 Durham Avenue",1,16,6,22,0,43,88,3
"Taradale","Bledisloe School, 30a Meeanee Road",3,13,4,8,0,26,54,1
,"Taradale High School, 50 Murphy Road",1,2,8,4,0,19,34,0
,"Taradale Primary School, 10 Church Road",1,7,5,5,0,24,42,1
,"Taradale Senior Citizens (Friendship Centre), 10 Symons Lane",0,7,4,8,0,12,31,2
"Te Awa","Te Awa School, 1a Te Awa Avenue",2,9,3,12,0,32,58,4
"Te Pohue","Te Pohue School, 44 Richmond Road",0,3,0,0,0,4,7,0
"Tuai","Tuai Public Hall, corner Main Road & Waikare-Taheke Street",0,2,1,0,0,8,11,0
"Wairoa","Taihoa Marae, 174 State Highway 2 North",1,27,26,34,0,105,193,4
