Electorate Candidate and Party Votes Recorded at Each Polling Place
"Waiariki 70","Candidate Vote Details"
,,"FLAVELL, Te Ururoa James William Ben","RIRINUI, Mita Michael","Total Valid Candidate Votes","Informal Candidate Votes"
,Bay of Plenty
"Kaimai","Kaimai School, Room 1, 1853 State Highway 29",6,3,9,2
"Matakana Island","Te Kura O Te Moutere O Matakana, 183 Opureora Road ",60,23,83,1
"Matapihi","Matapihi School, Room 3, 398 Matapihi Road",79,71,150,3
"Maungatapu","Maungatapu Free Kindergarten, 187 Te Hono Street",36,51,87,3
,"Maungatapu School Hall, 164 Maungatapu Road",86,95,181,5
"Mt Maunganui","Arataki Community Centre, Grenada Park, Monowai Street",39,39,78,2
,"Arataki School Hall, 4 Kaimanawa Street",85,98,183,5
"Ohauiti","Ohauiti Settlers' Hall, 459 Ohauiti Road",16,7,23,2
"Omokoroa","Omokoroa No. 1 School, Corner of Plummers Point & Emeny Roads",3,4,7,0
,"Omokoroa Point School, 37 Hamurana Road",12,10,22,2
"Oropi","Oropi School Computer Room, 1334 Oropi Road",6,4,10,0
"Pahoia","Pahoia School, Room 1, 29 Esdaile Road",7,6,13,1
"Papamoa","Papamoa Community Centre and Library, Tohora Room, 15 Gravatt Road",56,44,100,5
,"Papamoa Primary School Hall, 312 Dickson Road",39,34,73,3
,"Papamoa Sports & Recreation Centre, Gordon Spratt Reserve, 127 Parton Road",7,4,11,0
,"Tahatai Coast School Hall, 45 Evans Road",52,32,84,2
,"Te Akau Ki Papamoa School Hall, 29 Doncaster Drive",48,28,76,2
"Pyes Pa","Pyes Pa School Hall, 968 Pyes Pa Road",14,6,20,4
"Te Puke","Te Puke Memorial Hall, Pioneer Room, 130 Jellicoe Street",170,113,283,15
,"Te Puke Primary School, Corner of Cameron Road & Kowhai Avenue",40,33,73,6
"Te Puna","Te Puna Memorial Hall, Te Puna Road",38,30,68,2
,"Te Puna School Staffroom, 225 Te Puna Road",63,32,95,0
"Waitangi","Te Kura Kaupapa Maori o Te Matai, 309 State Highway 2",86,41,127,4
"Welcome Bay","Baden Powell Hall, 39 Welcome Bay Road",49,52,101,4
,"Selwyn Ridge School Hall, 20 Holmburn Street",22,28,50,2
,"Welcome Bay School Hall, 309 Welcome Bay Road",101,66,167,1
"Whakamarama","Whakamarama Public Hall, Whakamarama Road",5,4,9,0
,Coromandel
"Athenree","Athenree Fire Brigade Hall, 43 Roretana Drive",14,9,23,0
"Katikati","Katikati Christian Centre, 11-13 Henry Road",40,15,55,0
,"Katikati Primary School, 24 Beach Road",28,23,51,4
,East Coast
"Awakeri","Awakeri School, Room 2, 976 State Highway 30",42,17,59,1
"Cape Runaway","Te Kura Mana Maori o Whangaparaoa, State Highway 35",37,10,47,0
"Coastlands","Rangitaiki Independent School, 33 Meadow Vale",37,7,44,2
"Edgecumbe","Edgecumbe College, College Road",39,19,58,0
,"Edgecumbe District War Memorial Hall, corner Kauri & Main Street",67,38,105,0
"Kutarere","Kutarere School, 461 State Highway 2",64,15,79,6
"Maraenui","Te Kura Mana Maori, State Highway 35",14,11,25,0
"Matata","Matata Public School, 43 Pollen Street",66,38,104,2
"Ohope","Ohope Beach School, 170 Pohutukawa Avenue",30,6,36,0
,"Ohope Community Hall, Bluett Road",28,9,37,3
"Omaio","Te Kura o Omaio, School Road",74,21,95,1
"Omarumutu","Omarumutu School, 141 Omarumutu Road",38,9,47,2
"Opotiki","Opotiki College Hall, St John Street",150,62,212,9
,"Opotiki Senior Citizens Hall, 1 King Street",166,112,278,4
"Otakiri","Otakiri School, Staff Room, 571 Otakiri Road",13,8,21,0
"Raukokore","Raukokore School, State Highway 35",37,5,42,3
"Ruatoki North","Tawera Bilingual School, 164 Ngahina Road",71,13,84,0
"Taneatua","Taneatua School, 44 McKenzie Street",105,42,147,4
"Te Kaha","Te Whanau - A - Apanui Area School, State Highway 35",105,36,141,2
"Te Teko","Te Kura o Te Teko School Hall, 6 Edgecumbe/Te Teko Highway",221,65,286,7
"Thornton","Thornton School Hall, 43 Eastbank Road",5,2,7,0
"Torere","Te Kura o Torere, 2276 State Highway 35",32,20,52,3
