Electorate Candidate and Party Votes Recorded at Each Polling Place
"Papakura 39","Candidate Vote Details"
,,"CATCHPOLE, Brent Stanley","COLLINS, Judith Anne","GRIMWOOD, Rachel Louise","HEREORA, David","MOCKRIDGE, Bryan","O'DEA, Patrick John","THOMPSON, John Stanley","Total Valid Candidate Votes","Informal Candidate Votes"
"Alfriston","Alfriston School, corner Mill & Alfriston Roads",20,502,16,83,2,2,34,659,7
"Ardmore","Ardmore School, 559 Papakura Clevedon Road",23,394,21,41,1,0,23,503,3
"Clarks Beach","Church By The Seashore, 14-16 Torkar Road",25,344,21,97,2,4,16,509,4
"Drury","Drury School, 23-25 Youngs Crescent",52,1109,48,193,10,5,71,1488,15
"Karaka","Karaka School, corner Blackbridge Road & State Highway 22",6,384,14,58,3,1,23,489,4
,"Te Hihi School, corner Linwood & Batty Roads",17,497,25,68,3,0,24,634,1
"Manurewa","Alfriston College, 550 Porchester Road",40,604,41,556,16,4,41,1302,17
,"Clayton Park School, corner Coxhead & Wattle Farm Roads",81,1403,81,768,17,5,86,2441,31
,"Elmwood Village, 131 Hill Road",18,315,20,114,4,0,10,481,7
,"Greenmeadows Intermediate, Ferguson Road entrance",0,5,1,8,0,0,0,14,0
,"Manurewa Central School, corner Great South & Hill Roads",3,40,4,47,2,0,1,97,4
,"Manurewa East School, Scotts Road",4,15,3,49,3,1,2,77,4
,"Manurewa Library, 7 Hill Road",10,139,12,113,0,1,8,283,13
,"The Gardens School, 101 Charles Prevost Drive",38,928,41,200,11,4,53,1275,8
"Papakura","Cosgrove School, 10 Cosgrave Road",114,719,63,385,13,13,22,1329,15
,"Kelvin Road School, 74-76 Kelvin Road",51,280,37,336,6,5,13,728,13
,"Nga Puawai o Wikitoria Te Kohanga Reo, 32 Old Wairoa Road",25,157,17,110,1,2,16,328,6
,"Opaheke School, 12a Tasman Drive",62,794,69,255,13,5,36,1234,10
,"Papakura Anglican Church, 40 Coles Crescent",65,445,30,263,9,1,24,837,16
,"Papakura Central School, 23 Ray Small Drive",108,1019,50,358,6,1,46,1588,10
,"Papakura District Court, corner Great South Road & Wood Street",43,352,34,243,8,4,27,711,4
,"Papakura High School, 11 Willis Road",66,389,42,363,9,2,20,891,20
,"Papakura Normal Primary School, corner Walters & Porchester Roads",53,680,51,364,4,2,51,1205,12
,"Papakura South School, 58 Beach Road",28,429,32,199,8,3,27,726,3
,"Redhill School, School Hall, 54 Redcrest Avenue (Mack Place entrance)",43,340,41,197,8,3,21,653,14
,"Rosehill Intermediate, 5 Jupiter Street",38,357,34,291,7,9,24,760,7
"Patumahoe","Patumahoe School, 38 Patumahoe Road",1,60,6,7,0,0,1,75,0
"Ramarama","Ramarama School, 126 Ararimu Road",0,50,0,3,1,0,1,55,0
"Takanini","Conifer Grove School, School Hall, 70 Walter Strevens Drive entrance",44,1230,46,327,12,3,60,1722,9
,"Takanini Church of Christ Hall, 160 Great South Road",32,261,20,195,3,1,18,530,13
,"Takanini School, School Hall, 39 Takanini School Road (Old Park Place entrance)",32,281,37,256,2,2,19,629,11
"Waiau Pa","Waiau Pa School, Events Centre, 571 Waiau Pa Road",17,540,32,96,3,1,32,721,4
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Hospital Votes",66,313,18,183,4,1,6,591,27
,"Ordinary Votes BEFORE polling day",145,1807,90,677,20,6,76,2821,30
,"Special Votes BEFORE polling day",22,210,14,122,2,0,13,383,6
,"Special Votes On polling day",103,1227,153,866,11,11,101,2472,70
,"Overseas Special Votes including defence force",9,197,19,48,1,0,11,285,0
,"Papakura Total",1504,18816,1283,8539,225,102,1057,31526,418
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",31944
"Electorate Candidate Valid Votes","Party",,"COLLINS, Judith Anne - majority 10277"
"CATCHPOLE, Brent Stanley",New Zealand First Party,1504,.0477066548
"COLLINS, Judith Anne",National Party,18816,.5968407029
"GRIMWOOD, Rachel Louise",Green Party,1283,.0406965679
"HEREORA, David",Labour Party,8539,.2708558016
"MOCKRIDGE, Bryan",United Future,225,.0071369663
"O'DEA, Patrick John",RAM - Residents Action Movement,102,.0032354247
"THOMPSON, John Stanley",ACT New Zealand,1057,.0335278817
