Electorate Candidate and Party Votes Recorded at Each Polling Place
"New Plymouth 31","Candidate Vote Details"
,,"ALBERS, George Christopher","DUYNHOVEN, Harry James","KANE, Rusty","WEBBER, Michael St George","YOUNG, Jonathan Edgar Joseph","Total Valid Candidate Votes","Informal Candidate Votes"
"Bell Block","Bell Block School Library, 957 Devon Road",11,381,25,5,501,923,7
,"Fred Tucker Memorial Community Centre, 130 Parklands Ave",11,394,19,4,412,840,6
,"Puketapu School Hall, 2 Dillon Drive",6,338,11,7,353,715,3
"Egmont Village","Egmont Village Community Centre, 1299 Egmont Road",7,114,8,0,235,364,4
"Glen Avon","Glen Avon Hall, 23 Alberta Road",3,146,5,3,178,335,0
"Hillsborough","Hillsborough Public Hall, 373 Egmont Road",6,90,3,2,239,340,0
"Hurworth","Hurworth Public Hall, 940 Carrington Road",3,87,4,0,118,212,2
"Inglewood","Inglewood High School, Kelly Street entrance",2,25,3,0,47,77,0
"Lepperton","Lepperton School, corner Richmond Road & Whitcombe Street",6,105,10,1,275,397,5
"Mangorei","Mangorei School Hall, 496 Mangorei Road",10,320,18,4,512,864,8
"Mokau","Mokau Primary School, corner Rangi Street & Aria Terrace",1,23,0,0,22,46,0
"New Plymouth","Air Training Corps Rooms, 367a Carrington Street",10,261,11,2,275,559,5
,"Blind Foundation, 131 Vivian Street",9,202,11,2,177,401,5
,"Boys' High School, Pridham Hall, 97 Eliot Street",9,243,15,1,297,565,5
,"Central School Hall, 49 Pendarves Street entrance",16,441,30,1,457,945,13
,"Fitzroy Hall, 45 Sackville Street",14,679,42,3,650,1388,13
,"Frankleigh Park Kindergarten, 147a Govett Avenue",5,320,8,2,416,751,8
,"Frankley School, 357 Tukapa Street",12,295,12,1,319,639,5
,"Girls' High School 7th Form Study, main entrance, 42 Mangorei Road",8,302,12,1,350,673,4
,"Holy Trinity Church Hall, 8 Henui Street",6,230,18,0,354,608,5
,"Marfell School Hall, 92a Omata Road entrance",3,237,2,3,93,338,6
,"Merrilands School Hall, 7 Kauri Street",13,658,23,0,760,1454,12
,"Moturoa School, 43 Pioneer Road",5,211,14,2,146,378,1
,"Onuku Taipari Hall, 134 Ngamotu Road",10,349,13,0,194,566,6
,"Spotswood College Library, 129 South Road",12,369,8,1,270,660,6
,"Spotswood Primary School Hall, 177 South Road",13,411,16,2,424,866,11
,"St Chad's Church Hall, 12 Omata Road",12,614,24,1,424,1075,10
,"St James Presbyterian Hall, 24 Lawry Street",14,379,13,4,266,676,7
,"St John Rooms, 318 St Aubyn Street",6,300,10,4,234,554,3
,"St Joseph’s Community Centre, 147 Devon Street West",9,234,7,6,232,488,6
,"St Pius X School, 120 Brooklands Road",12,316,12,3,304,647,4
,"Taranaki Base Hospital, Clinical Skills Lab., Lyn Street entrance",3,164,7,1,137,312,0
,"Taranaki Disability Resource Centre, 28 Young Street",2,102,9,1,81,195,3
,"Vogeltown School Hall, 35 Huatoki Street",12,558,23,6,522,1121,16
,"Welbourn School Hall, Welbourn Terrace entrance",12,493,23,4,410,942,12
,"West End School, 12 Davies Lane",8,246,16,1,232,503,4
,"Westown School Hall, 41 Sanders Avenue",18,902,33,2,717,1672,15
,"Woodleigh School Hall, 93 Brois Street",10,355,22,4,310,701,3
"Oakura","Oakura School, 16 Donnelly Street",12,419,19,9,537,996,11
"Okato","Coastal Taranaki School, 88 Carthew Street",8,173,10,4,252,447,4
"Omata","Omata School Hall, 3 Holloway Road",17,138,8,1,200,364,5
"Urenui","Urenui School (old room 2), Takiroa Street",1,17,2,0,25,45,0
"Waitara","Owae Marae, 16 North Street",0,52,2,0,23,77,1
,"Waitara Central School Hall, 18 Cracroft Street",12,519,31,5,418,985,15
,"Waitara High School Hall, 16 Princess Street",6,449,17,7,348,827,5
,"Waitara West Kindergarten, 16 Wood Street",7,302,16,0,178,503,3
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0
,"Hospital Votes",1,236,8,3,259,507,25
,"Ordinary Votes BEFORE polling day",31,1047,46,8,1370,2502,24
,"Special Votes BEFORE polling day",6,227,5,4,154,396,9
,"Special Votes On polling day",21,798,46,13,648,1526,22
,"Overseas Special Votes including defence force",4,163,6,3,184,360,2
,"New Plymouth Total",455,16434,756,141,16539,34325,349
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34674
"Electorate Candidate Valid Votes","Party",,"YOUNG, Jonathan Edgar Joseph - majority 105"
"ALBERS, George Christopher",ACT New Zealand,455,.0132556446
"DUYNHOVEN, Harry James",Labour Party,16434,.478776402
"KANE, Rusty",Independent,756,.0220247633
"WEBBER, Michael St George",Libertarianz,141,.0041077932
"YOUNG, Jonathan Edgar Joseph",National Party,16539,.4818353969
