Electorate Candidate and Party Votes Recorded at Each Polling Place
"Rangitata 41","Candidate Vote Details"
,,"BLANCHARD, Julian Malcolm","CORBETT, Thomas Frederick","GOODHEW, Joanne Gay","LIGTENBERG, Gerdina Henrica Adriana Maria","McMILLAN, Andrew James","Total Valid Candidate Votes","Informal Candidate Votes"
"Alford Forest","Alford Forest Hall, corner Highway 72 and Alford Forest Settlement Road",9,1,105,15,0,130,1
"Arowhenua","Arowhenua Maori School, 33 Huirapa Street",16,0,23,0,1,40,0
"Ashburton","Allenton School Hall, 110 Harrison Street",429,17,1236,53,19,1754,44
,"Ashburton Intermediate School, 144 Cass Street",433,13,776,55,10,1287,52
,"Hampstead School, 55 Wellington Street",323,7,493,31,8,862,47
,"Sinclair Community Centre, 74 Park Street",247,7,655,47,11,967,27
,"St John Rooms,  241 Tancred Street",166,3,283,20,3,475,27
,"Tinwald War Memorial Hall, corner Graham and McMurdo Streets",425,16,1201,70,8,1720,66
,"Walnut Ave Pavillion, 66 Walnut Avenue",192,4,591,38,3,828,25
"Carew","Carew Peel Forest School, 1051 Ealing-Montalto Road",10,6,117,1,0,134,1
"Chertsey","Chertsey Primary School Library, 83 High Street",33,2,109,9,5,158,3
"Clandeboye","Clandeboye Old School, 1 Kotuku Place",54,1,103,10,4,172,1
"Dorie","Dorie School, 103 Dorie School Road",10,0,72,4,1,87,0
"Fairton","Fairton School, 14 Fairfield Road",38,1,123,6,2,170,9
"Geraldine","Geraldine Primary School, 73 Wilson Street",12,0,25,2,0,39,0
"Greenstreet","Greenstreet-Ashburton Forks Hall, Corner Ashburton-Staveley Road and Driscolls Road",7,0,93,4,2,106,1
"Hinds","Hinds School, 54 Reed Street",51,8,238,13,4,314,6
"Lagmhor","Lagmhor Site, Ashburton Borough School, Tinwald-Westerfield-Mayfield Road",10,2,104,5,1,122,1
"Lauriston","Lauriston School, corner Church and Coleridge Streets",14,1,140,3,0,158,3
"Lowcliffe","Lowcliffe/Coldstream Hall, 9 Trig Pole Road",13,0,83,2,0,98,2
"Mayfield","Mayfield School, 14 Lismore-Mayfield Road",32,14,256,5,4,311,9
"Methven","Mt Hutt College Hall, corner Main and McDonald Streets",132,11,729,57,8,937,29
"Mt Somers","Mt Somers Springburn School, Ashburton Gorge Road",24,1,201,11,1,238,3
"Orari","Orari Coronation Hall, 8 McDonald Street",64,2,110,16,1,193,6
