Electorate Candidate Votes Recorded at Each Voting Place
"Wellington Central 60","Candidate Vote Details"
,,"BARR, Hugh","FOSTER-BELL, Paul Ayers Robert","GREGORY, Alistair","HOOPER, Brian William","KARENA WHUIMAONO, Geoffrey","KNUCKEY, James Nicholas Ransom","ROBERTSON, Grant Murray","ROBINSON, Peter Franklin","SHAW, James Peter Edward","VALENTINE, Callum Nicholas","Total Valid Candidate Votes","Informal Candidate Votes"
"Berhampore","South Wellington Intermediate School Mini Hall, 165 Rintoul Street",0,2,0,0,0,0,5,0,0,0,7,0
"Brooklyn","Brooklyn Community Centre, 18 Harrison Street",11,232,6,6,0,1,462,2,95,3,818,1
,"Brooklyn School Hall, 58 Washington Avenue",7,189,3,4,1,2,335,2,69,3,615,3
,"St Bernard's School Hall, 40 Taft Street",2,39,0,0,0,0,82,0,15,0,138,1
"Crofton Downs","Crofton Downs Primary School Hall, 1 Chartwell Drive",0,3,0,0,0,0,5,0,3,0,11,0
"Hataitai","Garage, 38 Upoko Road",1,3,0,0,0,0,1,0,3,0,8,0
,"Hataitai School Hall, corner Arawa, Hataitai & Hohiria Roads",0,7,0,0,0,0,8,0,4,0,19,0
,"Kilbirnie School Hall, 72 Hamilton Road",1,5,0,0,0,0,12,0,2,1,21,0
"Island Bay","Island Bay Presbyterian Church Lounges, 88 The Parade",0,5,0,0,0,0,12,0,2,0,19,0
"Johnsonville","Broderick Road Chapel, 17 Broderick Road",2,9,1,0,0,0,9,0,3,0,24,0
,"Onslow College Hall, Burma Road",0,4,0,0,0,2,14,0,4,0,24,1
"Karori","Karori Baptist Church, 161-163 Karori Road",7,313,4,9,1,0,364,2,56,2,758,1
,"Karori Normal School, 2 Donald Street",20,503,5,8,0,2,531,4,76,3,1152,12
,"Karori Playcentre, 64 Campbell Street",8,244,2,2,0,1,349,1,58,3,668,0
,"Karori West Normal School Hall, 7-21 Allington Road",29,306,8,11,0,1,521,3,91,7,977,8
,"St Teresa's Parish Hall, 301 Karori Road",20,389,5,20,1,1,430,0,71,1,938,6
,"Sunshine Kindergarten, 21a Sunshine Avenue",12,124,2,9,0,0,232,1,54,0,434,3
"Kelburn","Kelburn Normal School, 16 Kowhai Road",8,205,4,4,0,0,392,1,84,2,700,3
,"St Michael's and All Angels Parish Hall, 83 Upland Road",8,245,6,2,2,0,442,1,73,4,783,4
"Khandallah","St Barnabas Parish Hall, 35 Box Hill",0,3,0,0,0,1,4,0,1,0,9,0
"Kilbirnie","Evans Bay Intermediate School Hall, 14 Kemp Street",0,4,1,0,0,0,5,0,5,0,15,0
,"St Patrick's College School Hall, corner Evans Bay Parade & Cobham Drive",3,5,0,0,0,0,12,0,2,0,22,1
"Kingston","Capital Montessori School, Rata Classroom, 14 Camrose Grove",0,1,0,0,0,0,7,0,3,0,11,0
"Makara","Makara Model School, 399 Makara Road",10,89,2,3,0,2,49,0,8,0,163,1
"Miramar","Miramar Community Centre, 23 Chelsea Street",0,2,0,0,0,0,7,0,0,1,10,0
"Mornington","Ridgway School Hall, 120 Mornington Road",0,9,1,0,0,0,8,0,1,0,19,0
"Mt Cook","Davidic Centre, 2nd floor, 28-30 Hopper Street",8,65,2,3,0,2,133,0,36,2,251,6
,"Mount Cook Primary School, 160 Tory Street",11,173,10,5,1,0,223,0,72,2,497,3
,"St Paul's Lutheran Church, 12 King Street",4,23,2,1,2,0,74,1,21,1,129,1
,"Wellington High School, 249 Taranaki Street",5,74,6,1,0,0,251,1,70,3,411,1
"Mt Victoria","Clyde Quay School Hall, 27 Elizabeth Street",23,357,14,12,2,1,687,0,169,3,1268,8
,"St Joseph's Church, Bill Pearce Room, 150 Brougham Street",6,68,3,6,0,0,147,3,32,2,267,2
"Newtown","Newtown Park Stadium, Function Room, Daniell Street or Mansfield Street entrances",1,0,0,0,0,0,5,0,3,0,9,0
,"Newtown School Hall, corner Riddiford & Mein Streets",2,22,1,0,1,0,73,0,19,1,119,3
,"Salvation Army Hall, 16-22 Constable Street",1,5,1,1,0,0,25,0,7,0,40,1
,"Te Whaea New Zealand School of Dance, 11 Hutchison Road",1,28,1,1,0,1,89,0,22,1,144,1
,"Wellington Hospital, Te Ao Marama Building Sports Complex, Riddiford Street (main entrance)",1,10,2,1,0,0,15,0,9,0,38,0
,"Wellington Pipe Band Hall, corner Stoke & Hanson Streets",1,9,0,0,0,0,10,0,3,0,23,0
"Northland","Northland School, 14 Harbour View Road",9,163,5,3,1,1,384,0,51,1,618,2
,"St Anne's Church Hall, corner Northland & Randwick Roads",8,133,5,6,1,1,343,0,56,1,554,3
"Owhiro Bay","Owhiro Bay School Hall, 96 Happy Valley Road",3,5,0,0,0,0,11,0,4,1,24,2
"Rongotai","Rongotai College, Renner Hall, 170 Coutts Street",0,8,0,0,0,0,14,0,2,0,24,0
