Electorate Candidate and Party Votes Recorded at Each Polling Place
"Epsom 12","Candidate Vote Details"
,,"BANKS, John","BRIGHT, Penelope Mary","GOLDSMITH, Paul Jonathan","GOODE, Matthew Gavin","HAY, David Robert","KAN, Shuimo Simon","O'DEA, Patrick John","PARKER, David William","Total Valid Candidate Votes","Informal Candidate Votes"
"Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",18,0,37,1,6,0,0,16,78,0
,"AUT Wellesley Campus, Building WA, Conference Room, Gate 2, 55 Wellesley Street ",9,0,26,1,8,1,0,8,53,2
,"Liston House, 30-32 Hobson Street",6,0,8,0,0,0,0,3,17,0
,"Methodist Church Hall, 78 Pitt Street",6,0,9,0,1,1,0,4,21,0
"Balmoral","Auckland Deaf Society Incorporated, 164 Balmoral Road",43,2,87,0,12,5,3,39,191,0
"Epsom","Auckland Grammar School, 85 Mountain Road",484,4,384,1,70,7,1,110,1061,16
,"Epsom Girls Grammar School, 14 Silver Road",560,5,452,1,79,22,3,217,1339,29
,"Epsom Methodist Church Hall, 12 Pah Road",276,3,268,2,29,2,1,67,648,6
,"Epsom Normal School, 41 The Drive",952,3,521,2,98,26,3,254,1859,27
,"Sacred Heart Parish Hall, 19 Banff Avenue",490,4,369,1,43,21,1,98,1027,11
,"St George's Church Hall, 19 Ranfurly Road",525,5,492,4,56,17,3,123,1225,16
"Grafton","Auckland City Hospital, Park Road",58,4,87,1,23,2,0,50,225,4
,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",115,3,172,0,39,3,3,71,406,1
"Greenlane","Cornwall Park District School, corner Greenlane West & Wheturangi Roads",455,2,281,3,33,16,1,92,883,23
"Kingsland","Congregational Christian Church of Samoa, 50 Bond Street",7,0,12,0,4,0,0,3,26,0
,"Kowhai Intermediate School, 26 Onslow Road",12,0,33,0,15,1,0,12,73,1
"Mechanics Bay","Auckland Marine Rescue Centre, 3 Solent Street",11,1,11,0,4,0,0,1,28,0
"Mt Albert","Marist College, 31 Alberton Avenue",1,0,6,0,0,0,0,2,9,0
,"Mt Albert Baptist Church, Jubilee Hall, 732 New North Road",3,0,4,0,1,1,0,2,11,0
"Mt Eden","Auckland Normal Intermediate, 24 Poronui Street",274,1,252,1,51,4,3,71,657,6
,"Auckland Provincial Guide Centre, 132 Grange Road",150,5,219,2,52,8,3,70,509,3
,"Balmoral School Hall, 19 Brixton Road",30,0,32,0,5,0,0,9,76,1
,"Ficino School, 27 Esplanade Road",124,4,285,0,53,11,2,115,594,9
,"Maungawhau School, 43 Ellerton Road",184,0,189,1,24,3,0,48,449,3
,"Mt Eden Normal Primary School, 73 Valley Road",450,4,656,1,122,16,6,236,1491,22
,"St Albans Anglican Church Hall, 443 Dominion Road",65,0,95,0,16,2,0,41,219,1
,"Valley Road International Church Hall, 393 Mt Eden Road",248,2,405,5,79,14,0,130,883,11
"One Tree Hill","St Oswald's Anglican Church Hall, 193 Campbell Road",13,0,17,0,2,0,0,4,36,1
"Parnell","Jubilee Hall, Parnell Community Centre, 545 Parnell Road",435,6,473,0,77,14,1,119,1125,8
,"Parnell District School, 48 St Stephens Avenue",1000,8,731,1,77,10,0,89,1916,15
,"Selwyn Library, 10 St Stephens Avenue",300,2,332,3,49,5,1,58,750,4
"Ponsonby","All Saints Anglican Church, 284 Ponsonby Road",12,0,17,0,5,0,0,3,37,0
"Remuera","Baptist Church Hall, 641 Remuera Road",274,1,175,0,19,4,0,23,496,1
,"Meadowbank Primary School, 68 Waiatarua Road",109,0,88,1,10,0,0,12,220,1
,"Remuera Intermediate School, 36 Ascot Avenue",360,2,218,3,29,5,1,65,683,8
,"Remuera Primary School, 25-33 Dromorne Road",533,4,335,1,28,10,0,85,996,12
,"Somervell Presbyterian Church and Community Centre, 497 Remuera Road",214,0,149,0,11,4,0,15,393,2
,"St Aidan's Parish Hall, 5 Ascot Avenue",730,2,452,3,39,8,0,57,1291,12
,"St Joseph of Cluny Kindergarten, 74 Victoria Avenue",629,2,303,0,26,9,1,45,1015,11
,"St Mark's Church Hall, 95 Remuera Road",752,0,499,4,64,9,2,68,1398,11
,"Victoria Avenue School, 250 Victoria Avenue",938,4,550,4,63,11,1,74,1645,8
"Royal Oak","Royal Oak Primary School, Chandler Avenue (663 Manukau Road entrance)",80,0,81,0,7,0,0,21,189,6
"Three Kings","Three Kings School, 944 Mt Eden Road",46,0,55,0,6,1,0,11,119,1
"Waiheke Island","Matiatia Oneroa Ratepayers - Morra Hall, 115 Ocean View Road",22,0,14,0,0,0,0,2,38,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Auckland Central",79,1,94,0,9,1,0,24,208,4
,"Ordinary Votes BEFORE polling day - Taken in Epsom",2007,21,1596,6,219,29,6,387,4271,62
,"Ordinary Votes BEFORE polling day - Taken in Mt Roskill",68,1,72,0,12,0,0,43,196,2
,"Special Votes BEFORE polling day",260,4,260,0,59,5,6,108,702,7
,"Special Votes On polling day",1044,12,1247,6,337,33,12,405,3096,68
,"Overseas Special Votes including Defence Force",374,2,424,0,89,1,2,141,1033,7
