Electorate Candidate Votes Recorded at Each Voting Place
"Bay of Plenty 2","Candidate Vote Details"
,,"CUNLIFFE, Deborah","DOLMAN, Raymond","HORAN, Brendan Francis John","LIVINGSTON-POOLEY, Tracy","MULLER, Todd Michael","RICKARD, Benjamin John Cranswick","WILSON, Clare Campbell","Total Valid Candidate Votes","Informal Candidate Votes"
"Bethlehem","Bethlehem Primary School Hall, 66 Carmichael Road",11,19,8,2,112,2,30,184,0
,"Bethlehem Tertiary Institute, 24 Elder Lane",8,3,2,0,45,0,7,65,0
"Kaimai","Kaimai School, 1853 State Highway 29",14,33,13,1,225,1,35,322,3
"Matakana Island","Te Kura O Te Moutere O Matakana, 183 Opureora Road ",0,8,1,0,4,0,5,18,0
"Matapihi","Te Kura o Matapihi, 398 Matapihi Road",2,24,7,1,83,3,44,164,1
"Maungatapu","Maungatapu Free Kindergarten, 187 Te Hono Street",18,96,17,3,357,2,90,583,7
,"Maungatapu Primary School, 164 Maungatapu Road",25,141,38,4,473,5,171,857,6
"Mount Maunganui","Arataki Community Centre, Zambuk Way (off Grenada Street)",28,115,53,2,442,4,230,874,10
,"Arataki School, 4 Kaimanawa Street",32,110,44,6,432,3,225,852,10
,"Harbourside Netball Pavilion, Blake Park, Maunganui Road",2,7,2,0,52,0,10,73,1
,"Mt Maunganui College, 565 Maunganui Road",7,40,17,1,194,2,60,321,1
,"Mt Maunganui Intermediate School, 21 Links Avenue",15,88,18,9,278,4,125,537,13
,"Mt Maunganui Primary School, 13 Orkney Road",1,4,4,0,35,0,7,51,1
,"Senior Citizens' Hall, 345 Maunganui Road",1,6,16,0,78,0,22,123,1
,"St Peter's Church Hall, 11 Victoria Road",0,3,0,0,22,0,9,34,0
"Ohauiti","Ohauiti Settlers Hall, 459 Ohauiti Road",36,89,20,2,478,4,106,735,5
"Omokoroa","Omokoroa No. 1 School, 11 Emeny Road",6,32,8,2,253,1,31,333,6
,"Omokoroa Point School, 37 Hamurana Road",34,90,30,5,775,3,165,1102,7
"Oropi","Oropi School, 1334 Oropi Road",7,32,9,2,232,1,49,332,3
"Pahoia","Pahoia School, 29 Esdaile Road",13,63,13,2,372,0,92,555,9
"Papamoa","Golden Sands Primary School, 26 Golden Sands Drive",28,88,28,1,605,1,200,951,9
,"Papamoa Primary School, 312 Dickson Road",28,110,50,7,415,2,222,834,11
,"Shop 32, Palm Beach Plaza, 7 Gravatt Road",52,253,72,2,996,5,346,1726,14
,"Tahatai Coast School, 45 Evans Road",40,144,71,4,860,4,299,1422,9
,"Te Akau ki Papamoa Primary School, 29 Doncaster Drive",18,68,33,7,354,1,146,627,6
"Pyes Pa","Aquinas College, 183 Pyes Pa Road",12,27,7,0,198,0,29,273,1
,"Pyes Pa School, 978 Pyes Pa Road",10,30,8,1,163,2,35,249,1
"Tauranga","Central Baptist Church Hall, corner Cameron Road & 13th Avenue",2,9,12,1,58,0,26,108,1
,"Greenpark School, 13 Lumsden Street",7,34,7,1,163,2,39,253,2
,"Greerton Community Hall, 1247 Cameron Road",20,53,6,0,125,0,68,272,2
,"Matua Community Hall, 110 Levers Road",1,6,2,0,17,0,2,28,0
,"Merivale School, 26 Kesteven Avenue",3,8,4,0,27,0,12,54,1
,"Otumoetai School, 236 Otumoetai Road",3,7,5,0,14,0,7,36,0
,"St Peter's Community Centre, 130 Spring Street",3,3,3,0,32,1,11,53,0
,"Tauranga Girls' College Hall, 930 Cameron Road",13,16,6,1,61,1,16,114,2
,"Tauranga Intermediate School, 30 18th Avenue",1,9,1,0,54,1,27,93,2
,"Tauranga Primary School Hall, 31 5th Avenue",6,22,6,2,90,2,29,157,1
"Tauriko","Tauriko School, 768 State Highway 29",22,56,20,4,331,1,72,506,1
"Te Puna","Te Puna Memorial Hall, Te Puna Road",36,99,17,3,584,2,82,823,9
,"Te Puna School, 225 Te Puna Road",14,47,5,1,195,3,53,318,3
"Welcome Bay","Baden Powell Hall, 39 Welcome Bay Road",68,150,30,4,583,7,178,1020,11
,"Selwyn Ridge Primary School, 20 Holmburn Street",31,78,33,6,375,2,126,651,6
,"Welcome Bay School, 309 Welcome Bay Road",62,133,22,4,579,6,215,1021,19
"Whakamarama","Whakamarama Public Hall, 469 Whakamarama Road",18,49,17,13,221,1,35,354,5
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",443,1678,379,38,7951,34,2099,12622,142
,"Special Votes BEFORE polling day",27,108,25,6,510,4,205,885,12
,"Special Votes On polling day",75,232,86,10,937,14,450,1804,23
,"Overseas Special Votes including Defence Force",19,22,6,2,295,4,97,445,1
,"Bay of Plenty Total",1322,4542,1281,160,21735,135,6639,35814,378
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36192
"Electorate Candidate Valid Votes","Party",,"MULLER, Todd Michael - majority 15096"
"CUNLIFFE, Deborah",Conservative,1322,.0369129391
"DOLMAN, Raymond",New Zealand First Party,4542,.1268219132
"HORAN, Brendan Francis John",NZ Independent Coalition,1281,.0357681354
"LIVINGSTON-POOLEY, Tracy",Democrats for Social Credit,160,.0044675267
"MULLER, Todd Michael",National Party,21735,.6068855755
"RICKARD, Benjamin John Cranswick",United Future,135,.0037694756
"WILSON, Clare Campbell",Labour Party,6639,.1853744346
