Electorate Candidate and Party Votes Recorded at Each Polling Place
"Pakuranga 37","Candidate Vote Details"
,,"GEDGE, Lance","KAUSHAL, Sushil Kumar (Sunny)","MULFORD-TYLER, Helen Jane","SIMMONS, Christopher William","WILLIAMSON, Maurice Donald","Total Valid Candidate Votes","Informal Candidate Votes"
"Botany Downs","Elim Christian Centre, 159 Botany Road",19,42,4,5,146,216,5
,"St Columba Presbyterian Church, 480 Ti Rakau Drive",5,7,2,2,50,66,1
"Bucklands Beach","Bucklands Beach Intermediate School, 247 Bucklands Beach Road",97,315,42,51,954,1459,65
,"Bucklands Beach Primary School, 107 Clovelly Road",67,165,49,32,1103,1416,40
,"Macleans College, 2 Macleans Road",66,182,32,48,1067,1395,25
,"Macleans Primary School, 10 Wycherley Drive",90,290,33,43,638,1094,33
,"Pakuranga Health Camp School, 1-9 Pigeon Mountain Road",56,138,39,25,929,1187,20
"Burswood","East City Wesleyan Church, 219 Burswood Drive",1,7,2,0,33,43,2
"Cockle Bay","Cockle Bay Playcentre, 17 Pah Road",3,8,1,0,43,55,3
"Henderson","The Trusts Stadium (Ukulele Festival), Central Park Drive",1,1,1,0,6,9,0
"Highland Park","Rockabye Early Learning Centre, 122 Aviemore Drive",35,141,30,16,352,574,27
"Howick","Cockle Bay School, 24 Sandspit Road",46,114,27,14,586,787,18
,"Howick Intermediate School, 1 Botany Road",34,236,68,21,611,970,36
,"Owairoa  Primary School, corner Wellington & Nelson Streets",81,275,51,31,907,1345,36
,"The Salvation Army East City, 37-45 Wellington Street",74,204,73,24,792,1167,35
"Meadowlands","Meadowlands Methodist Community Church, 128 Whitford Road",4,19,9,7,82,121,3
"Mellons Bay","Mellons Bay Primary School, 140 Mellons Bay Road",53,98,26,31,693,901,16
"Northpark","Our Lady Star of the Sea School, 14 Oakridge Way",4,7,2,3,16,32,0
"Pakuranga","Anchorage Park Primary School, 16 Swan Crescent",21,165,30,7,222,445,13
,"Eastgate Christian Centre, 5 Ben Lomond Crescent",30,131,36,10,411,618,21
,"Edgewater College, 32 Edgewater Drive",30,244,49,13,312,648,30
,"Elm Park School, 46 Gossamer Drive",49,313,62,31,609,1064,55
,"Farm Cove Intermediate School, 14-16 Butley Drive",124,385,110,49,1566,2234,58
,"Pakuranga College, 480 Pakuranga Road",74,451,64,48,952,1589,65
,"Pakuranga Heights Primary School, 77 Udys Road",86,394,64,42,685,1271,57
,"Pakuranga Recreation & Youth Centre, 13c Reeves Road",72,510,80,34,746,1442,72
,"Riverhills Primary School, 13 Waikaremoana Place",28,176,28,12,313,557,23
,"Sunnyhills Primary School, 17 The Crest",58,195,39,54,1020,1366,31
"Shelly Park","Shelly Park School, 11-13 Sunnyview Avenue",0,0,0,1,19,20,0
"Somerville","Somerville Intermediate School, 39 Somerville Road",4,7,1,1,49,62,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Botany",23,90,12,11,352,488,10
,"Ordinary Votes BEFORE polling day - Taken in Maungakiekie",2,7,3,0,26,38,1
,"Ordinary Votes BEFORE polling day - Taken in Pakuranga",197,896,275,82,2766,4216,181
,"Special Votes BEFORE polling day",11,92,19,8,219,349,15
,"Special Votes On polling day",87,471,64,53,1212,1887,44
,"Overseas Special Votes including Defence Force",2,72,3,7,207,291,0
,"Pakuranga Total",1634,6848,1430,816,20694,31422,1041
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",32463
"Electorate Candidate Valid Votes","Party",,"WILLIAMSON, Maurice Donald - majority 13846"
"GEDGE, Lance",Conservative Party,1634,.0520017822
"KAUSHAL, Sushil Kumar (Sunny)",Labour Party,6848,.2179364776
"MULFORD-TYLER, Helen Jane",New Zealand First Party,1430,.0455095156
"SIMMONS, Christopher William",ACT New Zealand,816,.0259690663
"WILLIAMSON, Maurice Donald",National Party,20694,.6585831583
