Electorate Candidate and Party Votes Recorded at Each Polling Place
"West Coast-Tasman 60","Candidate Vote Details"
,,"AUCHINVOLE, Christopher John","HAGUE, Kevin Grant","O'CONNOR, Damien Peter","RICHARDS, Stephen Thomas","SMITH, Jocelyn Penelope","TERRY, Robert","TURNER, Reginald Eric John","WILKINSON, Steven Crawford George","Total Valid Candidate Votes","Informal Candidate Votes"
"Motupiko","Quinney's Bush, 263 State Highway 6",72,4,22,0,1,0,0,0,99,0
"Motupipi","Motupipi School, 435 Abel Tasman Drive",63,22,131,0,1,0,1,13,231,3
"Murchison","Garard Residence, 19 Huntaway Road, Tutaki Valley",27,4,8,0,0,0,0,0,39,1
,"Murchison Area School, Waller Street",190,18,163,2,3,0,1,4,381,1
"Nelson Creek","Nelson Creek Hall, Nelson Creek Road",44,1,10,0,1,0,0,5,61,1
"Ngahere","Ngahere Hall, State Highway 7",88,3,32,0,0,0,0,3,126,1
"Ngatimoti","Ngatimoti School, Greenhill Road",86,31,113,5,1,0,1,1,238,1
"Onekaka","Onekaka Hall, State Highway 60",29,24,92,4,0,0,0,18,167,0
"Pakawau","Pakawau Public Hall, Pakawau Road",62,5,39,1,0,0,1,3,111,0
"Paroa","Paroa School, 494 Main South Road",335,13,142,3,4,0,0,3,500,8
"Pohara","Pohara Motor Camp, Abel Tasman Drive",96,32,137,0,2,0,1,6,274,1
"Pokororo","Pokororo Public Hall, Westbank Road",26,18,61,1,1,0,0,4,111,1
"Punakaiki","Punakaiki Canoes Ltd, State Highway 6",21,10,40,0,1,0,0,2,74,1
"Puramahoi","Puramahoi Public Hall, Takaka-Collingwood Highway",58,8,37,1,1,0,1,1,107,0
"Redwood Valley","Redwood Valley Hall, corner Moutere Highway & Redwood Valley Lane",122,12,77,4,0,0,2,1,218,2
"Reefton","Reefton Area School, 10 Victory St",78,6,60,1,4,1,0,2,152,2
,"Reefton Community Centre, Shield Street",124,9,151,0,3,2,0,6,295,3
,"Reefton Hospital, Broadway",49,2,43,0,1,3,0,1,99,6
"Richmond","Tasman District Council Office, 189 Queen Street",65,11,42,2,2,0,0,1,123,3
"Riwaka","Riwaka Memorial Hall, Main Road",126,25,104,4,1,0,0,4,264,1
,"Riwaka School,  22 School Road",130,21,187,1,1,0,0,0,340,8
"Ross","Ross School, Moorhouse Street",116,5,59,0,1,1,1,4,187,0
"Rotomanu","Rotomanu Hall, Lake Brunner Road, Kumara Road",36,1,8,2,0,0,0,0,47,0
"Runanga","Runanga School, McGowan Street",144,11,195,1,2,1,2,16,372,4
"Seddonville","Seddonville Holiday Park, Gladstone Road",18,8,22,0,0,0,0,6,54,1
"Sergeants Hill","Sergeants Hill Hall, Caledonian Road",56,1,64,1,0,1,0,1,124,2
"Springs Junction","1st Aid Centre, Springs Junction",19,2,5,0,0,0,0,0,26,0
"Stanley Brook","Stanley Brook Hall, Motueka Valley Highway",36,1,25,0,0,0,0,1,63,0
"Tadmor","Hen House, Tadmor Valley Road",75,8,41,2,0,0,0,1,127,1
"Takaka","Central Takaka School, 44 Central Takaka Road",37,10,48,0,1,0,0,3,99,1
,"East Takaka Hall, 420 East Road",31,10,37,1,0,0,0,1,80,1
,"Golden Bay High School, 12 Waitapu Road",104,33,175,0,5,0,1,13,331,10
,"Tasman District Council Office, 78 Commercial Street",160,61,245,3,4,0,3,41,517,6
,"Upper Takaka Community Hall, Main Highway",36,7,42,0,0,0,0,4,89,2
"Tapawera","Tapawera Area School, Main Road",135,13,100,3,3,0,2,4,260,2
"Tasman","Tasman School, 1827 The Coastal Highway",196,29,179,10,1,0,0,4,419,4
