Electorate Candidate and Party Votes Recorded at Each Polling Place
"Napier 28","Candidate Vote Details"
,,"FAIRBROTHER, Elwin Russell","ORMOND, John Davies","STANSFIELD, Brett Thomas","TREMAIN, Christopher James","Total Valid Candidate Votes","Informal Candidate Votes"
"Ahuriri","Port Ahuriri School, 15 Lever Street",370,21,71,744,1206,6
"Bay View","King George Hall, 1 Hill Road",262,18,61,784,1125,4
"Bluff Hill","Napier Central School, 32 Napier Terrace",305,8,99,778,1190,9
,"Napier Girls' High School, 4 Clyde Road",104,2,25,247,378,3
"Camberley","Hawkes Bay Regional Hospital, Main Entrance, Omahu Road",25,0,6,38,69,0
"Clive","Clive Community Hall, Main Road",18,2,4,39,63,0
"Eskdale","Eskdale School, 324 Hill Road",38,2,10,156,206,0
"Frasertown","Frasertown School, 4 Russell Parade",71,6,6,153,236,5
"Greenmeadows","Girl Guides Hall, corner Auckland Road & York Avenue",506,16,60,1195,1777,9
,"Greenmeadows Game Farm, 22 Burness Road",56,3,14,218,291,1
,"Greenmeadows Primary Public School, 45 Osier Road",449,27,50,994,1520,15
,"Salvation Army Hall, 56 Tait Drive",227,12,24,394,657,6
"Kotemaori","Kotemaori School, State Highway 2",16,1,0,42,59,2
"Mahia","Te Mahia School, 457 East Coast Road",68,1,5,126,200,9
"Maraenui","Maraenui Bilingual School, 2a Lister Crescent",148,2,14,51,215,6
,"Richmond School, 13a Barnard Avenue",226,0,11,86,323,7
"Marewa","Church of Christ Building, 19 Douglas McLean Avenue",277,4,29,395,705,7
,"Marewa School, 80 Latham Street",574,15,83,408,1080,14
"Meeanee","Meeanee School, 6 Gavin Black Street",93,1,13,262,369,5
"Napier Central","Courthouse, 251 Hastings Street",202,6,47,278,533,6
,"Napier Intermediate, 13 Jull Street",286,11,38,334,669,4
"Napier South","Nelson Park School, 48 Kennedy Road",370,13,76,517,976,16
,"St Luke's Church, 196 Vigor Brown Street",207,6,44,226,483,3
"Nuhaka","Nuhaka School, Tamakahu Street",51,2,5,81,139,5
"Onekawa","Henry Charles Hall, Henry Charles Terrace",154,4,15,155,328,4
,"Henry Hill School, 15 Dick Place",246,5,27,303,581,9
,"Onekawa Primary School, 235 Kennedy Road",407,12,40,603,1062,9
,"William Colenso College, 21 Arnold Street",150,3,15,153,321,6
"Patoka","Patoka School, corner Hendley & Puketitiri Roads",10,2,2,124,138,0
"Pirimai","Baptist Church, 69 Bill Hercock Street ",320,7,39,483,849,6
"Poraiti","Wharerangi Homestead (Hohepa Homes), 146 Puketitiri Road",86,5,26,233,350,2
"Puketapu","Puketapu School, 708 Puketapu Road",63,8,18,324,413,2
"Raupunga","Ngati-Pahauwera Society Offices, 30 Putere Road",9,3,0,13,25,0
"Rissington","Rissington School, 2100 Puketitiri Road",25,5,7,63,100,2
"Ruakituri","Ruakituri School, 1607 Ruakituri Valley Road",5,2,0,22,29,1
"Tamatea","Porritt School, 36 Lyttelton Crescent",219,6,29,303,557,1
,"Tamatea Intermediate, 15 Freyberg Avenue",309,12,36,401,758,21
,"Tamatea Primary School, 10 Durham Avenue",446,14,59,629,1148,15
"Taradale","Bledisloe School, 30a Meeanee Road",243,8,36,462,749,7
,"Taradale Intermediate, 6 Murphy Road",307,16,45,607,975,4
,"Taradale Primary School, 10 Church Road",625,23,120,1809,2577,18
,"Taradale Senior Citizens (Friendship Centre), 10 Symons Lane",244,5,24,472,745,6
"Te Awa","Te Awa School, 1a Te Awa Avenue",272,7,44,275,598,7
"Te Pohue","Te Pohue School, 44 Richmond Road",29,2,4,108,143,2
"Tuai","Tuai Public Hall, corner Main Road & Waikare-Taheke Street",14,0,3,15,32,0
"Tutira","Tutira School, 29 Matahorua Road",27,2,2,130,161,0
"Wairoa","Taihoa Marae, 174 State Highway 2 North",31,0,3,22,56,1
,"Wairoa College, 20 Lucknow Street",194,8,19,232,453,7
,"Wairoa Memorial Hall, Queen Street",341,13,23,340,717,12
"Westshore","Westshore School, 13 Ferguson Avenue",170,7,36,451,664,8
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0
,"Hospital Votes",235,8,13,324,580,10
,"Ordinary Votes BEFORE polling day",929,30,123,1869,2951,26
,"Special Votes BEFORE polling day",180,3,20,238,441,7
,"Special Votes On polling day",544,24,157,964,1689,22
,"Overseas Special Votes including defence force",97,5,21,225,348,1
,"Napier Total",11880,428,1801,20898,35007,358
,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35365
"Electorate Candidate Valid Votes","Party",,"TREMAIN, Christopher James - majority 9018"
"FAIRBROTHER, Elwin Russell",Labour Party,11880,.3393606993
"ORMOND, John Davies",ACT New Zealand,428,.0122261262
"STANSFIELD, Brett Thomas",Green Party,1801,.0514468535
"TREMAIN, Christopher James",National Party,20898,.596966321
