Electorate Candidate and Party Votes Recorded at Each Polling Place
"Dunedin South 9","Candidate Vote Details"
,,"CURRAN, Clare Elizabeth","GALLAGHER, Shane Anthony","HANNAH, Kimberly Joanne","HAYES, Joanne Kowhai","MURRAY, Kay Elizabeth","RATANA, Randall Anthony","VOIGHT, Warren Raymond","WANSINK, Robert Charles","Total Valid Candidate Votes","Informal Candidate Votes"
,"Special Votes On polling day",755,250,15,622,8,41,5,10,1706,28
,"Overseas Special Votes including Defence Force",93,40,2,77,3,3,1,2,221,1
,"Dunedin South Total",16844,3197,215,12669,142,979,238,167,34451,830
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35281
"Electorate Candidate Valid Votes","Party",,"CURRAN, Clare Elizabeth - majority 4175"
"CURRAN, Clare Elizabeth",Labour Party,16844,.4889263011
"GALLAGHER, Shane Anthony",Green Party,3197,.0927984674
"HANNAH, Kimberly Joanne",ACT New Zealand,215,.0062407477
"HAYES, Joanne Kowhai",National Party,12669,.3677396883
"MURRAY, Kay Elizabeth",Alliance,142,.0041217962
"RATANA, Randall Anthony",New Zealand First Party,979,.0284171722
"VOIGHT, Warren Raymond",Democrats for Social Credit,238,.0069083626
"WANSINK, Robert Charles",Restore All Things in Christ,167,.0048474645
