Electorate Candidate Votes Recorded at Each Voting Place
"Mt Albert 27","Candidate Vote Details"
,,"CAROLAN, Joseph","ELLEY, Jeanette Susan","FERGUSSON, Thomas Wilson","JOHNSON, Jeffrey Alan","LEE, Melissa","SHEARER, David James","VANDEN HEUVEL, Anthony Joseph James","WACKROW, Michael John","Total Valid Candidate Votes","Informal Candidate Votes"
"Ponsonby","All Saints Anglican Church, 284 Ponsonby Road",0,12,1,0,44,89,0,1,147,2
,"Leys Institute Hall, Lecture Room, 20 St Marys Road",0,5,0,1,14,31,0,0,51,1
,"Sacred Heart Parish Hall, 24 Vermont Street",0,1,0,0,6,21,0,0,28,0
,"St Paul's College (Library), 183 Richmond Road",1,22,1,1,80,86,0,0,191,1
"Sandringham","Christian Family Church Hall, 631 Sandringham Road",2,14,4,4,48,130,0,0,202,2
,"Edendale Primary School Hall, 419 Sandringham Road",8,83,10,19,320,825,3,3,1271,11
"Waterview","Waterview Methodist Church Hall, corner Great North Road & Fir Street",0,2,0,0,2,8,0,0,12,0
"Western Springs","Greek Orthodox Church Hall, 108 Western Springs Road",4,55,2,12,210,416,0,1,700,10
"Westmere","Hawke Sea Scouts Hall, 55 West End Road",0,45,1,3,131,206,1,1,388,1
,"Westmere School, Larchwood Avenue",5,74,5,3,351,518,2,1,959,4
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",82,585,47,129,2214,4482,14,8,7561,71
,"Special Votes BEFORE polling day",22,161,8,24,307,654,3,3,1182,11
,"Special Votes On polling day",30,427,40,35,913,1665,14,7,3131,31
,"Overseas Special Votes including Defence Force",18,213,11,6,338,759,3,3,1351,6
,"Mt Albert Total",290,3152,321,525,10314,20970,76,68,35716,336
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36052
"Electorate Candidate Valid Votes","Party",,"SHEARER, David James - majority 10656"
"CAROLAN, Joseph",MANA Movement,290,.0081196103
"ELLEY, Jeanette Susan",Green Party,3152,.0882517639
"FERGUSSON, Thomas Wilson",ACT New Zealand,321,.0089875686
"JOHNSON, Jeffrey Alan",Conservative,525,.0146992944
"LEE, Melissa",National Party,10314,.2887781386
"SHEARER, David James",Labour Party,20970,.5871318177
"VANDEN HEUVEL, Anthony Joseph James",Human Rights Party,76,.0021278979
"WACKROW, Michael John",Independent,68,.0019039086
