Electorate Candidate and Party Votes Recorded at Each Polling Place
"Mana 21","Candidate Vote Details"
,,"COLLINS, Michael Allan","GILCHRIST, Michael Alexander","GOODE, Richard Simon","GUNSTON, Robin Paul","LABAN, Winifred Alexandra","MACLACHLAN, Renton Hamish","MANU, Timothy Salele'a","PARATA, Patricia Hekia","Total Valid Candidate Votes","Informal Candidate Votes"
"Ascot Park","Rangikura School, 95 Conclusion Street",8,30,3,12,506,8,19,121,707,13
"Cannons Creek","Cannons Creek School, 5 Warspite Avenue",5,20,1,10,815,7,31,52,941,13
,"Glenview School, 106 Bedford Street",0,4,1,2,189,3,2,13,214,2
,"Maraeroa School, 47 Driver Crescent",1,17,0,0,388,0,15,24,445,4
,"Russell School, 18 Fantame Street",1,11,1,4,485,2,17,24,545,10
"Elsdon","Porirua School, 1 Awarua Street",11,24,0,5,415,14,17,88,574,8
"Kenepuru","Kenepuru Community Hospital, Hospital Drive",0,14,0,3,105,2,4,28,156,1
"Linden","Greenacres School, 60 Raroa Terrace",17,23,3,22,146,7,2,205,425,3
,"Linden School, 60 Ranui Terrace",3,18,0,6,132,1,1,95,256,0
,"Linden Social Centre, 10 Linden Avenue",25,59,3,30,515,24,2,388,1046,11
,"Tui Park Kindergarten, 12b Mexted Terrace",7,22,2,4,155,1,0,73,264,5
"Mana","St Barnabas' Church Hall, 106a Mana Esplanade",32,89,3,19,494,11,0,599,1247,8
"Paekakariki","Paekakariki School, Wellington Road",7,42,0,1,277,4,1,93,425,3
,"St Peter's Hall, Beach Road",6,55,0,1,264,1,0,99,426,1
"Papakowhai","New Zealand Police Museum, The Royal New Zealand Police College, Papakowhai Road",23,30,3,14,287,6,5,427,795,7
,"Papakowhai School, 17 Spey Place",11,36,0,7,247,2,0,269,572,1
"Paraparaumu","Kapiti Primary School, corner Kapiti & Rimu Roads",10,40,1,0,140,6,2,159,358,5
,"Paraparaumu School, Ruapehu Street",16,86,1,17,362,10,0,366,858,9
"Paremata","Paremata School, 35 Paremata Crescent",29,76,2,18,390,4,2,483,1004,4
"Pauatahanui","Stout Cottage, Pauatahanui Wildlife Reserve, 5 Pauatahanui Hill Road",15,49,4,12,236,4,0,469,789,5
"Plimmerton","Plimmerton School, School Road",13,44,0,4,199,2,1,213,476,2
