Electorate Candidate Votes Recorded at Each Voting Place
"Hamilton West 14","Candidate Vote Details"
,,"GUDGEON, William M","MACINDOE, Timothy Harley","McKENNA, Anthony Gerard","MORONEY, Suzanne Mary","RUSSELL-MUTI, Sara Jane","RHODES, Mischele","TE AO, Richard Joseph Wharemaihi","Total Valid Candidate Votes","Informal Candidate Votes"
"Beerescourt","Vardon School, 36 Cunningham Road",58,612,19,319,2,2,5,1017,10
"Chartwell","Chartwell Cooperating Parish Hall, corner Comries Road & Belmont Avenue",3,29,1,23,0,0,2,58,1
,"Hukanui School, corner Hukanui Road & Pickering Crescent",2,42,0,9,0,0,0,53,0
"Claudelands","Southwell School, 200 Peachgrove Road",1,18,0,6,0,0,0,25,0
,"St Aidan's Parish Hall, 24 Thames Street",2,12,1,19,0,0,1,35,3
"Deanwell","Deanwell School, 49 Deanwell Avenue",69,345,31,430,4,2,10,891,22
"Dinsdale","Aberdeen School, 48-62 Aberdeen Drive",143,1135,55,584,5,14,7,1943,15
,"Fraser High School, 72 Ellicott Road",35,286,15,175,2,4,3,520,9
,"St Clare Co-operating Parish Hall, 97 Tuhikaramea Road",63,294,28,190,2,1,8,586,7
"Flagstaff","Alandale Retirement Village, 1199 River Road",12,434,11,66,2,0,0,525,2
"Forest Lake","Forest Lake School, 59 Storey Avenue",62,448,17,293,3,4,6,833,12
"Frankton","Frankton School Hall, 206 Massey Street",145,627,39,623,8,19,19,1480,22
,"Rhode Street School, 7 Rhode Street",47,180,13,233,4,5,11,493,9
,"Westside First  Church Hall, 11 King Street",20,178,9,123,0,4,8,342,6
"Glenview","Glenview Primary School, 68 Bruce Avenue",86,579,38,397,1,5,4,1110,11
"Hamilton City","Electorate Headquarters, 12 Ward Street",18,173,5,118,3,4,2,323,3
"Hamilton East","Graceways Church, 69 Grey Street",0,11,0,6,0,0,0,17,2
,"Hamilton East Primary School, 7 Dawson Street",4,13,0,10,1,0,1,29,0
,"Marian Catholic School, 119 Firth Street",1,17,1,8,0,1,1,29,1
"Hamilton West","Hamilton West School, 36 Hammond Street",53,631,23,349,3,2,8,1069,13
"Hillcrest","Hillcrest Normal School, 218 Cambridge Road",2,12,2,16,0,0,0,32,0
,"Knighton Normal School, 45 Knighton Road",2,22,1,14,2,0,1,42,2
"Horotiu","Horotiu School, Horotiu Bridge Road",1,63,0,14,0,0,0,78,2
"Horsham Downs","Horsham Downs School, 4 Martin Lane",6,123,8,16,0,0,0,153,1
"Koromatua","Koromatua School, 355 Koromatua Road",5,18,2,3,0,0,0,28,0
"Maeroa","Maeroa Intermediate School, 57 Churchill Avenue",50,315,14,307,1,2,7,696,8
"Melville","Melville Intermediate, 29 Mountview Road",31,195,11,237,2,1,3,480,10
,"Melville Methodist Church Hall, 4 Bader Street",64,346,28,412,5,3,6,864,9
,"Melville Primary School, 101 Ohaupo Road",42,280,14,213,2,2,3,556,7
"Nawton","Crawshaw School, Crawshaw Drive",21,100,9,167,3,3,6,309,1
,"Good News Community Hall, 78 Breckons Avenue",92,421,18,421,3,3,8,966,13
,"Nawton School, 58 Livingstone Avenue",61,357,27,324,6,1,5,781,5
"Pukete","Pukete School, 110 Pukete Road",49,511,24,266,7,2,5,864,10
,"Te Rapa Primary School, 63 Ashurst Avenue",35,384,11,167,5,1,2,605,2
"Rotokauri","Rotokauri School, 462 Rotokauri Road",7,132,6,21,0,0,0,166,3
"Rototuna","Rototuna Primary School, 23 Strathmore Drive",4,71,2,17,0,0,1,95,0
,"Waikato Waldorf School, 85 Barrington Drive ",2,12,1,7,0,0,0,22,0
"Rototuna North","Te Totara Primary School, 31 Hector Drive",13,278,11,75,2,0,1,380,3
"Rukuhia","Rukuhia School Hall, 58 Rukuhia Road",1,36,1,11,0,0,0,49,0
"St Andrews","All Saints Church Hall, 191 Sandwich Road",66,589,21,261,2,4,4,947,6
,"Hamilton Junior High School, 90 Heath Street",27,241,9,171,4,0,7,459,3
"Te Rapa","The Base (between Briscoes and Rebel Sport), 1 Pacific Crescent",18,184,12,111,3,0,2,330,3
"Templeview","Church College of New Zealand, Reception Foyer, 435 Tuhikaramea Road",74,87,32,41,1,1,2,238,1
"Waikato Hospital","Meade Clinical Centre, Level One (adjacent to Reception A), Pembroke Street",7,83,5,70,1,1,1,168,1
"Whatawhata","Whatawhata School, 9 Kura Street ",1,11,0,4,0,0,0,16,0
"Whitiora","Whitiora School, 38 Willoughby Street",11,254,5,158,0,1,6,435,4
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",510,4656,241,2884,26,37,68,8422,90
,"Special Votes BEFORE polling day",60,330,31,313,1,4,12,751,16
,"Special Votes On polling day",170,988,66,749,9,13,39,2034,24
,"Overseas Special Votes including Defence Force",13,219,5,147,1,3,4,392,1
,"Hamilton West Total",2269,17382,923,11598,126,149,289,32736,373
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33109
"Electorate Candidate Valid Votes","Party",,"MACINDOE, Timothy Harley - majority 5784"
"GUDGEON, William M",New Zealand First Party,2269,.0693120723
"MACINDOE, Timothy Harley",National Party,17382,.5309750733
"McKENNA, Anthony Gerard",Conservative,923,.028195259
"MORONEY, Suzanne Mary",Labour Party,11598,.3542888563
"RUSSELL-MUTI, Sara Jane",ACT New Zealand,126,.0038489736
"RHODES, Mischele",Democrats for Social Credit,149,.004551564
"TE AO, Richard Joseph Wharemaihi",Māori Party,289,.0088282014
