Electorate Candidate and Party Votes Recorded at Each Polling Place
"Taupo 51","Candidate Vote Details"
,,"BURTON, Richard Mark","CAMPBELL SMITH, Kristin Judith","CHECK, Paul Ramon","DAVIS, John Llewellyn","JOLLANDS, Andrew Malcolm","KIRTON, Weston Mervyn","MAEA, William Paremoni Skid","POTROZ, Debra Ann","REEKS, David","TE KOWHAI, Charles Francis","Total Valid Candidate Votes","Informal Candidate Votes"
"Acacia Bay","Acacia Bay Community Hall, Wakeman Road",306,39,35,22,6,543,4,0,4,5,964,6
"Arapuni","Te Wananga-O-Raukawa Campus",44,7,0,7,1,35,3,0,0,0,97,1
"Hikumutu","Hikumutu Community Centre, Hikumutu Road",9,1,1,0,3,30,0,0,1,1,46,0
"Kaitieke","Kaitieke School, Activities Room, Kaitieke Road",7,3,0,0,7,39,0,0,0,0,56,0
"Kakahi","Kakahi School, Pukehou Road",15,3,0,4,1,15,1,0,0,1,40,0
"Kinloch","Kinloch Country Club Hall, Mata Place",93,11,4,8,3,202,0,0,1,0,322,1
"Kuratau","Kuratau School, Room 1, Junction of Western Access and Taumarunui Highway",27,4,1,2,1,25,0,0,0,0,60,1
"Lichfield","Lichfield School Hall, Lichfield Rd",76,4,4,5,7,145,1,0,1,3,246,0
"Mangakino","Mangakino Civic Hall, Tactic Room, Rangatira Drive",184,26,1,7,1,67,10,1,6,2,305,0
"Marotiri","Marotiri School Hall, 1569 SH 32",55,6,4,1,0,103,5,0,3,0,177,1
"Mihi","Mihi School, 76 Springs Road",6,2,0,0,0,15,2,0,0,0,25,0
"National Park","National Park School Hall, Carroll Street",51,13,1,13,4,51,2,0,2,0,137,1
"Ngakonui","Ngakonui Valley School, Kauri Room, Taumarunui-Ngapuke Road, RD 4 Taumarunui",20,2,5,2,1,30,3,1,0,0,64,1
"Ngapuke","Ngapuke School, Room 1, Taumarunui-Ngapuke Road, RD 4 Taumarunui",7,0,0,1,1,21,0,0,0,0,30,0
"Ohakune","Ohakune Courthouse, Rata St",130,13,6,23,7,149,9,0,1,1,339,3
,"Ohakune Primary School Hall, 52 Arawa Street",78,9,3,13,0,111,1,0,3,1,219,2
"Okoroire","Kuranui School Library, 66 Waiomou Rd",44,7,3,4,3,141,2,0,1,3,208,3
"Omori","Taupo District Council Omori Depot, Omori Road",39,7,3,1,0,57,1,1,1,1,111,1
"Orautoha","Orautoha School Library, Pukekaha Road",5,2,1,2,1,40,1,0,0,0,52,0
"Owhango","Owhango School Resource Room, Ohorere Street",81,14,3,11,3,100,0,0,1,0,213,5
"Puketurua","Puketurua Memorial Hall, Old Taupo Rd",36,7,3,7,5,120,3,0,1,4,186,2
