Electorate Candidate Votes Recorded at Each Voting Place
"Palmerston North 39","Candidate Vote Details"
,,"BALL, Darroch Leicester","FARVID, Pantea","LEES-GALLOWAY, Iain Francis","NAYLOR, Jonathan Mark","PEARCE, Mark ","Total Valid Candidate Votes","Informal Candidate Votes"
"Aokautere","Aokautere School Hall, 196 Fitzherbert East Road",0,0,3,8,0,11,0
"Ashhurst","Village Valley Community Centre, corner Cambridge Avenue & Guildford Street",3,0,12,13,3,31,1
"Awapuni","Awapuni Community Centre, 22 Newbury Street",21,0,205,132,4,362,4
,"Awapuni School Hall, 18 Rochester Street",45,3,462,276,17,803,4
"Bulls","Clifton School, 3 Clifton Street",2,0,5,2,0,9,0
"Cloverlea","Cloverlea School Hall, 55 Herbert Avenue",46,5,408,294,13,766,4
"Feilding","Manchester St School, 160 Manchester Street",2,0,5,13,0,20,0
"Highbury","Christian Church of Samoa, 39 Havelock Avenue",16,1,278,93,12,400,3
,"Somerset Crescent School Hall, 45 Somerset Crescent",16,1,250,150,6,423,4
,"St Michael's Church Hall, 52 Pembroke Street",28,5,303,92,8,436,5
"Hokowhitu","College Street Normal School Hall, 402 College Street",12,4,380,426,7,829,7
,"Hokowhitu School Hall, 227 Albert Street",25,5,407,568,9,1014,7
,"Ryder-Cheshire Centre, 114 Te Awe Awe Street",9,0,161,249,4,423,6
,"St Alban's Church, 339 Albert Street",21,5,226,309,15,576,1
,"Winchester School Hall, 552 Ruahine Street",15,4,410,378,7,814,10
"Kelvin Grove","Cornerstone Christian School, Administration Building, 119 Mihaere Drive",41,2,620,971,29,1663,11
,"Kelvin Grove Community Centre, 68 Kaimanawa Street",30,3,322,217,14,586,4
"Linton","Linton Camp School, Puttick Road",1,0,7,12,0,20,0
"Milson","Milson School Hall, 7 Rutland Place",60,5,528,533,27,1153,8
,"St Peter's College, Gym-Classroom, 22-38 Rennie Avenue",12,0,313,335,12,672,7
"Palmerston North","Central Normal School Hall, 201 Featherston Street",37,7,531,364,25,964,6
,"Emmanuel Congregational Church Hall, 43 Victoria Avenue",10,1,107,125,1,244,2
,"Intermediate Normal School Performing Arts Centre, 31 South Street",7,2,172,149,8,338,5
,"Massey University, Student Centre Lounge, Concourse, University Drive",1,1,31,15,5,53,0
,"Palmerston North Girls' High School, Huia Centre, 3 Huia Street,",6,1,139,206,2,354,0
,"Public Hospital Education Centre Hall, Gate 12, 50 Ruahine Street ",3,2,108,60,4,177,1
,"Queen Elizabeth College Hall, 350-382 Rangitikei Street",19,2,140,95,5,261,3
,"Russell Street School Hall, 19-31 Russell Street",21,2,478,344,16,861,2
,"St Luke's Lutheran Church Hall, corner Church & McGiffert Streets",8,0,97,67,3,175,2
,"Te Manawa Museum, 326 Main Street",14,14,245,172,23,468,4
,"The Salvation Army Hall, 431 Church Street",7,3,135,115,10,270,0
"Park West","Olive Tree Village Community Centre, 13 Olive Grove",14,2,123,216,6,361,2
"Parkland","Parkland School Hall, 41 Parkland Crescent",15,3,338,230,8,594,4
"Riverdale","Riverdale School Hall, 95 Slacks Road",20,1,451,431,25,928,5
"Roslyn","Roslyn School Hall, 38 Kipling Street",24,3,299,199,9,534,1
,"Ross Intermediate School Hall, 25 Freyberg Street",10,1,132,112,8,263,0
"Summerhill","Summerset Retirement Village, 166-186 Ruapehu Drive",0,2,12,17,0,31,0
"Takaro","Monrad Intermediate School Hall, 228 Botanical Road",21,2,197,98,9,327,5
,"St Oswald's Church Hall, corner Featherston & Kingswood Streets",25,1,324,216,17,583,4
,"Takaro School Hall, 24 Brighton Crescent",16,4,190,79,5,294,0
"Terrace End","Rangiora Community Centre, 98-102 Rangiora Avenue",24,1,351,146,5,527,13
,"St David's Community Centre, 3 Rainforth Street",19,0,228,233,11,491,2
,"Terrace End School Hall, 183-209 Ruahine Street",39,5,453,330,14,841,3
"West End","IHC Day Base, 153 Cook Street",20,4,167,98,7,296,2
,"West End School Hall, 395-427 Botanical Road",24,7,431,373,18,853,11
"Whakarongo","Whakarongo Community Hall, 17 Stoney Creek Road",8,0,25,78,3,114,0
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",260,71,3948,3655,181,8115,58
,"Special Votes BEFORE polling day",38,20,530,362,19,969,12
,"Special Votes On polling day",99,35,946,833,48,1961,24
,"Overseas Special Votes including Defence Force",3,10,252,184,7,456,0
,"Palmerston North Total",1217,250,16885,14673,689,33714,257
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33971
"Electorate Candidate Valid Votes","Party",,"LEES-GALLOWAY, Iain Francis - majority 2212"
"BALL, Darroch Leicester",New Zealand First Party,1217,.0360977635
"FARVID, Pantea",Internet Party,250,.0074153171
"LEES-GALLOWAY, Iain Francis",Labour Party,16885,.5008305155
"NAYLOR, Jonathan Mark",National Party,14673,.43521979
"PEARCE, Mark ",Conservative,689,.0204366139
