Electorate Candidate and Party Votes Recorded at Each Polling Place
"Taupō 50","Candidate Vote Details"
,,"BREETVELT, Mark","CAMPBELL, Frances Fanny","JOLLANDS, Rosanne Maree","McCARTHY, Zane","PERRY, Edwin Jock","REEDY, Keriana Jacqueline Hine","SIMMONS, Alan Frank","UPSTON, Louise Claire","Total Valid Candidate Votes","Informal Candidate Votes"
"Arapuni","Arapuni Community Hall, 47 Arapuni Road",10,30,0,20,12,0,0,50,122,1
"Broadlands","Broadlands School, 2986 Broadlands Road",2,8,1,1,5,2,0,64,83,0
"Cambridge","Cambridge East School, corner Bowen & Williams Streets",29,209,1,77,53,1,8,687,1065,21
,"Cambridge High School, 25 Swayne Road",12,51,2,26,11,0,3,374,479,5
,"Cambridge Middle School, corner Clare & Grey Streets",22,168,4,43,45,1,3,579,865,21
,"Cambridge Primary School, corner Wilson & Duke Streets",27,172,4,94,34,2,6,839,1178,21
,"Cambridge Scout Hall, 1 Maclean Street",10,33,2,24,9,2,3,337,420,6
,"Leamington Bowling Club, Leamington Domain, 12 Scott Street",18,71,5,30,20,0,2,282,428,9
,"Leamington School, corner Lamb & Scott Streets",23,227,6,101,48,3,2,848,1258,23
,"Raleigh Street Christian Centre, 24 Raleigh Street",18,162,3,45,45,4,5,646,928,30
"Fencourt","Goodwood School, 517 Fencourt Road",4,4,0,8,3,0,0,79,98,1
"Hamilton West","Waikato Hospital, Fracture Clinic reception, Pembroke Street",1,6,1,1,0,0,0,13,22,1
"Hautapu","Hautapu School, corner Forrest & Hautapu Roads",10,35,0,13,9,0,2,193,262,5
"Horahora","Horahora School, 1798 Maungatautari Road",2,13,1,7,0,0,6,96,125,3
"Karapiro","Don Rowland Centre, Mighty River Domain, Gate 2, 601 Maungatautari Road",5,14,3,11,4,0,0,165,202,3
,"Karapiro School, 705 State Highway 1",4,16,1,5,1,0,0,91,118,0
"Kinloch","Kinloch Community Hall, Kinloch Domain, 14 Mata Place",10,41,6,16,9,0,1,296,379,6
"Lichfield","Lichfield School and Community Hall, Kells Lane",5,22,2,15,2,1,5,140,192,0
"Mangakino","Mangakino Senior Citizens Hall, 25 College Street",5,72,1,5,19,2,1,59,164,15
"Marotiri","Marotiri School, 1569 State Highway 32",6,6,1,4,2,0,1,111,131,2
"Mihi","Mihi School, 76 Springs Road",1,0,0,1,0,0,0,25,27,0
"Motuoapa","Motuoapa Fishing and Boating Association, 2 Arataha Street",1,23,2,5,1,1,2,94,129,2
"Okoroire","Kuranui School, 66 Waiomou Road",3,19,1,12,4,0,0,125,164,3
"Omori","Omori Community Hall, Taupo District Council Depot, 320 Omori Road",2,16,0,8,4,3,1,82,116,1
"Puketurua","Puketurua Memorial Hall, intersection of Old Taupo, Huihuitaha & Pearson Roads",15,15,2,5,1,0,0,115,153,0
"Putaruru","Putaruru Baptist Church Hall, 52 Arapuni Street",27,141,6,32,47,1,4,333,591,13
