Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Tokerau 67","Candidate Vote Details"
,,"DANIELS, Judy","HARAWIRA, Hone Pani Tamati Waka Nene","MANGU, Mere Maryann","MAXWELL, Hana Harriett","MORTON, Patrick Ernest","SAMUELS, Dover Spencer Peneha","Total Valid Candidate Votes","Informal Candidate Votes"
,"Senior Citizens Hall, Torbay Shopping Centre, 37 Watea Road",1,1,0,0,1,10,13,0
,"Torbay Primary School, Deep Creek Road",0,10,1,0,0,8,19,2
"Unsworth","Westminster Christian School, 31 Westminster Gardens (off Unsworth Drive)",2,3,0,0,0,2,7,0
,Helensville
"Albany","Albany Community Hall, 3/21 Library Lane",0,13,2,1,1,14,31,1
,"Albany School, 6 Bass Road",0,9,1,1,0,6,17,0
,"Massey University, Building 84, Gate 4, Old Albany Highway ",3,3,0,0,0,6,12,0
"Greenhithe","Greenhithe School, Isobel Road",2,8,0,2,1,8,21,0
,"St Michael's Church Hall, 12 Greenhithe Rd",2,3,0,0,0,6,11,0
"Haranui","Haranui Marae, Haranui Road, RD1 Helensville ",0,18,1,0,0,4,23,1
"Helensville","Helensville Primary School Hall, Rata Street",8,61,1,2,5,41,118,4
"Herald Island","Herald Island Community Hall, Herald Island Domain, Ferry Parade",0,1,0,0,0,6,7,1
"Hobsonville","Hobsonville Primary School, 104 Hobsonville Road",2,4,4,1,2,12,25,0
,"Hobsonville Public Hall, 397 Hobsonville Road",3,15,2,2,1,13,36,1
"Huapai","Huapai District School Hall, 40 Station Road",1,12,2,1,0,7,23,2
"Kaukapakapa","Kaukapakapa School Hall, 977 Kaipara Coast Highway",2,25,5,1,2,12,47,0
"Kumeu","Kumeu Baptist Youth Hall, Access Road",2,12,1,0,2,17,34,3
"Massey","Colwill School, Kintara Drive",2,33,0,1,1,23,60,2
,"Royal Road School, 112 Royal Road",3,81,4,1,5,76,170,4
"Massey East","West Harbour Alliance Church, 145 Moire Road",1,28,0,4,3,14,50,0
"Muriwai","Muriwai Fire Station, cnr Coast and Motutara Roads",0,7,0,0,0,8,15,1
"Parakai","Parakai School, 10 Fordyce Road",2,24,5,0,1,19,51,1
"Paremoremo","Ridgeview School, 1 Cutts Crescent ",0,10,0,1,1,13,25,0
"Riverhead","Riverhead School, 21 School Road",1,13,2,0,0,10,26,0
"Taupaki","Taupaki School, 14 Cottle Road",1,3,0,1,1,6,12,0
"Waimauku","Waimauku School, 2 Muriwai Road",1,22,2,3,2,12,42,1
"Waioneke","Waioneke School, 1981 South Head Road, RD1 Helensville",0,4,0,0,0,2,6,0
"Waitoki","Waitoki School Hall, 1119 Kahikatea Flat Road, RD 1",0,3,2,0,0,1,6,0
"West Harbour","Marina View School, 97-99 Marina View Drive",0,15,3,1,1,12,32,3
,"West Harbour Primary School, Oriel Avenue",3,35,2,3,1,31,75,5
"Whenuapai","Whenuapai School, 14 Airport Road",0,10,2,0,1,5,18,0
,"Whenuapai Village Hall, 51 Waimarie Road, Whenuapai Village",1,4,1,0,1,2,9,1
,North Shore
"Bayswater","Bayswater School, Bayswater Ave",3,33,3,1,1,23,64,0
