Electorate Candidate Votes Recorded at Each Voting Place
"Tāmaki Makaurau 67","Candidate Vote Details"
,,"DAVIDSON, Marama Mere-Ana","HARRISON, Raewyn Emma","HENARE, Peeni Ereatara Gladwyn","McLEAN, Rangi","PENE, Kereama","Total Valid Candidate Votes","Informal Candidate Votes"
,Auckland Central
"Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",7,1,19,4,3,34,0
,"AUSA Club Space, The Quad, Auckland University",2,0,4,4,1,11,0
,"AUT Wellesley Campus, Building WA, Conference Room, Gate 2, 55 Wellesley Street ",3,0,5,8,2,18,0
,"Liston House, 30-32 Hobson Street",7,0,10,4,3,24,0
,"Methodist Church Wesley Hall, 78 Pitt Street",9,1,16,18,10,54,2
"Freemans Bay","Freemans Bay Community Centre Auditorium, 52 Hepburn Street",9,0,13,8,3,33,0
"Grafton","Auckland City Hospital, Foyer, 2 Park Road",4,0,8,10,5,27,1
,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",5,0,10,11,3,29,0
"Grey Lynn","Richmond Road School, 113 Richmond Road ",7,1,10,4,1,23,0
"Herne Bay","Bayfield School, 2 Clifton Road ",8,1,7,10,3,29,0
,"Marist School, 82 Kelmarna Avenue",4,0,6,2,1,13,1
,"St Stephen's Presbyterian Church Hall, 65 Jervois Road",4,0,1,7,1,13,0
"Newton","Unitarian Church Hall, 1A Ponsonby Road",3,0,5,2,0,10,0
"Ponsonby","All Saints Anglican Church, 284 Ponsonby Road",8,2,14,10,4,38,3
,"Leys Institute Hall, Lecture Room, 20 St Marys Road",3,0,1,5,0,9,0
,"Ponsonby Primary School, 44 Curran Street",1,0,1,4,1,7,0
,"Sacred Heart Parish Hall, 24 Vermont Street",1,0,2,1,2,6,0
,"St Mary's College, 11 New Street",1,0,4,0,1,6,0
,"St Paul's College (Library), 183 Richmond Road",2,1,9,4,0,16,0
"Westmere","Hawke Sea Scouts Hall, 55 West End Road",2,0,2,3,0,7,1
,Botany
"Botany Downs","Botany Downs Primary School, 35 Mirrabooka Avenue",3,0,4,5,0,12,0
,"Botany Downs Secondary College, 575 Chapel Road",6,0,9,7,3,25,0
,"Elim Christian Centre, 159 Botany Road",2,0,3,7,2,14,2
"Botany South","Sancta Maria College, 319 Te Irirangi Drive",8,0,12,8,3,31,0
"Burswood","East City Wesleyan Church, 219 Burswood Drive",0,0,4,2,0,6,0
"Chapel Downs","Chapel Downs Primary School, 170 Dawson Road",8,2,29,17,8,64,2
"Cockle Bay","Cockle Bay Playcentre, 17 Pah Road",2,0,3,2,1,8,0
"Dannemora","Point View Primary School, 25 Kilkenny Drive",3,0,1,2,2,8,0
"Flat Bush","Dawson Road Primary School, 15 Haumia Way",13,0,37,16,10,76,3
,"Kia Aroha College, 51 Othello Drive",10,0,56,21,7,94,1
"Highland Park","Rockabye Early Learning Centre, 122 Aviemore Drive",2,2,11,4,0,19,1
"Howick","Cockle Bay School, 24 Sandspit Road",1,0,9,5,1,16,2
"Meadowlands","Auckland Fiji Methodist Church, 128 Whitford Road",4,0,6,6,1,17,0
"Northpark","Our Lady Star of the Sea School, 14 Oakridge Way",1,1,3,3,0,8,1
"Somerville","Somerville Intermediate School, 39 Somerville Road",3,0,1,2,0,6,0
,Epsom
"Epsom","Auckland Grammar School, 85 Mountain Road",2,0,6,3,0,11,1
,"Epsom Girls Grammar School, 14 Silver Road",5,0,4,4,1,14,0
,"Epsom Normal School, 41 The Drive",1,0,4,3,2,10,0
,"St George's Church Hall, 19 Ranfurly Road",4,0,3,3,0,10,0
"Greenlane","Cornwall Park District School, corner Greenlane West & Wheturangi Roads",4,0,4,7,0,15,1
"Mt Eden","Auckland Normal Intermediate, 24 Poronui Street",3,0,3,2,0,8,0
,"Ficino School, 27 Esplanade Road",1,0,3,4,0,8,0
,"Mt Eden Normal Primary School, 73 Valley Road",5,0,4,16,3,28,0
,"Valley Road International Church Hall, 393 Mt Eden Road",12,0,3,4,0,19,1
"Parnell","Holy Trinity Cathedral, corner St Stephens Avenue & Parnell Road",5,1,6,4,0,16,1
,"Jubilee Hall, Parnell Community Centre, 545 Parnell Road",7,0,9,8,2,26,0
,"Parnell District School, 48 St Stephens Avenue",3,1,8,19,2,33,0
"Remuera","Remuera Intermediate School, 64-72 St Vincent Avenue",4,0,2,4,1,11,0
