Electorate Candidate and Party Votes Recorded at Each Polling Place
"Palmerston North 38","Candidate Vote Details"
,,"EUSOFF, Mohamed Sultan","HAPETA, Leonie Ruth","LEES-GALLOWAY, Iain Francis","MARQUET, Andrew Michael","STRATTON, Daniel Kenneth","TUCKER, Corrina Adele","Total Valid Candidate Votes","Informal Candidate Votes"
"Aokautere","Aokautere School Hall, 196 Fitzherbert East Road",0,8,16,0,1,1,26,0
"Ashhurst","Village Valley Community Centre, corner Cambridge Avenue & Guildford Street",0,12,13,2,0,4,31,0
"Awapuni","Awapuni Community Centre, 22 Newbury Street",5,130,263,14,2,7,421,24
,"Awapuni School Hall, 18 Rochester Street",6,313,557,21,3,43,943,32
"Bulls","Clifton School, 3 Clifton Street",0,9,3,0,1,2,15,1
"Cloverlea","Cloverlea School Hall, 55 Herbert Avenue",0,277,454,18,3,34,786,12
"Feilding","Manchester St School, 160 Manchester Street",0,12,3,0,0,2,17,1
"Highbury","Somerset Crescent School Hall, 45 Somerset Crescent",2,179,333,13,2,14,543,8
,"St Michael's Church Hall, 52 Pembroke Street",1,82,256,9,0,7,355,13
"Hokowhitu","College Street Normal School Hall, 402 College Street",2,509,467,14,8,46,1046,13
,"Hokowhitu School Hall, 227 Albert Street",2,566,431,23,7,36,1065,15
,"Ryder-Cheshire Centre, 114 Te Awe Awe Street",5,310,199,13,2,21,550,9
,"St James' School Community Hall, 304 Albert Street",3,479,380,26,2,29,919,16
,"Winchester School Hall, 552 Ruahine Street",2,383,462,14,1,39,901,18
"Kelvin Grove","Cornerstone Christian School, Administration Building, 119 Mihaere Drive",6,868,657,60,2,39,1632,20
,"Kelvin Grove Community Centre, 68 Kaimanawa Street",3,226,391,24,3,20,667,18
"Linton Camp","Community Centre, Puttick Road",0,8,8,0,1,1,18,1
"Milson","Milson School Hall, 7 Rutland Place",2,577,640,23,3,54,1299,39
,"St Peter's College, Gym-Classroom, 22-38 Rennie Avenue",0,350,347,18,6,33,754,17
"Palmerston North","Central Normal School Hall, 210 Featherston Street",4,398,656,24,4,75,1161,22
,"Emmanuel Congregational Church Hall, 43 Victoria Avenue",0,154,150,7,5,25,341,10
,"Intermediate Normal School Performing Arts Centre, 31 South Street",3,205,230,10,3,28,479,12
,"Massey University, Student Centre Lounge, Concourse, University Drive",0,23,37,1,0,5,66,1
,"Palmerston North Girls' High School, Old Gymnasium, 228 Fitzherbert Avenue",2,203,187,2,7,19,420,6
,"Public Hospital Education Centre Hall, 50 Ruahine Street (Gate 12)",0,86,125,7,0,12,230,3
,"Queen Elizabeth College Hall, 350-382 Rangitikei Street",0,75,160,6,2,16,259,4
,"Russell Street School Hall, 19-31 Russell Street",6,446,505,13,3,38,1011,15
,"St Luke's Lutheran Church Hall, corner Church & McGiffert Streets",0,73,128,6,3,17,227,8
,"Te Manawa Museum, 326 Main Street",0,125,240,5,4,31,405,8
,"The Salvation Army Hall, 431 Church Street",0,122,165,6,2,19,314,7
"Park West","Olive Tree Village Community Centre, 13 Olive Grove",1,242,190,14,0,8,455,17
"Parkland","Parkland School Hall, 41 Parkland Crescent",3,277,406,14,1,30,731,14
"Riverdale","Riverdale School Hall, 95 Slacks Road",4,512,570,18,2,28,1134,12
"Roslyn","Roslyn School Hall, 38 Kipling Street",1,236,400,14,5,37,693,19
,"Ross Intermediate School Hall, 25 Freyberg Street",2,112,152,2,1,13,282,2
"Summerhill","Summerset Retirement Village, 166-186 Ruapehu Drive",0,14,15,1,0,4,34,0
"Takaro","Monrad Intermediate School Hall, 228 Botanical Road",2,144,231,12,1,14,404,6
,"St Oswald's Church Hall, corner Featherston & Kingswood Streets",0,219,381,13,2,33,648,16
,"Takaro School Hall, 24 Brighton Crescent",1,91,251,6,2,17,368,14
"Terrace End","Rangiora Community Centre, 98-102 Rangiora Avenue",3,115,419,10,3,22,572,15
,"St David's Community Centre, 9 Rainforth Street",4,218,300,11,4,19,556,13
,"Terrace End School Hall, 183-209 Ruahine Street",6,415,605,22,4,58,1110,25
"West End","IHC Day Base, 153 Cook Street",1,98,209,15,4,16,343,6
,"West End School Hall, 395-427 Botanical Road",2,437,565,19,7,57,1087,17
"Westbrook","Westbrook Community Centre, 21 Havelock Avenue",1,141,327,8,1,15,493,15
"Whakarongo","Whakarongo Community Hall, 17 Stoney Creek Road",0,76,25,1,2,7,111,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Palmerston North",9,1441,1408,63,14,116,3051,64
,"Ordinary Votes BEFORE polling day - Taken in Rangitīkei",3,99,201,6,3,24,336,3
,"Special Votes BEFORE polling day",3,189,216,7,1,22,438,9
,"Special Votes On polling day",6,827,1077,40,24,201,2175,42
,"Overseas Special Votes including Defence Force",3,129,114,0,6,27,279,5
,"Palmerston North Total",109,13240,16525,675,167,1485,32201,667
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",32868
"Electorate Candidate Valid Votes","Party",,"LEES-GALLOWAY, Iain Francis - majority 3285"
"EUSOFF, Mohamed Sultan",United Future,109,.003384988
"HAPETA, Leonie Ruth",National Party,13240,.4111673551
"LEES-GALLOWAY, Iain Francis",Labour Party,16525,.5131828204
"MARQUET, Andrew Michael",Conservative Party,675,.0209620819
"STRATTON, Daniel Kenneth",ACT New Zealand,167,.0051861743
"TUCKER, Corrina Adele",Green Party,1485,.0461165802
