Electorate Candidate and Party Votes Recorded at Each Polling Place
"Manukau East 24","Candidate Vote Details"
,,"BARNARD, Trevor Lance","BENTLEY, Irene Mary","LEWIS, Richard Charles","OVENS, Jill Annette","PARKASH, Ram","PERESE, Seira","PO-WIHONGI, Tapu Anne","ROBERTSON, Harold Valentine Ross","STEVENS, Hamish William","SUBRAMANIAN, Natarajan","TAHERE, Teremoananuiakiwa Strickland","YEE, Kenneth Ming","Total Valid Candidate Votes","Informal Candidate Votes"
"Botany Downs","Botany Downs School, Mirrabooka Avenue",16,38,53,6,23,0,2,596,77,4,7,953,1775,22
,"Holy Word Church of Auckland, 10 Dana Place",3,6,18,1,11,0,0,158,27,1,1,270,496,6
,"St Columba, 480 Ti Rakau Drive",35,55,119,4,35,1,2,765,108,3,5,1122,2254,69
"Chapel Downs","Chapel Downs Primary School, cnr Chapel & Dawson Road",15,11,54,1,17,0,3,536,13,2,7,195,854,10
"East Tamaki Heights","Point View School, 25 Kilkenny Drive",5,19,14,2,12,0,0,340,22,15,4,502,935,21
,"Willowbank School, cnr Middlefield & Gracechurch Drs",9,22,18,0,14,0,1,463,28,4,3,513,1075,13
"Flat Bush","Baverstock Oaks School, 21 Baverstock Road",3,10,11,4,4,0,1,142,10,0,0,199,384,4
,"Flat Bush School, 20 Flat Bush Road",4,4,19,1,4,2,17,581,0,0,8,5,645,19
"Howick","Howick Intermediate School, 1 Botany Road",12,32,36,2,18,0,2,407,55,5,1,573,1143,9
,"Meadowlands Methodist Community Church, 128 Whitford Road",3,12,14,1,11,0,0,131,12,9,0,192,385,16
,"Our Lady Star of the Sea School, 14 Oakridge Way",8,17,20,0,14,2,0,345,48,2,3,563,1022,15
,"Owairoa School, Nelson Street",4,6,3,0,3,0,0,101,15,1,3,136,272,2
"Manukau Central","Clover Park Middle School, 51 Othello Drive",14,18,40,0,4,3,17,697,1,2,10,23,829,7
"Otara","Bairds Road School, Edward Avenue",5,5,17,2,0,2,5,450,0,0,12,21,519,8
,"Dawson Primary School, Haumia Way",8,8,50,1,2,3,16,745,3,0,13,30,879,8
,"East Tamaki Primary School, Preston Road",4,8,12,1,0,0,5,405,1,0,11,14,461,1
,"Ferguson Intermediate School, 20 - 40 Ferguson Road",8,8,49,0,0,2,23,814,7,0,14,22,947,22
,"Mayfield School, 12 Pearl Baker Drive",7,2,27,2,4,4,21,766,7,0,22,22,884,10
,"Sir Edmund Hillary Collegiate, 67 Otara Road",6,6,31,1,1,2,29,660,3,0,17,6,762,20
,"Wymondley Road School, 77 Wymondley Road",6,2,12,0,0,5,1,261,1,0,8,5,301,11
,"Yendarra Primary School, 226 Bairds Road",2,6,40,2,3,2,13,609,1,0,18,18,714,4
"Pakuranga","Eastgate Christian Centre, 5 Ben Lomond Crescent",5,12,22,1,10,0,0,185,38,0,2,243,518,7
,"Riverhills School, 13 Waikaremoana Place",2,9,4,1,1,0,0,63,4,1,0,60,145,1
"Papatoetoe","Holy Cross Church Hall (cnr George Street and Carruth)",21,20,36,3,15,3,3,737,25,2,1,244,1110,14
,"Indian Christian Life Centre, 92 St George St",17,24,34,4,10,0,10,661,8,0,5,165,938,11
,"Omana Kindergarten, 42 Omana Road",2,6,1,0,0,0,0,99,4,1,1,36,150,1
,"Papatoetoe Central School, Great South Road",21,25,28,3,9,3,2,720,20,2,5,253,1091,15
,"Papatoetoe East Primary School, 138 Tui Road",20,19,33,2,9,1,2,893,21,0,12,191,1203,23
,"Papatoetoe High School, Nicholson Avenue",21,13,24,1,8,1,2,578,9,1,2,152,812,10
,"Papatoetoe Intermediate School, 175 Motatau Road",10,12,18,0,14,1,3,457,16,3,6,183,723,9
,"Puhinui Primary School, 116 Puhinui Road",10,22,22,4,19,1,3,658,10,3,9,141,902,15
,"Puhinui Scout Hall, York Road",3,13,13,3,2,0,1,299,2,0,4,93,433,3
,"St John's Presbyterian Church Hall, 120 Great South Road ",5,9,12,2,6,0,1,221,8,1,2,111,378,7
,"Whitehaven Pensioners Flats Hall, 146 Kolmar Rd",6,4,8,0,5,0,0,223,3,0,4,89,342,12
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",1,1,0,0,0,0,0,61,3,0,2,33,101,12
,"Ordinary Votes BEFORE polling day",29,34,80,3,12,1,14,1086,42,7,21,678,2007,25
,"Special Votes BEFORE polling day",6,21,13,0,7,0,4,222,11,0,4,142,430,15
,"Special Votes On polling day",50,97,103,5,27,2,20,1562,55,7,55,624,2607,77
,"Overseas Special Votes including defence force",1,12,3,1,2,1,2,107,7,0,1,92,229,1
,"Manukau East Total",407,648,1111,64,336,42,225,18804,725,76,303,8914,31655,555
,,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",32210
"Electorate Candidate Valid Votes","Party",,"ROBERTSON, Harold Valentine Ross - majority 9890"
"BARNARD, Trevor Lance",Jim Anderton's Progressive,407,.0128573685
"BENTLEY, Irene Mary",Green Party,648,.0204706997
"LEWIS, Richard Charles",Destiny New Zealand,1111,.0350971411
"OVENS, Jill Annette",Alliance,64,.0020217975
"PARKASH, Ram",United Future New Zealand,336,.0106144369
"PERESE, Seira",Direct Democracy Party,42,.0013268046
"PO-WIHONGI, Tapu Anne",New Zealand Family Rights Protection Party,225,.0071078819
"ROBERTSON, Harold Valentine Ross",Labour Party,18804,.5940293792
"STEVENS, Hamish William",ACT New Zealand,725,.0229031749
"SUBRAMANIAN, Natarajan",Independent,76,.0024008845
"TAHERE, Teremoananuiakiwa Strickland",Mâori Party,303,.0095719476
"YEE, Kenneth Ming",National Party,8914,.2815984837
