Electorate Candidate and Party Votes Recorded at Each Polling Place
"Maungakiekie 25","Candidate Vote Details"
,,"BEAUMONT, Carol Ann","HADEN, Grace","HE, Xiao Peng","LAND, Thomas William","LOTU-IIGA, Peseta Samuelu Masunu ","TUMAI, Barry Edward","Total Valid Candidate Votes","Informal Candidate Votes"
"Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street",7,1,1,2,16,1,28,0
"Ellerslie","Christ Church Anglican Church, 169 Ladies Mile",207,9,18,55,476,0,765,23
,"Ellerslie Kindergarten, 122 Celtic Crescent",151,6,9,25,290,1,482,9
,"Michael Park School, 55 Amy Street",100,7,1,45,174,2,329,4
,"St Mary's Church Hall, 66 Main Highway",226,7,18,47,500,2,800,30
,"YMCA Centre, Downstairs Childcare Centre, 46 Michaels Avenue",180,9,8,57,517,3,774,19
"Epsom","Epsom Methodist Church Hall, 12 Pah Road",139,5,3,34,402,0,583,17
,"Epsom Normal School, 41 The Drive",19,2,0,9,77,0,107,2
"Glen Innes","Glen Innes Primary School, 38-42 Eastview Road",10,0,0,1,3,0,14,1
,"Grace International, 77 Line Road",60,1,7,2,18,2,90,1
,"Tamaki College, corner Elstree Avenue & Taniwha Street",50,1,2,3,19,2,77,1
"Grafton","Auckland City Hospital, Park Road",28,1,1,2,17,0,49,5
"Greenlane","Cornwall Park District School, corner Greenlane West & Wheturangi Roads",159,7,11,37,502,1,717,11
"Hillsborough","Hillsborough Baptist Church, 179 Hillsborough Road",4,0,0,1,5,0,10,0
,"St Margaret's Anglican Church, 102 Hillsborough Road",5,0,1,1,16,0,23,1
"Mt Roskill","Monte Cecilia Catholic School, 72 Hillsborough Road",13,0,2,3,45,0,63,0
,"Sunnydene Special School, 48 Smallfield Avenue",6,0,0,1,2,0,9,0
"Mt Wellington","Bailey Road School, 19 Bailey Road",760,22,37,56,573,8,1456,43
,"Panmure District School, 87 Mt Wellington Highway",517,12,23,44,494,2,1092,44
,"Pensioner Flats Hall, 7 Rowlands Avenue",114,5,9,8,95,3,234,22
,"Stanhope Road School, 2b Harris Road",730,27,34,93,665,5,1554,42
,"Sylvia Park School, 3 Longford Street",396,11,25,35,364,3,834,27
"One Tree Hill","Oranga School, 21 Rangipawa Road",400,13,26,71,652,5,1167,19
,"St Oswald's Anglican Church Hall, 193 Campbell Road",290,19,23,77,922,2,1333,13
"Onehunga","Onehunga Co-operating Parish, corner Grey Street & Onehunga Mall",457,20,21,56,560,2,1116,29
,"Onehunga High School, 24 Pleasant Street",86,4,5,16,131,1,243,9
,"Onehunga Primary School, 122 Arthur Street",459,11,24,50,503,5,1052,20
,"St Peters Anglican Church, corner Church Street & Onehunga Mall",518,10,28,64,528,1,1149,43
"Oranga","St Stephen's Church Hall, 21 Waitangi Road",431,8,18,27,193,6,683,23
,"Te Papapa School, 219 Mt Smart Road",449,7,13,39,400,5,913,25
"Panmure","Panmure Bridge Primary School, 76 Kings Road",301,5,19,28,222,3,578,25
,"Ruapotaka Primary School, 10a Taratoa Street",205,5,4,8,33,2,257,19
,"St Patrick's Church Hall, 19 Sunset View Road",282,15,16,19,216,1,549,27
,"Tamaki Community Church, 4a Court Crescent",287,3,15,16,109,8,438,11
,"Tamaki Intermediate School, 80a Tripoli Road",356,10,19,20,127,9,541,14
"Penrose","One Tree Hill College, 421-451 Great South Road",210,8,2,40,314,1,575,10
"Point England","Point England Primary School, 130 Point England Road",369,7,14,18,101,7,516,26
"Royal Oak","Royal Oak Intermediate, 74 Symonds Street (Trafalgar Street entrance)",376,15,37,46,683,4,1161,19
,"Royal Oak Primary School, Chandler Avenue (663 Manukau Road entrance)",526,19,24,102,1115,6,1792,40
"Three Kings","Three Kings School, 944 Mt Eden Road",227,7,5,46,452,2,739,17
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Māngere",20,1,2,5,58,0,86,2
,"Ordinary Votes BEFORE polling day - Taken in Maungakiekie",1303,52,72,126,1343,17,2913,92
,"Ordinary Votes BEFORE polling day - Taken in Mt Roskill",18,0,0,4,52,0,74,1
,"Ordinary Votes BEFORE polling day - Taken in Tāmaki",130,9,8,22,311,0,480,6
,"Special Votes BEFORE polling day",296,10,14,44,327,3,694,13
,"Special Votes On polling day",1203,49,67,279,1379,18,2995,80
,"Overseas Special Votes including Defence Force",88,3,1,43,188,2,325,5
,"Maungakiekie Total",13168,443,687,1827,16189,145,32459,890
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33349
"Electorate Candidate Valid Votes","Party",,"LOTU-IIGA, Peseta Samuelu Masunu  - majority 3021"
"BEAUMONT, Carol Ann",Labour Party,13168,.405681013
"HADEN, Grace",Conservative Party,443,.0136479867
"HE, Xiao Peng",New Zealand First Party,687,.0211651622
"LAND, Thomas William",Green Party,1827,.0562863921
"LOTU-IIGA, Peseta Samuelu Masunu ",National Party,16189,.4987522721
"TUMAI, Barry Edward",Mana,145,.004467174
