Electorate Candidate and Party Votes Recorded at Each Polling Place
"Hutt South 17","Candidate Vote Details"
,,"COPELAND, Gordon","EADDY, Robert Raymond","MALLARD, Trevor Colin","QUINN, Bernard Paul","SPEIRS, Richard Alexander","WALKER, Holly Ruth Haines","Total Valid Candidate Votes","Informal Candidate Votes"
"Alicetown","Hutt Central School, 6 Railway Avenue",27,13,358,307,3,80,788,17
"Avalon","Avalon School, 10 Gordon Street",5,2,85,45,2,9,148,7
,"Dyer Street School, 59 Dyer Street",18,3,243,221,4,50,539,13
"Belmont","Belmont Hall, 711 Western Hutt Road",1,1,17,30,0,3,52,1
"Boulcott","Boulcott School, 9 Boulcott Street",4,11,143,270,1,44,473,8
"Days Bay","Wellesley College, 611 Marine Drive",12,13,171,244,5,134,579,7
"Eastbourne","Muritai School, 160 Muritai Road",30,30,460,556,8,268,1352,14
"Epuni","Congregational Christian Church Hall of Samoa, 37 Mitchell Street",14,1,216,154,5,43,433,12
,"Epuni School Hall, 313 Waiwhetu Road",47,12,427,383,8,111,988,23
"Gracefield","Gracefield School, 20A Bell Road",8,1,169,108,1,22,309,11
"Hutt Central","Eastern Hutt School, 83 Kings Crescent",34,7,305,516,11,89,962,16
,"Hutt Hospital, 640 High Street",10,2,112,86,0,29,239,8
,"Hutt Intermediate School, 7 Kauri Street",28,10,248,526,6,88,906,17
,"Hutt Valley High School, 84 Woburn Road",34,12,251,462,8,104,871,16
,"Knox Presbyterian Church Hall, 574 High Street",21,7,159,247,8,47,489,7
,"St Bernard's College, 183 Waterloo Road",22,11,245,280,4,54,616,12
,"Sts Peter and Paul School, Myrtle Street",25,1,176,228,6,54,490,11
"Moera","Randwick School, 59 Randwick Road",21,4,412,189,8,90,724,28
"Naenae","Community Hall, 25 Treadwell Street",18,3,360,88,0,30,499,32
,"Naenae Kindergarten, 19 Seddon Street",15,3,378,132,4,54,586,24
,"Naenae Primary School, 18 Wheatley Street",15,5,321,150,2,45,538,20
,"Rata Street School, 73 Rata Street",21,7,523,171,1,73,796,20
"Petone","Petone Central School, 16 Britannia Street",42,15,658,380,5,209,1309,20
,"St Augustines Cub Group Hall, 71 Udy Street",10,1,124,108,1,39,283,4
,"Wilford School, 102 William Street",14,15,510,319,4,197,1059,14
"Point Howard","Tennis Club/Playcentre, 29 Ngaumatau Road",1,4,64,92,2,38,201,2
"Taita","Avalon Intermediate School, 1041 High Street",0,1,39,11,1,7,59,3
"Wainuiomata","Arakura School, 209 Wellington Road",31,8,540,157,3,65,804,23
,"Fernlea School, 25a Lees Grove",11,0,213,85,0,17,326,7
,"Holy Trinity Church, 40 Wainuiomata Road",38,5,392,142,3,37,617,18
,"Pukeatua School, 19 Frederick Street",9,2,269,74,2,33,389,10
,"St Peter's Church, 29 Wise Street",21,3,406,99,2,37,568,12
,"Wainuiomata Intermediate School, 66 Konini Street",29,10,720,287,1,78,1125,21
,"Wainuiomata Primary School, 5 Homedale Road",30,13,680,246,3,105,1077,22
,"Wainuiomata Union Church, 106 Main Road",28,3,357,191,2,57,638,20
"Waiwhetu","Our Lady of the Rosary School, 15 Wainui Road",17,1,236,159,2,48,463,10
,"St Paul's Parish Hall, 76 Waiwhetu Road",20,6,228,153,1,42,450,17
,"Waiwhetu Marae Meeting House, Puketapu Grove",18,5,191,106,4,58,382,6
"Waterloo","Waterloo School, 26 Hardy Street",69,18,695,701,8,198,1689,29
"Wellington City","Capital E, Civic Square",0,0,13,5,0,3,21,0
,"Michael Fowler Centre, Renouf Foyer, Level 1, 111 Wakefield Street",2,0,13,18,0,10,43,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Hutt South",121,51,2104,1293,13,421,4003,119
,"Ordinary Votes BEFORE polling day - Taken in Wellington Central",7,4,108,120,2,41,282,2
,"Special Votes BEFORE polling day",16,1,249,130,2,45,443,6
,"Special Votes On polling day",47,14,1094,595,13,331,2094,32
,"Overseas Special Votes including Defence Force",4,3,146,139,3,56,351,5
,"Hutt South Total",1015,342,15828,11003,172,3693,32053,728
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",32781
"Electorate Candidate Valid Votes","Party",,"MALLARD, Trevor Colin - majority 4825"
"COPELAND, Gordon",Conservative Party,1015,.0316663027
"EADDY, Robert Raymond",United Future,342,.0106698281
"MALLARD, Trevor Colin",Labour Party,15828,.4938071319
"QUINN, Bernard Paul",National Party,11003,.3432752004
"SPEIRS, Richard Alexander",ACT New Zealand,172,.0053661124
"WALKER, Holly Ruth Haines",Green Party,3693,.1152154245
