Electorate Candidate Votes Recorded at Each Voting Place
"Wairarapa 58","Candidate Vote Details"
,,"ATKINSON, Shane","HART, John Stuart","McANULTY, Kieran Michael","MARK, Ron Stanley","REID, Brent Allan","SCOTT, Alastair Oliver","SMITH, Rawiri Richard","Total Valid Candidate Votes","Informal Candidate Votes"
"Alfredton","Alfredton School, corner Alfredton Road & Route 52",0,0,3,16,0,82,0,101,1
"Carterton","Carterton Kindergarten, 3 Victoria Street",1,17,246,358,6,277,1,906,7
,"Carterton School Hall, corner Holloway & Dixon Streets",2,43,310,460,17,381,4,1217,6
,"Dalefield School, corner Dalefield & Thomas Roads",1,5,50,82,8,128,0,274,0
,"South End School, 275 High Street South",1,22,196,293,15,263,3,793,4
,"West Taratahi Community Hall, 713 Chester Road",0,10,63,72,8,134,0,287,0
"Dannevirke","Dannevirke High School Canteen, Grant Street",0,13,46,27,3,146,1,236,2
,"Dannevirke South School Hall, corner Stairs & Hunter Streets",3,25,85,64,9,246,5,437,3
,"Dannevirke Sports Centre, Anderson Street",1,18,45,30,4,100,0,198,1
,"Huia Range School, corner Cole & High Streets",0,20,130,106,11,230,5,502,8
,"Ruahine School, 333 Maharahara Road",1,2,16,12,6,140,0,177,2
,"The Hub, Allardice Street",0,25,130,104,20,332,2,613,4
,"Totara College, 3 Ruahine Street",1,8,43,40,11,143,0,246,1
"Eketahuna","Eketahuna School, Albert Street",0,5,76,110,4,211,0,406,4
"Featherston","Featherston School Hall, corner Lyons & Revans Streets",3,68,373,308,18,236,5,1011,10
,"South Featherston School, South Featherston Road",0,6,37,63,0,59,1,166,0
"Gladstone","Gladstone School Hall, Te Whiti Road",1,9,63,67,4,221,3,368,1
"Greytown","Greytown School Hall, East Street",1,78,337,363,13,550,4,1346,8
,"Kuranui College Student Centre, Bidwells Cutting Road",1,19,78,75,2,106,1,282,2
"Kahutara","Kahutara School Sports Centre, 990 Kahutara Road",0,1,32,38,2,76,1,150,0
"Mangamaire","Mangamaire School, 192 Tutaekara Road",0,0,20,32,2,99,0,153,0
"Mangatainoka","Mangatainoka School, corner State Highway 2 & Makuri Street",1,8,28,35,4,96,0,172,2
"Martinborough","Martinborough School Hall, 14 Dublin Street",2,59,232,267,5,645,6,1216,6
"Masterton","Chanel College Hall, 26 Herbert Street",1,19,255,152,3,198,4,632,5
,"Courthouse, 41 Dixon Street",2,26,234,166,11,220,4,663,3
,"Douglas Park School Hall, 136 Cole Street",1,14,155,96,2,136,4,408,0
,"Fernridge School Hall, 264 Upper Plain Road",0,15,103,109,10,250,2,489,2
,"IDEA Services (IHC Centre), 46 Bentley Street",0,11,70,60,4,28,2,175,3
,"Lakeview School Hall, corner Te Ore Ore & Colombo Roads",1,54,500,400,45,594,13,1607,9
,"Makoura College Students Centre, corner Makora Road & Johnstone Street",0,26,150,121,10,109,6,422,1
,"Masterton Intermediate School Hall, 38 Intermediate Street",0,35,399,336,23,335,5,1133,12
,"Solway School Hall, 318 Ngaumutawa Road",5,14,154,177,19,264,2,635,0
,"Town Hall, 64 Chapel Street",1,42,516,402,34,498,10,1503,9
,"Westside Playcentre, corner Renall Street & Ngaumutawa Road",1,15,181,176,15,173,1,562,5
"Mauriceville","Mauriceville School, 1378 Opaki-Kaiparoro Road",0,4,32,39,1,53,0,129,0
"Norsewood","Norsewood School, Coronation Street",2,19,55,56,17,194,1,344,5
"Omakere","Omakere School, 46 Long Range Road",0,4,5,3,1,77,0,90,2
"Opaki","Opaki School Hall, 36 Waipipi Road",3,11,85,74,4,239,0,416,1
