Electorate Candidate and Party Votes Recorded at Each Polling Place
"Tamaki Makaurau 65","Candidate Vote Details"
,,"HEMAHEMA-TAMATI, Sophie Tauwehe","OPAI, Eugene Ashley","REREKURA, Tekaioroto Samuel","SHARPLES, Pita Russell","TAMIHERE, John Henry","Total Valid Candidate Votes","Informal Candidate Votes"
,Auckland Central
,"West School, 31 McKean Avenue",2,0,2,59,62,125,1
"Weymouth","Weymouth Primary School, 23 Evans Road",8,1,9,107,87,212,2
"Wiri","Wiri Central School, Inverell Avenue",4,0,3,66,61,134,3
,Maungakiekie
"Ellerslie","Christ Church Anglican Church Hall, 169 Ladies Mile",0,0,1,20,15,36,2
,"Ellerslie Kindergarten, 122 Celtic Crescent",2,0,1,12,9,24,3
,"St Mary's Church Hall, 66 Main Highway",2,0,0,12,17,31,1
,"YMCA Centre, 46 Michaels Avenue",0,0,0,10,4,14,0
"Mt Wellington","Bailey Road School Hall, 19 Bailey Road",3,0,0,42,44,89,4
,"Panama Road School Hall, 139 Panama Road",5,1,1,88,77,172,4
,"Panmure District School, 87 Mt Wellington Highway",12,0,1,48,38,99,1
,"Pensioner Flats Hall, 7 Rowlands Avenue",3,0,1,9,7,20,0
,"Stanhope Road School, 2B Harris Road",3,0,1,32,49,85,0
,"Sylvia Park School, Longford Street",4,0,2,19,13,38,0
"One Tree Hill","Oranga District School Hall, 21 Rangipawa Road",0,0,1,32,23,56,0
,"St Oswald's Anglican Church Hall, 193 Campbell Road",1,0,1,12,8,22,0
"Oranga","St Stephen's Church Hall, 21 Waitangi Road",0,0,1,23,24,48,3
,"Te Papapa School Hall, 219 Mt Smart Road",6,0,2,32,24,64,2
"Otahuhu","Fairburn School, 10 Pukeora Road",3,0,1,25,30,59,2
,"McAuley High School, 26 High Street",1,0,1,45,40,87,6
,"Otahuhu College, 74-78 Mangere Road",1,0,1,34,34,70,1
,"Otahuhu Intermediate School, 22-24 Luke Street",4,0,0,23,82,109,1
,"Otahuhu Primary School, 41 Station Road",5,0,4,54,40,103,2
"Penrose","Penrose High School, 421-451 Great South Road",1,0,2,23,13,39,1
,Mt Albert
"Avondale","Avondale College (Music Suite), Victor Street",3,0,4,44,23,74,1
,"Avondale Community Centre, 99 Rosebank Road",0,0,0,33,30,63,1
,"Avondale Primary School Hall, Crayford Street",1,0,0,31,28,60,0
,"Rosebank School Hall, 217 Rosebank Road",6,1,2,57,57,123,0
"Balmoral","Balmoral School Hall, 19 Brixton Road",0,0,3,10,5,18,0
,"Good Shepherd Parish Hall, 30 Telford Avenue",1,0,1,4,13,19,0
,"St Albans Church Hall, 443 Dominion Road",1,0,0,5,6,12,0
"Kingsland","Kowhai Intermediate School Hall, 26 Onslow Road",0,0,0,37,22,59,0
,"Samoan Congregational Church, 50 Bond Street, Kingsland",0,0,1,24,8,33,0
"Morningside","Morningside Church of Christ Hall, 42 Leslie Avenue",0,1,0,12,6,19,1
,"Mt Albert Primary School Hall, Taylory Road, Morningside",0,0,0,22,14,36,0
,"The Church in Auckland Hall, 621 New North Road",0,0,1,12,9,22,0
"Mt Albert","Gladstone Primary School Hall, Carrington Road",3,1,0,33,18,55,2
,"Mark Road Kindergarten, 24 Mark Road",1,0,1,14,13,29,0
,"Mt Albert Baptist Church, Jubilee Hall, 732 New North Road",0,0,0,3,5,8,0
,"Mt Albert Grammar School Hall, 36 Alberton Avenue",2,0,1,22,9,34,0
,"Mt Albert Methodist Church Hall, Alexis Avenue",0,0,0,9,10,19,1
,"Mt Albert Presbyterian Church Hall, 14 Mt Albert Road",1,0,0,8,8,17,0
,"Rossgrove Chapel Hall, Rossgrove Terrace",3,1,1,12,16,33,1
"Newton","Newton Central School Hall, Waima Street",1,0,0,9,3,13,0
"Owairaka","Owairaka District School Hall, 113 Richardson Road",4,0,2,23,33,62,0
"Sandringham","Christian Family Church Hall, 631 Sandringham Road",0,0,0,7,14,21,0
,"Edendale School Hall, 419 Sandringham Road",0,0,0,35,26,61,3
,"Salvation Army Community Church Hall, Duncan Avenue",1,0,1,14,14,30,0
"Waterview","Waterview Methodist Church Hall, Fir St (cnr Great North Road)",2,0,0,25,14,41,3
,"Waterview Primary School Hall, Hardman Street",1,0,1,19,18,39,0
"Western Springs","Greek Orthodox Church Hall, 108 Western Springs Road",0,0,1,19,17,37,0
,Mt Roskill
"Balmoral","Balmoral Scout Hall, Waitomo Street (by Pollard Park)",0,0,0,9,12,21,1
"Hillsborough","St David's Church Hall, 202 Hillsborough Road",0,0,0,7,3,10,0
,"Waikowhai Primary School, 381 Hillsborough Road",0,0,0,7,5,12,0
"Mt Eden","Maungawhau School Hall, 43 Ellerton Road",1,0,2,15,9,27,2
"Mt Roskill","Baptist Church Hall, 179 Hillsborough Road",1,0,2,5,1,9,0
,"Christ the King Parish Hall, 288 Richardson Road",0,0,0,9,14,23,0
