Electorate Candidate Votes Recorded at Each Voting Place
"Coromandel 7","Candidate Vote Details"
,,"DELAHUNTY, Catherine","DOWNARD, Micheal Patrick","ERTEL, Grant Ernest","OLSEN, David Edward","PAKINGA, Hiria Gillian","POSCHL, Korbinian Peter Veit","SIMPSON, Scott Anthony","WALKDEN, David","Total Valid Candidate Votes","Informal Candidate Votes"
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",1807,86,1135,41,44,1439,7165,415,12132,108
,"Special Votes BEFORE polling day",207,11,80,8,6,127,605,28,1072,5
,"Special Votes On polling day",411,36,133,15,19,216,901,55,1786,21
,"Overseas Special Votes including Defence Force",121,2,12,0,1,29,262,10,437,2
,"Coromandel Total",6133,420,3158,161,176,4236,21934,1133,37351,313
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",37664
"Electorate Candidate Valid Votes","Party",,"SIMPSON, Scott Anthony - majority 15801"
"DELAHUNTY, Catherine",Green Party,6133,.1641990844
"DOWNARD, Micheal Patrick",Ban1080,420,.0112446789
"ERTEL, Grant Ernest",New Zealand First Party,3158,.0845492758
"OLSEN, David Edward",ACT New Zealand,161,.0043104602
"PAKINGA, Hiria Gillian",Māori Party,176,.0047120559
"POSCHL, Korbinian Peter Veit",Labour Party,4236,.1134106182
"SIMPSON, Scott Anthony",National Party,21934,.5872399668
"WALKDEN, David",Conservative,1133,.0303338599
