Electorate Candidate and Party Votes Recorded at Each Polling Place
"Rimutaka 43","Candidate Vote Details"
,,"HIPKINS, Christopher John","HURN, Jennifer","KEARNEY, Nigel Bruce","MARK, Ron Stanley","MAURICE, John","VIGRASS, Lynette Claire","WHITESIDE, Richard Wood","Total Valid Candidate Votes","Informal Candidate Votes"
"Avalon","Avalon School, 10 Gordon Street",512,31,24,126,6,33,441,1173,21
,"Dyer Street School, Dyer Street",20,5,0,5,3,4,22,59,1
"Belmont","Belmont School, 709 Western Hutt Road",328,28,18,108,12,78,399,971,5
,"Cretney's Garage, 17 Foster Crescent",88,11,9,32,2,55,120,317,0
"Blue Mountains","Blue Mountains Progressive Association, Avian Crescent",60,3,3,44,0,12,123,245,2
"Brown Owl","St Peter Chanel Catholic Centre, corner Bernadette Street & Fergusson Drive",322,11,14,204,9,39,427,1026,2
"Epuni","Congregational Christian Church Hall of Samoa, 37 Mitchell Street",13,1,0,4,0,2,9,29,1
,"Epuni School Hall, 313 Waiwhetu Road",14,0,0,4,0,3,4,25,0
"Heretaunga","Shazam's After School Care Hall, 386-388 Fergusson Drive",96,5,0,58,2,15,205,381,3
,"St Brendan's School, 56 Palmer Crescent",188,7,7,109,2,26,285,624,2
,"Suzanne Aubert Centre, 3 Perry Street",112,5,3,54,3,12,181,370,4
"Hutt Central","Eastern Hutt School, 83 Kings Crescent",16,2,0,4,1,5,26,54,1
,"Hutt Hospital, High Street",53,0,0,9,1,8,25,96,1
,"Knox Presbyterian Church Hall, 574 High Street",26,2,1,8,1,6,51,95,0
,"Sts. Peter and Paul School, Myrtle Street",32,1,0,7,0,10,15,65,0
"Kelson","Kelson School Hall, Taieri Cresent",414,33,30,117,16,66,543,1219,4
"Mangaroa","Mangaroa School, Flux Road",84,4,7,47,4,19,209,374,3
"Manor Park","Former Manor Park School, Ford Road",53,7,3,22,0,6,72,163,0
"Maoribank","Maoribank School, 32 Hillside Drive",218,16,10,76,5,21,107,453,1
"Naenae","Maota Samoa Hall, 25 Treadwell Street",23,0,1,6,1,1,10,42,0
,"Naenae Kindergarten, 19 Seddon Street",6,0,0,2,0,1,9,18,0
,"Naenae School, Wheatley Street",16,0,0,2,0,0,7,25,0
,"Rata Street School, Rata Street",27,0,0,6,1,3,7,44,1
"Parkdale","Birchville School, 16 Gemstone Drive",265,5,13,116,3,38,302,742,7
"Petone","Petone Central School, 16 Britannia Street",21,1,1,6,1,9,21,60,1
"Pinehaven","Pinehaven School, Forest Road",255,8,10,93,4,60,251,681,7
"Riverstone Terraces","Professionals Real Estate Office, Kirton Drive",127,11,12,63,3,19,320,555,3
"Silverstream","Silverstream School, Whitemans Road",399,20,10,201,9,58,700,1397,8
,"St Margaret's Church Hall, Dunns Road",235,8,6,118,4,41,406,818,7
"Stokes Valley","Jeanette Mullins School of Dance, Library Hall, Scott Court",712,23,19,228,17,98,440,1537,6
,"Tawhai School, Glen Road",237,2,13,84,3,38,238,615,3
,"Tui Glen School, Stokes Valley Road",308,8,7,89,6,31,168,617,8
,"Uniting Parish Church, 346 Stokes Valley Road",396,10,17,139,11,42,295,910,2
"Taita","Avalon Intermediate School, 1041 High Street",489,22,7,109,17,48,314,1006,13
,"Pomare School, Partridge Street",377,2,6,48,4,17,65,519,8
,"St Michael's School, Cooper Street",253,8,3,49,1,12,48,374,6
,"Taita Central School, Churton Crescent",365,10,8,64,8,19,99,573,10
"Te Marua","Plateau School, Malloys Road",184,6,3,103,1,33,167,497,0
"Totara Park","Totara Park School, 16 California Drive",491,14,8,261,10,51,560,1395,5
"Trentham","Masonic Centre, Islington Street",336,7,10,160,1,34,240,788,4
,"Trentham School, Moonshine Road",555,12,15,202,9,63,469,1325,12
"Upper Hutt","177-179 Main Street (next to Pizza Hut)",373,8,15,149,5,54,339,943,18
,"Fraser Crescent School, 16 Redwood Street",338,15,12,176,5,30,330,906,13
,"Oxford Crescent School, 5 Oxford Crescent",306,6,15,169,3,23,277,799,4
,"St Hilda's Church Hall, 35 Cruickshank Road",198,17,12,122,1,27,235,612,9
,"St Joseph's Scout Hall, Royal Street",243,3,5,124,6,12,179,572,1
,"Wesley Centre (St David's Hall), 1 Benzie Avenue",303,7,11,142,5,28,274,770,4
"Wallaceville","Baptist Church Hall, Milton Street",289,10,8,136,8,21,243,715,2
,"Heretaunga College, Ward Street",357,20,11,161,6,47,298,900,4
"Wellington City","Michael Fowler Centre, Renouf Foyer, Level 1, 111 Wakefield Street",21,1,1,4,0,11,20,58,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Hospital Votes",246,11,9,78,8,15,168,535,25
,"Ordinary Votes BEFORE polling day",1225,35,27,481,26,126,1230,3150,22
,"Special Votes BEFORE polling day",161,5,2,45,2,21,143,379,5
,"Special Votes On polling day",813,24,22,250,15,154,670,1948,22
,"Overseas Special Votes including defence force",136,11,5,33,1,50,176,412,5
,"Rimutaka Total",13735,522,453,5257,272,1755,12982,34976,297
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35273
"Electorate Candidate Valid Votes","Party",,"HIPKINS, Christopher John - majority 753"
"HIPKINS, Christopher John",Labour Party,13735,.39269785
"HURN, Jennifer",United Future,522,.0149245197
"KEARNEY, Nigel Bruce",ACT New Zealand,453,.0129517383
"MARK, Ron Stanley",New Zealand First Party,5257,.150303065
"MAURICE, John",Jim Anderton's Progressive,272,.0077767612
"VIGRASS, Lynette Claire",Green Party,1755,.0501772644
"WHITESIDE, Richard Wood",National Party,12982,.3711688015
