Electorate Candidate and Party Votes Recorded at Each Polling Place
"Tukituki 53","Candidate Vote Details"
,,"BARKER, Richard John","DUTHIE, Quentin John","FOSS, Craig Raymond Robert","LENNOX, Kenneth Duncan","O'NEILL, Thomas Arthur","PATCHETT, Elizabeth Dawn","PULFORD, Barry Reece","Total Valid Candidate Votes","Informal Candidate Votes"
"Akina","Hastings Central School, 400 Karamu Road South",378,44,344,27,2,2,1,798,2
,"Hastings Intermediate School, Hastings Street South",215,34,218,16,3,3,0,489,2
"Argyll East","Argyll East School, 1071 Argyll East Road",5,1,60,0,0,0,0,66,0
"Ashley Clinton","Sherwood School, 358 Makaretu Road",20,9,127,2,0,1,0,159,1
"Bridge Pa","Bridge Pa School, 40 Maraekakaho Road",67,15,213,5,0,3,0,303,0
"Camberley","Camberley School, 627 Kiwi Street",221,6,46,3,1,1,0,278,3
,"Hawkes Bay Regional Hospital, Main Entrance, Omahu Road",103,12,103,3,2,5,0,228,1
"Clive","Clive Community Hall, Main Road",353,67,587,12,3,6,2,1030,10
"Crownthorpe","Crownthorpe School, 104 Crownthorpe Road",11,5,65,6,0,0,0,87,0
"Elsthorpe","Elsthorpe School, Kenderdine Road",24,9,134,1,0,1,0,169,1
"Flaxmere","Ellen Stevenson Kindergarten, 90 Chatham Road",384,21,147,11,1,3,2,569,5
,"Flaxmere Primary School, 20 Henderson Road",245,13,133,4,2,3,0,400,3
,"Irongate School, Walton Way",206,5,74,3,5,0,3,296,3
,"Kimi Ora Community School, 1 Boston Crescent",102,5,13,1,0,0,0,121,1
,"Peterhead School, 10 Peterhead Avenue",364,12,148,7,1,2,0,534,8
"Frimley","Frimley School, 202 Frimley Road",490,48,744,14,1,16,4,1317,10
"Hastings Central","District Courthouse, 102 Eastbourne Street West",193,28,238,9,2,6,2,478,11
,"St John Ambulance Hall, 107 Southland Road",363,31,402,23,2,8,5,834,14
,"Wesley Hall, Hastings Street South",215,25,149,6,2,8,0,405,12
"Haumoana","Haumoana Public Hall, Haumoana Road",273,87,312,9,5,4,1,691,4
"Havelock North","Arataki Holiday Park, 139 Arataki Road",84,20,435,5,4,1,0,549,4
,"Havelock North Central Kindergarten, 20 Napier Road",94,17,261,8,0,3,0,383,2
,"Havelock North High School, 177 Te Mata Road",219,40,754,11,2,10,0,1036,2
,"Havelock North Primary School, 9 Campbell Street",300,92,1218,13,8,5,3,1639,2
,"Lucknow School, 42 Elliott Crescent",352,40,530,19,3,10,7,961,8
,"Our Lady of Lourdes Parish Hall, St Hill Lane",182,31,557,6,0,8,1,785,7
,"St Columbas Hall, Te Mata Road",259,50,834,11,3,3,0,1160,3
"Kereru","Kereru School, 2306 Kereru Road",12,1,58,3,0,1,0,75,0
"Mahora","Aubyn Theatre, St Aubyn Street West",311,27,331,6,4,5,2,686,1
,"Mahora School, 710 Frederick Street",765,98,936,18,6,22,2,1847,16
"Mangateretere","Mangateretere School, Main Road",82,22,165,11,2,4,0,286,0
"Maraekakaho","Maraekakaho School, 68 Kereru Road",49,15,275,10,0,1,0,350,2
"Mayfair","Karamu High School, corner Windsor Avenue & Grove Road",216,27,271,14,3,8,4,543,11
,"Mayfair School, Willowpark Road North",548,51,543,7,3,15,4,1171,8
"Omahu","Omahu School, 22 Taihape Road",53,17,185,7,0,1,0,263,2
"Omakere","Omakere School, Long Range Road",5,2,40,1,0,0,0,48,0
"Onga Onga","Onga Onga School, 51 Mill Street",40,7,145,3,0,2,0,197,1
"Otane","Otane School, Higginson Street",141,39,207,7,1,6,1,402,3
"Pakipaki","Pakipaki School, 316 Pakipaki Road",46,4,112,1,1,3,0,167,1
"Pakowhai","Pakowhai School, 25 Chesterhope Road",43,10,239,5,0,2,2,301,3
"Parkvale","Gordon Black Hall, 912 Queen Street East",149,17,151,3,0,1,0,321,2
,"Parkvale Kindergarten, 108 Park Road South",239,25,280,8,0,6,2,560,3
,"Parkvale School Hall, Howard Street",347,40,527,13,4,9,3,943,8
,"Takitimu Performing Arts School, 706 Albert Street",115,10,85,6,0,3,0,219,0
"Poukawa","Poukawa School, 107 Poukawa Road",21,7,87,0,0,0,0,115,0
"Pukahu","Riverbend Bible Church, 354 Te Aute Road",30,8,256,5,1,4,0,304,4
"Pukehamoamoa","Pukehamoamoa School, 11 Matapiro Road",32,10,166,5,2,1,0,216,0
"Pukehou","Pukehou School, State Highway 2",25,8,52,0,0,0,0,85,1
"Raukawa","Raukawa Hall, Raukawa Road",14,3,101,3,0,2,0,123,0
"Raureka","Ebbett Park School, 600 Oliphant Road",281,25,229,9,4,3,4,555,1
,"Raureka School Hall, 916 Gordon Road",499,46,621,27,4,9,1,1207,12
"Sherenden","Sherenden School, 2129 Taihape Road",21,3,103,2,0,1,1,131,0
"Springhill","Springhill Community Hall, 1017 Wakarara Road",10,4,55,0,1,1,0,71,0
"Te Awanga","Te Awanga Community Centre, Wellwood Terrace",109,54,228,5,1,2,1,400,1
"Te Hauke","Te Hauke School, Burma Road",8,4,17,0,0,0,0,29,0
"Tikokino","Tikokino School, 43 Owen Street",53,8,147,3,0,3,0,214,1
"Twyford","Twyford School, 142 Twyford Road",48,8,261,5,0,0,1,323,0
"Waimarama","Mr Huggett's Garage, Redbridge",38,19,166,4,0,0,0,227,3
,"Waimarama Memorial Hall, Waimarama Road",49,13,139,3,0,1,0,205,2
"Waipawa","CHB District Council Chambers, Ruataniwha Street",29,8,126,3,0,0,0,166,0
"Waipukurau","Waipukurau School Hall, St Marys Road",13,2,67,1,0,0,0,83,0
"Waiwhare","Waiwhare Community Centre, 27 River Road",4,1,60,3,0,0,0,68,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Hospital Votes",245,9,344,9,3,4,4,618,22
,"Ordinary Votes BEFORE polling day",993,165,2070,36,6,19,5,3294,30
,"Special Votes BEFORE polling day",141,25,195,3,1,2,1,368,6
,"Special Votes On polling day",654,157,977,34,4,13,2,1841,21
,"Overseas Special Votes including defence force",92,26,240,5,1,4,2,370,0
,"Tukituki Total",12292,1792,20103,523,104,270,73,35157,284
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35441
"Electorate Candidate Valid Votes","Party",,"FOSS, Craig Raymond Robert - majority 7811"
"BARKER, Richard John",Labour Party,12292,.3496316523
"DUTHIE, Quentin John",Green Party,1792,.0509713571
"FOSS, Craig Raymond Robert",National Party,20103,.5718064681
"LENNOX, Kenneth Duncan",ACT New Zealand,523,.0148761271
"O'NEILL, Thomas Arthur",Alliance,104,.0029581591
"PATCHETT, Elizabeth Dawn",Jim Anderton's Progressive,270,.0076798362
"PULFORD, Barry Reece",Democrats for Social Credit,73,.0020764001
