Electorate Candidate and Party Votes Recorded at Each Polling Place
"Manukau East 23","Candidate Vote Details"
,,"BAKSHI, Kanwaljit Singh","BARNARD, Trevor Lance","HEAD, Manogi Turua","LEAVASA, Tevaga Sione","MURPHY, Lynette","PAPALI'I, Poutoa Pailate ","ROBERTSON, Harold Valentine Ross","STITT, Kevin Eric","VERMUNT, Annalucia Maria","WHITMORE, Daphna Kaye","WYND, Donna","Total Valid Candidate Votes","Informal Candidate Votes"
"Botany South","Sancta Maria College, 319 Te Irirangi Drive",10,1,0,0,2,1,13,0,0,0,0,27,1
"Clover Park","St Peter Chanel Hall, 44 Boundary Road",5,0,0,6,0,4,37,0,0,0,1,53,0
"Dannemora","Little Learners Childcare Centre, 491 Te Irirangi Drive",4,0,0,0,4,1,4,0,0,0,0,13,0
"Flat Bush","Dawson Primary School, Haumia Way",8,2,0,11,0,12,83,0,0,0,2,118,2
"Mt Wellington","Panama Road School Hall, 139 Panama Road",221,16,5,68,46,35,786,8,0,3,42,1230,28
"Otahuhu","Fairburn School, 10 Pukeora Road",92,12,2,39,18,10,371,3,0,1,16,564,11
,"McAuley High School, 26 High Street",151,30,7,65,17,18,709,8,3,3,17,1028,20
,"Middlemore Hospital, Hospital Road",22,2,0,7,0,1,73,1,0,0,2,108,3
,"Otahuhu College, 74-78 Mangere Road",98,3,0,53,16,22,323,1,1,5,23,545,16
,"Otahuhu Intermediate School, 22-24 Luke Street",160,16,3,38,27,12,619,4,1,1,22,903,23
,"Otahuhu Primary School, 41 Station Road",108,7,4,27,22,13,448,5,2,1,30,667,13
"Otara","Bairds Mainfreight Primary School, 12 Edward Avenue",27,3,0,28,6,18,424,3,0,1,14,524,9
,"East Tamaki Primary School, 196 Preston Road",9,1,1,28,0,26,269,0,0,1,7,342,8
,"Ferguson Intermediate School, 20-40 Ferguson Road",18,6,1,112,3,41,686,2,0,6,10,885,23
,"Flat Bush School, 20 Flat Bush Road",7,1,1,46,4,17,351,0,0,1,6,434,3
,"Mayfield School, 12 Pearl Baker Drive",19,4,0,88,6,31,595,4,0,3,11,761,8
,"Nga Taonga Kohanga Reo O Otara, 183 Bairds Road",10,3,0,43,1,30,267,1,0,0,3,358,2
,"Sir Edmund Hillary Collegiate, 67 Otara Road",20,7,0,87,0,21,498,2,0,2,3,640,13
,"Wymondley Road School, 77 Wymondley Road",9,3,0,23,0,7,232,0,0,1,9,284,8
"Papatoetoe","Aorere College, 6-8 Selfs Road",58,3,1,36,4,11,210,0,1,0,9,333,7
,"Holy Cross Church Hall, corner St George Street & Carruth Road",294,21,13,28,38,16,655,10,0,2,27,1104,19
,"Indian Christian Life Centre, 92 St George Street",172,2,6,20,27,13,536,12,1,1,23,813,10
,"Omana Kindergarten, 42 Omana Avenue",235,6,6,13,41,8,431,6,0,2,19,767,15
,"Papatoetoe Central Primary School, 317 Great South Road",314,11,4,9,42,20,652,4,1,1,24,1082,23
,"Papatoetoe Contract Bridge Club, 57 Hillside Road",130,5,1,10,12,11,335,7,0,2,19,532,2
,"Papatoetoe East Primary School, 138 Tui Road",285,18,4,27,31,20,765,10,1,2,41,1204,22
,"Papatoetoe High School, 19 Nicholson Avenue",226,8,4,17,26,4,507,6,0,2,19,819,20
,"Papatoetoe Intermediate School, 175 Motatau Road",228,14,8,12,43,8,514,1,1,3,19,851,14
,"Papatoetoe South School, Milan Road - entry via Kenderdine Road",175,14,2,28,23,14,524,1,0,0,26,807,18
,"Papatoetoe West School, 1-3 Hillcrest Road",176,17,4,47,15,26,565,9,1,0,19,879,7
,"Puhinui Primary School, 116 Puhinui Road",144,9,6,13,16,11,390,0,0,2,11,602,10
,"Puhinui Scout Hall, York Road",97,6,0,0,16,6,256,1,0,1,9,392,4
,"St John's Presbyterian Church Hall, 120 Great South Road",142,14,0,10,15,4,224,0,1,1,17,428,9
,"Whitehaven Pensioners Flats Hall, 146 Kolmar Road",70,4,2,4,14,4,231,3,0,0,5,337,3
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",33,3,3,3,5,10,87,0,0,0,2,146,6
,"Ordinary Votes BEFORE polling day",479,28,11,91,72,48,1535,20,1,2,37,2324,33
,"Special Votes BEFORE polling day",58,3,1,39,9,2,246,6,0,0,8,372,5
,"Special Votes On polling day",461,27,11,229,68,87,1718,12,0,5,72,2690,39
,"Overseas Special Votes including defence force",34,3,1,1,4,5,85,5,1,0,4,143,2
,"Manukau East Total",4809,333,112,1406,693,648,17254,155,16,55,628,26109,459
,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",26568
"Electorate Candidate Valid Votes","Party",,"ROBERTSON, Harold Valentine Ross - majority 12445"
"BAKSHI, Kanwaljit Singh",National Party,4809,.18418936
"BARNARD, Trevor Lance",Jim Anderton's Progressive,333,.0127542227
"HEAD, Manogi Turua",United Future,112,.0042897085
"LEAVASA, Tevaga Sione",New Zealand Pacific Party,1406,.0538511624
"MURPHY, Lynette",ACT New Zealand,693,.0265425715
"PAPALI'I, Poutoa Pailate ",Family Party,648,.0248190279
"ROBERTSON, Harold Valentine Ross",Labour Party,17254,.6608449194
"STITT, Kevin Eric",Kiwi Party,155,.0059366502
"VERMUNT, Annalucia Maria",Communist League,16,.0006128155
"WHITMORE, Daphna Kaye",Workers Party,55,.0021065533
"WYND, Donna",Green Party,628,.0240530085
