Electorate Candidate and Party Votes Recorded at Each Polling Place
"Rimutaka 45","Candidate Vote Details"
,,"FOWLER, David George","KEARNEY, Nigel Bruce","LEDDY, Michael Anthony","McCLELLAND, Bernard ","MORRIS, Michael Charles","REYNOLDS, David John","SWAIN, Paul Desmond","Total Valid Candidate Votes","Informal Candidate Votes"
"Avalon","Avalon School, 10 Gordon Street",40,16,436,59,34,14,676,1275,19
"Belmont","Belmont School, 709 Western Hutt Road",12,10,156,26,19,4,150,377,3
"Blue Mountains","Progressive Assn Club Rooms, Avian Crescent",9,2,96,12,15,5,88,227,5
"Brown Owl","St Peter Chanel Catholic Centre, cnr Bernadette Street & Fergusson Drive",33,15,382,54,35,14,508,1041,8
"City","Wellington Town Hall, 111 Wakefield Street",0,1,13,0,8,1,27,50,0
"Epuni","Epuni School Hall, 313 Waiwhetu Road",0,0,9,3,3,0,18,33,0
,"Hutt City Musical Theatre Inc, 40 Mitchell Street",0,0,10,1,1,0,26,38,0
"Heretaunga","Shazam's After School Care Hall, 386 - 388 Fergusson Drive",3,3,195,17,9,2,124,353,6
,"St Brendan's School, 56 Palmer Crescent",22,3,262,22,19,10,296,634,2
,"Suzanne Aubert Centre, 3 Perry Street ",8,5,153,20,9,7,183,385,2
"Hutt Central","Eastern Hutt School, 83 Kings Crescent",2,1,17,1,1,0,16,38,0
,"Hutt Hospital, High Street",4,0,19,6,4,1,60,94,0
,"Knox Presbyterian Church Hall, 574 High Street",3,2,40,4,1,1,35,86,0
"Kelson","Kelson School Hall, Taieri Cresent",27,30,426,106,54,14,492,1149,12
"Mangaroa","Mangaroa School, Flux Road",12,7,138,20,14,2,126,319,4
"Manor Park","Former Manor Park School, Ford Road",10,2,60,8,7,4,76,167,0
"Maoribank","Maoribank School, Hillside Drive",22,5,105,33,23,10,277,475,6
"Naenae","Kindergarten, 19 Seddon Street",3,1,11,4,4,1,45,69,1
,"Maota Samoa Hall, 25 Treadwell Street",10,4,38,16,10,1,220,299,4
,"Naenae School, Wheatley Street",1,2,8,2,3,3,46,65,1
,"Rata Street School, Rata Street",47,14,160,46,35,5,669,976,12
"Parkdale","Birchville School, Gemstone Drive",27,9,248,61,39,21,464,869,5
"Pinehaven","Pinehaven School, Forest Road",14,5,227,43,41,15,312,657,2
"Silverstream","Silverstream School, Whitemans Road",38,18,651,76,43,21,597,1444,15
,"St Margaret's Church Hall, Dunns Road",15,9,331,35,25,12,324,751,5
"Stokes Valley","Jeanette Mullins School of Dancing, Library Building, Scott Court",59,12,406,64,68,24,1023,1656,14
,"Tawhai School, Glen Road",12,6,182,18,26,13,298,555,6
,"Tui Glen School, Stokes Valley Road",21,3,153,26,28,10,383,624,2
,"Uniting Presbyterian Methodist Church Hall, 346 Stokes Valley Road",43,15,243,35,32,16,518,902,1
"Taita","Avalon Intermediate School, 1041 High Street",32,14,224,51,31,16,604,972,18
,"Pomare School, Partridge Street",15,3,41,32,11,2,435,539,5
,"St Michael's School, Cooper Street",12,2,38,15,8,3,314,392,5
,"Taita Central School, Churton Crescent",17,5,61,19,16,5,478,601,15
"Te Marua","Plateau School, Malloys Road",16,5,170,24,15,16,263,509,5
"Totara Park","Totara Park School, California Drive",51,15,470,73,33,38,810,1490,12
"Trentham","Brentwood School Hall, Brentwood Street",20,2,194,52,23,11,393,695,10
,"Masonic Centre, Islington Street",14,4,138,10,23,14,304,507,2
,"Trentham School, Moonshine Road",47,16,436,76,38,20,725,1358,8
"Upper Hutt","Evans Building, Logan Street",13,4,172,29,18,13,343,592,6
,"Fraser Crescent School, Redwood Street",25,4,322,56,30,19,515,971,10
,"Oxford Crescent School, Oxford Crescent",36,6,276,50,25,18,522,933,10
,"St Hilda's Church Hall, 35 Cruickshank Road",25,11,228,34,28,13,319,658,12
,"St Joseph's Scout Hall, Royal Street",25,8,182,20,18,8,395,656,10
,"Wesley Centre (St David's Hall), 1 Benzie Avenue",35,9,287,52,26,25,524,958,8
"Wallaceville","Baptist Church Hall, Milton Street",20,9,188,42,21,16,380,676,4
,"Heretaunga College, Ward Street",31,10,271,67,43,19,569,1010,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Hospital Votes",26,3,207,27,11,1,385,660,28
,"Ordinary Votes BEFORE polling day",63,14,625,114,49,19,989,1873,6
,"Special Votes BEFORE polling day",8,0,72,13,11,5,189,298,3
,"Special Votes On polling day",65,32,498,90,131,34,981,1831,35
,"Overseas Special Votes including defence force",1,4,129,13,24,3,167,341,4
,"Rimutaka Total",1094,380,10404,1777,1243,549,18681,34128,353
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34481
"Electorate Candidate Valid Votes","Party",,"SWAIN, Paul Desmond - majority 8277"
"FOWLER, David George",New Zealand First Party,1094,.03205579
"KEARNEY, Nigel Bruce",ACT New Zealand,380,.0111345523
"LEDDY, Michael Anthony",National Party,10404,.3048523207
"McCLELLAND, Bernard ",United Future New Zealand,1777,.0520686826
"MORRIS, Michael Charles",Green Party,1243,.0364217065
"REYNOLDS, David John",Independent,549,.0160864979
"SWAIN, Paul Desmond",Labour Party,18681,.5473804501
