Electorate Candidate and Party Votes Recorded at Each Polling Place
"Northland 34","Candidate Vote Details"
,,"CARTER, John McGregor","JOHNSON, Philip Alan","JONES, Shane Geoffrey","LEIDING, Kurt-Martin","SHAW, Michael William","TAYLOR, Melanie Jane","WILSON, David Angus","WOOD, Alan Leonard","Total Valid Candidate Votes","Informal Candidate Votes"
"Ahipara","Ahipara School, Main Road",194,1,117,21,5,4,0,6,348,5
"Arapohue","Arapohue A&P Hall, Mititai Road",117,1,20,1,0,0,4,0,143,0
"Awanui","Awanui School, Main Road",195,2,110,13,3,2,0,5,330,5
"Awarua","Te Hurihi Marae, Mangakahia Road",4,0,11,1,0,0,0,0,16,1
"Baylys Beach","Presbyterian Church Hall, Seaview Road",128,1,41,17,0,2,4,1,194,1
"Broadwood","Broadwood Area School, Main Road",59,2,29,3,1,0,0,1,95,2
"Dargaville","Dargaville Primary School, Portland Street",471,13,218,31,2,11,3,14,763,6
,"Selwyn Park School, 38 Onslow Street",184,2,127,13,1,3,6,0,336,2
,"The Lighthouse Church (Hall), Normanby Street",638,5,268,55,10,18,13,9,1016,9
"Fairburn","Fairburn Hall, Main Fairburn-Peria Road",45,2,29,6,0,0,2,1,85,2
"Herekino","Herekino School, Kaitaia-Awaroa Road",27,0,21,5,3,1,0,0,57,1
"Hikurangi","Hikurangi School, Swan Avenue",118,1,52,14,1,1,0,1,188,3
"Horeke","Horeke School, Horeke Road",11,0,22,4,0,0,0,0,37,1
"Hukerenui","Hukerenui School, 9 Crows Nest Road",152,0,31,8,3,1,1,4,200,0
"Kaeo","Kaeo Primary School, State Highway 10",211,5,155,43,0,1,1,1,417,7
"Kaihu","Kaihu  Hall, Wood Road",124,0,53,10,3,2,1,0,193,1
"Kaikohe","Kaikohe East School, 36 Mangakahia Road",144,1,140,12,7,6,1,4,315,6
,"Kaikohe Intermediate School, 11 Park Road",180,0,175,17,29,5,0,3,409,5
"Kaingaroa","Kaingaroa School, State Highway 10",92,2,52,6,0,1,0,1,154,1
"Kaitaia","Kaitaia College, Redan Road",293,3,213,36,8,3,3,11,570,8
,"Kaitaia Intermediate School, 45 North Road",505,4,359,41,11,16,3,10,949,16
,"Victoria Valley War Memorial Hall, Victoria Valley Road",54,0,16,9,1,1,1,1,83,1
"Kaiwaka","Kaiwaka School, 33 Mangawhai Road",323,3,168,55,3,6,3,14,575,6
"Kamo","Kamo Primary School, 3 Mile Bush Road",16,0,12,2,1,0,0,0,31,0
"Kawakawa","Karetu School, Kura Road",31,0,18,5,0,2,0,0,56,0
,"Kawakawa Primary School, 31-39 Albert Street",218,4,158,21,1,3,2,1,408,4
"Kerikeri","Kerikeri Primary School, Hone Heke Road",1227,4,568,141,22,12,4,41,2019,10
,"Riverview School, Riverview Road",670,3,243,56,8,8,2,24,1014,5
"Kohukohu","Kohukohu Primary School, Beach Road",43,0,75,17,0,0,0,1,136,1
"Mangamuka","Mangamuka School, 37 School Road",10,0,8,1,0,0,0,1,20,0
"Mangawhai","Mangawhai Hall, Mangawhai Road",877,13,359,131,8,4,7,36,1435,10
"Mangonui","Mangonui School, 19 Colonel Mould Drive",465,3,233,51,6,11,1,7,777,12
"Maromaku","Maromaku School, Maromaku School Road",84,0,17,2,1,1,0,1,106,0
"Marua","Marua Hall, Marua Road",47,0,22,1,0,1,2,1,74,5
"Matauri Bay","Matauri Bay School, Wainui Road",38,1,27,6,1,0,0,1,74,1
"Matawaia","Matawaia Kohanga Reo, Matawaia Road",1,0,5,0,0,0,0,0,6,0
"Maungaturoto","Maungaturoto Community Centre, View Street",409,1,207,30,17,34,4,11,713,2
"Maunu","Maunu Primary School, 13 Austins Road",10,0,4,1,0,0,0,0,15,0
,"Whangarei Area Hospital, Maunu Road",11,0,9,2,0,0,0,0,22,0
"Moerewa","Moerewa School, Otiria Road",45,1,112,13,12,0,1,0,184,2
"Ngataki","Ngataki School, Far North Road",24,0,13,2,0,0,0,0,39,0
"Oakura","Oakura Hall, Oakura Road",47,1,41,4,0,0,2,1,96,0
"Ohaeawai","Ohaeawai School, Tennyson Street",99,0,39,12,6,1,0,2,159,3
"Okahu","Mr J Blackwell's Garage, 2081 Mititai Road",26,0,6,0,0,0,1,1,34,0
"Okaihau","Okaihau Primary School, Settlers Way",190,1,92,14,5,7,1,6,316,3
"Omana","Omana Settlers' Hall, Girls High School Road",14,0,1,0,0,0,3,2,20,1
"Omapere","Opononi Area School, 263 State Highway 12",83,1,99,23,4,0,1,1,212,6
"Opua","Opua School, Franklin Street",180,3,118,34,3,1,0,5,344,4
"Opuawhanga","Opuawhanga Hall, North Road",37,2,17,8,1,4,0,3,72,2
"Oromahoe","Oromahoe School, Te Aute Road",48,0,28,5,2,0,0,2,85,1
"Otaika","Lifesway Bible Church, corner Tarewa & Otaika Roads",4,0,2,1,0,0,0,0,7,0
"Paihia","Paihia School, School Road",633,4,246,47,8,6,5,23,972,9
"Pakaraka","Pakaraka School, State Highway 10",122,0,38,9,2,1,0,7,179,4
"Pakotai","Pakotai School, Ruddell Road (off Mangakahia Road)",36,0,7,3,0,0,2,1,49,2
"Pamapuria","Pamapuria School, 6970 State Highway 1",116,1,58,11,1,3,0,1,191,3
"Panguru","Panguru Development Trust Board, Panguru Road",9,0,26,0,0,0,0,0,35,1
"Paparoa","Paparoa School, Franklin Road",369,2,106,27,17,6,9,12,548,2
"Pawarenga","Te Kura o Hata Maria, Te Riha Road",2,0,6,0,0,1,0,0,9,0
