Electorate Candidate and Party Votes Recorded at Each Polling Place
"Dunedin North 8","Candidate Vote Details"
,,"BILLOT, Victor Philip","CLARK, David Scott","CRAWFORD, Julian Lloyd","GEORGE, Peter Don ","McCALLUM, Guy Daniel","NOBLE, Jeremy Kenneth","STANTON TUREI, Metiria Leanne Agnes","WOODHOUSE, Michael Allan","Total Valid Candidate Votes","Informal Candidate Votes"
,"Wakari School, 150 Helensburgh Road",4,579,13,4,1,10,162,492,1265,14
"Warrington","Warrington Primary School, 3 Ferguson Street",2,91,4,2,1,2,51,67,220,3
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Dunedin North",20,1315,31,24,19,12,632,907,2960,54
,"Ordinary Votes BEFORE polling day - Taken in Dunedin South",2,85,4,1,1,5,23,57,178,2
,"Special Votes BEFORE polling day",6,301,14,0,2,2,146,202,673,10
,"Special Votes On polling day",10,967,65,19,24,13,680,959,2737,48
,"Overseas Special Votes including Defence Force",10,170,2,10,1,2,119,114,428,3
,"Dunedin North Total",210,12976,398,176,159,196,5721,9487,29323,448
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",29771
"Electorate Candidate Valid Votes","Party",,"CLARK, David Scott - majority 3489"
"BILLOT, Victor Philip",Alliance,210,.0071616138
"CLARK, David Scott",Labour Party,12976,.4425195239
"CRAWFORD, Julian Lloyd",Aotearoa Legalise Cannabis Party,398,.0135729632
"GEORGE, Peter Don ",United Future,176,.0060021144
"McCALLUM, Guy Daniel",ACT New Zealand,159,.0054223647
"NOBLE, Jeremy Kenneth",Democrats for Social Credit,196,.0066841728
"STANTON TUREI, Metiria Leanne Agnes",Green Party,5721,.1951028203
"WOODHOUSE, Michael Allan",National Party,9487,.3235344269
