Electorate Candidate and Party Votes Recorded at Each Polling Place
"Rangitīkei 42","Candidate Vote Details"
,,"BRANNIGAN, Maree Annette","CLEAVE, Peter ","FITZGERALD, Hayden Brent Richard","McKELVIE, Ian Robert Flockhart","PAGANI, Josephine Jefcoate","ROBERTSON, Ian Michael","SETON, Grant Roderick","TURNER, Charles Peter","Total Valid Candidate Votes","Informal Candidate Votes"
"Aokautere","Aokautere School Hall, 196 Fitzherbert East Road",35,1,3,347,130,17,6,0,539,6
"Apiti","Apiti School, 11 Bryce Street",5,0,2,107,14,1,0,1,130,1
"Ashhurst","Village Valley Community Centre, corner Cambridge Avenue & Guildford Street",119,2,8,673,473,66,4,3,1348,27
"Awahou North","Awahou School, Pohangina Valley East Road",15,1,2,70,38,1,1,0,128,7
"Awahuri","Awahuri Hall, Rural No 1623, State Highway 3, RD6",14,0,3,193,35,5,0,0,250,2
"Bulls","Bulls Scout & Guide Hall, 26 Wilson Street",24,4,2,283,139,16,1,1,470,11
,"Clifton School, 3 Clifton Street",34,3,5,329,148,23,2,2,546,14
"Bunnythorpe","Bunnythorpe School, 5 Baring Street",34,1,9,225,144,20,3,1,437,11
"Cheltenham","Cheltenham School, Cheltenham-Hunterville Highway",6,0,4,104,27,7,0,0,148,3
"Cloverlea","Cloverlea School Hall, 55 Herbert Avenue",4,0,1,19,15,0,0,1,40,1
"Colyton","Colyton School, 421 Colyton Road",23,0,2,217,61,10,3,1,317,7
"Feilding","Feilding Fire Station Lounge, 201 Kimbolton Road",47,0,9,508,263,29,1,3,860,15
,"Feilding Intermediate School, 95 East Street",50,0,5,327,277,15,1,2,677,10
,"Lytton Street School, corner Lytton & Monmouth Streets",62,5,23,481,316,50,2,1,940,27
,"Manchester St School, 160 Manchester Street",81,1,11,841,399,59,3,2,1397,35
,"North Street School, 52 North Street",64,1,4,501,373,37,2,10,992,21
,"St Paul's Presbyterian Parish Hall, corner Church & Grey Streets",61,8,6,623,454,56,6,2,1216,27
"Fordell","Fordell School, Budge Street",2,0,0,23,4,4,0,0,33,1
"Glen Oroua","Glen Oroua School, 200 Sansons Road",9,3,0,203,32,7,1,0,255,5
"Halcombe","Halcombe Primary School, corner Willoughby & Monteith Streets",26,0,4,239,57,12,3,2,343,6
,"Stanway Public Hall, Makino Road",7,0,0,82,15,4,0,0,108,3
"Hikumutu","Hikumutu Community Centre, Hikumutu Road",1,1,0,21,2,2,0,0,27,0
"Himatangi Beach","Community Hall, Koputara Road",20,1,6,100,102,11,1,3,244,10
