Electorate Candidate and Party Votes Recorded at Each Polling Place
"West Coast-Tasman 60","Candidate Vote Details"
,,"AUCHINVOLE, Chris","BIRCHFIELD, Allan John","GRAF, Clyde Waldemar","HAGUE, Kevin  Grant","HOLLEY, Claire Margaret","O'CONNOR, Damien Peter","TERRY, Robert Frank","WILKINSON, Steven Crawford George","Total Valid Candidate Votes","Informal Candidate Votes"
"Ahaura ","Awahono School, 20 Napoleon Street",81,6,2,1,2,28,0,1,121,0
"Appleby ","Appleby School, 19 Moutere Highway, RD1",185,1,0,19,4,132,0,2,343,5
"Arahura","Te Tari O Te Runanga O Ngatiwaewae, 1 Old Christchurch Road (off State Highway 6)",30,1,0,8,1,37,0,3,80,1
"Atarau","Moonlight Hall, Atarau Road",36,1,0,3,1,21,0,2,64,0
"Barrytown","Barrytown School, Cargill Road",29,2,3,7,1,34,0,0,76,1
"Blackball ","Blackball Fire Station, Hilton Street",44,16,5,9,1,80,0,3,158,3
"Blacks Point","Blacks Point Museum, Franklyn Street",17,5,2,0,0,33,0,0,57,1
"Brightwater","Brightwater School, 106 Ellis Street",161,0,4,22,6,99,0,5,297,7
"Bruce Bay","Bruce Bay Hall, State Highway 6",25,0,1,0,0,6,0,1,33,0
"Camerons","Bill Maher Hall, Main South Road",52,8,5,6,4,51,1,0,127,2
"Carters Beach","Carters Beach Hall, Marine Parade",73,2,0,3,3,127,0,1,209,0
"Charleston ","Charleston Hall, corner Darkies Terrace Road & State Highway 6",38,1,2,5,1,34,0,2,83,1
"Cobden ","Bowling Club Rooms, 84a Ward Street",38,7,2,5,6,89,0,0,147,5
,"Cobden School, 53 Fox Street",123,11,8,16,13,272,2,5,450,11
"Collingwood","Memorial Hall, Tasman Street",101,2,6,14,3,112,0,7,245,1
"Dobson ","Paparoa Range School, 8 Herald Street",102,23,2,4,12,98,0,7,248,4
"Dovedale","Dovedale School,  Dovedale Road ",86,0,0,13,4,90,0,5,198,0
"Dunollie","Dunollie St John's Hall, corner Bute & Inverness Streets",41,6,3,8,5,80,1,3,147,8
"East Takaka  ","East Takaka Hall, 420 East Road",24,0,0,6,0,30,0,1,61,0
"Fox Glacier","Community Hall (next to the Department of Conservation), State Highway 6",58,1,1,5,1,30,0,1,97,1
"Foxhill","Lord Rutherford Hall, State Highway 6",122,0,0,13,7,64,1,1,208,6
"Franz Josef","Franz Josef Community Centre, Main Road",61,3,3,22,1,52,0,3,145,2
"Golden Bay ","Aorere Public Hall, Collingwood-Bainham Road",33,0,3,3,0,36,0,2,77,0
"Granity ","Granity School, 83 Torea Street",26,1,2,7,2,82,1,4,125,2
"Greymouth","Blaketown School, 90 Blake Street",120,13,1,7,9,214,0,2,366,15
,"Grey Base Hospital, High Street",46,7,0,8,4,55,1,1,122,3
,"Grey United Tennis Club, Shakespeare Street",215,15,3,8,7,255,1,3,507,11
,"Greymouth Main School, Joyce Crescent",172,6,5,14,3,183,1,3,387,2
,"Karoro Learning Centre, 180 Tainui Street",150,19,3,12,7,190,1,9,391,13
,"Karoro School, Old Library, Main South Road",143,15,5,4,6,114,0,3,290,2
,"Regent Theatre, corner MacKay & Herbert Streets",117,7,3,16,10,145,0,7,305,9
"Haast","Haast Rescue Centre, Pauareka Road",30,1,5,6,1,17,0,0,60,0
,"Haast School, Hannahs Clearing",20,1,1,2,1,9,0,2,36,3
"Hari Hari ","South Westland Area School, 92 Wanganui Flat Road",99,5,17,5,0,38,0,2,166,3
"Hokitika","Church of Christ Hall, corner Sale & Stafford Streets",139,5,8,10,12,157,0,3,334,14
,"Kokatahi-Kowhitirangi School, 35 Upper Kokatahi Road",83,3,1,2,2,31,0,1,123,2
