Electorate Candidate and Party Votes Recorded at Each Polling Place
"Dunedin North 8","Candidate Vote Details"
,,"BILLOT, Victor Philip","CALVERT, Hilary Jane","CRAWFORD, Julian Lloyd","EDWARDS, Mary Lloyd","HODGSON, Peter Colin ","McRAE, Olive Jessie","STANTON TUREI, Metiria Leanne Agnes","WOODHOUSE, Michael Allan","Total Valid Candidate Votes","Informal Candidate Votes"
"Port Chalmers","Port Chalmers School, 30a Albertson Avenue",4,4,4,2,240,3,44,44,345,1
,"Port Otago WIC Building, Beach Street",13,5,5,4,263,1,55,68,414,1
"Queenstown","Memorial Hall, corner Memorial & Stanley Streets",0,0,0,0,7,1,1,9,18,0
"Ravensbourne","Ravensbourne Community Hall, 5 Wanaka Street",11,7,6,5,332,3,70,101,535,7
"Roslyn","Kaikorai Primary School, 22 Tyne Street",8,12,4,7,276,1,68,247,623,5
,"Presbyterian Church Hall, 21 Highgate",5,6,5,6,333,1,53,355,764,5
,"Roslyn Baptist Church, 309 Highgate",8,6,3,4,243,0,67,184,515,9
"Sawyers Bay","Sawyers Bay School, 99 Stevenson Avenue",8,11,7,8,447,6,50,115,652,1
"South Dunedin","Dunedin South Presbyterian Hall, 393 King Edward Street",0,2,1,0,27,0,5,16,51,2
,"Edgar Sports Centre, corner Portsmouth Drive & Teviot Street",0,1,0,0,26,0,5,7,39,0
,"Macandrew Intermediate School, 213 Macandrew Road",0,2,1,0,14,0,6,6,29,0
,"Methodist Church Hall, 11 Wesley Street",0,0,0,0,18,0,2,4,24,0
,"Salvation Army Hall, 190 King Edward Street",2,1,3,0,42,2,9,15,74,1
"St Leonards","King George Hall, 29 St Leonards Road",1,6,2,1,177,0,34,89,310,1
"Waikouaiti","Waikouaiti Primary School, 6 Malloch Street",8,13,7,3,349,2,47,324,753,10
"Waitati","Waitati Primary School, Mt Cargill Road",7,5,8,2,202,4,77,108,413,2
"Wakari","Balmacewen Intermediate School, 44 Chapman Street",4,13,2,5,255,1,40,127,447,3
,"Wakari School, 150 Helensburgh Road",7,21,13,9,629,0,92,392,1163,7
"Warrington","Warrington Primary School, 3 Ferguson Street",4,5,0,0,97,3,36,79,224,0
,"Polling places where less than 6 votes were taken",0,0,1,0,6,0,0,1,8,0
,"Hospital Votes",7,9,3,5,256,1,24,128,433,12
,"Ordinary Votes BEFORE polling day",44,51,44,16,1473,7,372,1012,3019,16
,"Special Votes BEFORE polling day",3,11,14,3,277,2,69,141,520,8
,"Special Votes On polling day",29,50,61,32,1289,4,377,887,2729,25
,"Overseas Special Votes including defence force",12,5,5,4,324,0,74,134,558,4
,"Dunedin North Total",448,573,483,228,17127,105,3611,9972,32547,234
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",32781
"Electorate Candidate Valid Votes","Party",,"HODGSON, Peter Colin  - majority 7155"
"BILLOT, Victor Philip",Alliance,448,.0137647095
"CALVERT, Hilary Jane",ACT New Zealand,573,.0176053092
"CRAWFORD, Julian Lloyd",Aotearoa Legalise Cannabis Party,483,.0148400774
"EDWARDS, Mary Lloyd",United Future,228,.0070052539
"HODGSON, Peter Colin ",Labour Party,17127,.5262236151
"McRAE, Olive Jessie",Democrats for Social Credit,105,.0032261038
"STANTON TUREI, Metiria Leanne Agnes",Green Party,3611,.1109472455
"WOODHOUSE, Michael Allan",National Party,9972,.3063876855
