Electorate Candidate and Party Votes Recorded at Each Polling Place
"Whanganui 60","Candidate Vote Details"
,,"BALL, David","BORROWS, Kerry James","BROUGHAM, Ian","LUCAS, Debbie Ann","MAKUTU, Aaron Nicholas","MILNES, John Ingham","MURCHIE, Malcolm McGregor","PETTIS, Marjorie Jill","Total Valid Candidate Votes","Informal Candidate Votes"
"Kaponga","Kaponga Primary School, 30 Egmont St",6,270,2,0,2,15,1,67,363,3
"Kohi","Public Hall, Kohi Road, RD1 Waverley",0,43,0,0,0,0,0,5,48,0
"Manaia","Manaia Primary School, Karaka St",4,294,4,2,5,13,1,167,490,1
"Mangamahu","Mangamahu Primary School, Kowhai Street",0,32,0,0,0,0,0,13,45,2
"Manutahi","Public Hall, Muggeridge Road",0,59,0,0,0,0,0,11,70,0
"Matapu","Matapu Primary School, 495 Hastings Road, RD15",3,184,0,1,0,3,0,13,204,1
"Maxwell","Maxwell and Districts Pre-School Centre, 1655 SH 3",0,95,0,1,0,7,0,26,129,1
"Mokoia","Mokoia Primary School, 969A Main South Rd, SH 3, RD12",0,86,0,1,0,1,0,14,102,0
"Mosston","Mosston Primary School, 211 Mosston Road",7,156,2,7,3,14,1,125,315,1
"Normanby","Normanby Primary School, 3 Hunter Street",4,352,1,4,6,10,0,119,496,4
"Ohangai","Ohangai Primary School, 1134 Ohangai Road East, RD 12 Hawera",0,69,0,0,0,3,0,12,84,0
"Ohawe Beach","Progressive Hall, Ohawe Terrace",2,56,1,0,3,1,0,23,86,0
"Okoia","Okoia Primary School, No 3 Line, RD 12 Wanganui",1,85,3,3,2,10,3,30,137,2
"Patea","Patea Area School, Kent Street",5,63,0,1,7,2,0,79,157,3
,"Patea Kindergarten, 4 Derby Street",3,105,0,2,10,5,2,125,252,1
,"Whenuakura Primary School, 52 Kaharoa Road, RD 1",0,100,0,0,0,0,0,16,116,1
"Rapanui","Mowhanau Community Hall, 4 - 6 Mowhanau Drive",2,58,0,1,1,2,0,31,95,0
"Upokongaro","Upokongaro Primary School, SH 4, RD3",3,86,0,3,6,7,3,69,177,2
"Waitotara","Waitotara Primary School, Severn Street",1,123,4,1,3,2,0,41,175,1
"Wanganui","Kai Iwi Primary School, SH 3, RD4",3,110,0,1,2,3,0,46,165,0
"Wanganui Aramoho","Aramoho School Hall, 2 Mitchell Street",12,185,9,9,13,23,0,280,531,6
,"Churton School, Burmah Street",8,181,1,9,5,15,4,171,394,6
,"Hylton Hall, 265 Somme Parade",15,260,6,17,10,38,7,431,784,13
"Wanganui Castlecliff","Aranui School, Aranui Avenue",2,76,4,8,15,14,1,159,279,5
,"Castlecliff School Hall, Polson Street",9,170,5,9,20,35,5,477,730,3
,"St Luke's Anglican Church Hall, 34 Manuka Street",1,83,1,9,10,18,3,198,323,1
,"Te Kura O Kokohuia, 36 Matipo Street",4,15,0,3,19,7,4,96,148,2
"Wanganui Central","Keith Street School Hall, Keith Street",23,341,7,18,26,72,10,624,1121,23
,"St Andrew's Hall, Bell Street",8,249,3,4,10,35,3,282,594,8
,"St Andrew's Presbyterian Hall, 42 Glasgow Street",8,141,3,2,5,13,5,148,325,1
,"Wanganui City College Hall, 84 Ingestre Street",16,434,6,4,14,53,5,491,1023,13
"Wanganui Durie Hill","Durie Hill School Hall, 109 Portal Street",13,418,6,10,9,42,4,345,847,8
"Wanganui East","Baptist Church Hall, 54 Nixon Street",42,436,16,24,9,63,7,548,1145,16
,"Wanganui East School Hall, Patapu Street",19,555,15,23,23,66,15,875,1591,12
"Wanganui Gonville","Carlton School Hall, 101 Carlton Avenue",33,446,9,17,13,47,8,642,1215,13
,"Gonville School Hall, Gonville Avenue",17,301,14,7,12,43,6,502,902,14
,"Scout Hall, Swiss Avenue",14,200,7,13,13,24,10,424,705,18
"Wanganui Putiki","Parish Hall, 2 Anaua Street, Putiki",6,108,1,4,11,6,3,120,259,1
"Wanganui Springvale","Faith Community Church, 127 Springvale Road",26,612,10,15,7,33,11,553,1267,6
,"Tawhero School Hall, 27 Totara Street",18,372,6,23,16,34,6,605,1080,12
"Wanganui St John's Hill","St John's Hill School Hall, 71 Parkes Avenue",21,894,3,6,3,53,1,426,1407,13
"Waverley","Waverley Primary School, Gloag Street",4,327,2,6,10,9,0,201,559,14
"Westmere","Westmere Primary School, Rapanui Road, RD4",2,311,2,2,5,18,0,150,490,6
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",3,272,12,5,3,8,9,289,601,29
,"Ordinary Votes BEFORE polling day",31,1037,10,26,19,45,5,669,1842,20
,"Special Votes BEFORE polling day",4,111,4,3,2,9,1,120,254,1
,"Special Votes On polling day",21,618,9,18,37,104,3,575,1385,17
,"Overseas Special Votes including defence force",3,91,2,1,0,13,0,90,200,4
,"Whanganui Total",502,15846,214,371,429,1171,175,13444,32152,376
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",32528
"Electorate Candidate Valid Votes","Party",,"BORROWS, Kerry James - majority 2402"
"BALL, David",United Future New Zealand,502,.0156133367
"BORROWS, Kerry James",National Party,15846,.4928464792
"BROUGHAM, Ian",OneNZ Party,214,.0066558845
"LUCAS, Debbie Ann",Jim Anderton's Progressive,371,.01153894
"MAKUTU, Aaron Nicholas",Mâori Party,429,.0133428714
"MILNES, John Ingham",Green Party,1171,.0364207514
"MURCHIE, Malcolm McGregor",Democrats for Social Credit,175,.0054428962
"PETTIS, Marjorie Jill",Labour Party,13444,.4181388405
