Electorate Candidate and Party Votes Recorded at Each Polling Place
"Invercargill 19","Candidate Vote Details"
,,"CARLINE, Ian Allan","CARSON, Craig William","PLEASANCE, Shane Edward","ROY, Eric Wilbur","SMITH, Maureen","SOPER, Lesley Frances","Total Valid Candidate Votes","Informal Candidate Votes"
"Arrowtown","Arrowtown Primary School, 9 Chalmers Place",0,5,0,40,1,13,59,0
"Bluff","Bluff Community School, 39 Bradshaw Street",4,18,1,111,5,278,417,2
,"St Teresa's School, 181 Foyle Street",2,13,5,76,15,218,329,3
"Brydone","Brydone Hall, 12 Brydone-Glencoe Road",1,1,1,49,0,2,54,0
"Colac Bay","Colac Bay Fire Station, 16 Colac Bay Road",0,2,1,74,0,22,99,0
"Dacre","Dacre Coronation Hall, Edendale-Woodlands Highway",1,1,0,135,1,21,159,1
"Edendale","Edendale School, 24 Salford Street",8,12,0,329,3,105,457,3
"Glenham","Glenham School, 22 Glenham School Road",2,0,0,76,0,8,86,0
"Gorge Road","Gorge Road School, 4 Factory Road",1,4,0,107,0,18,130,0
"Grove Bush","Grove Bush Hall, corner Grove Bush-Woodlands & Tussock Creek-Grove Bush Roads",1,2,0,102,1,11,117,0
"Hedgehope","Hedgehope School, Winton-Hedgehope Highway",1,1,0,86,2,8,98,1
"Invercargill","Ascot Community School, 580 Tay Street",7,46,5,451,6,370,885,7
,"Aurora College, 234 Regent Street",4,23,2,181,3,274,487,2
,"CCS Disability Action Southland, 142 Don Street",4,15,2,93,3,81,198,4
,"Clifton Salvation Army Hall, 109 Wicklow Street",9,25,2,206,7,332,581,3
,"Donovan Primary School, 200 Drury Lane",19,41,3,471,10,346,890,8
,"Eastside Baptist Church, corner Glengarry Crescent & Yarrow Street",4,20,1,227,3,287,542,6
,"Elles Road Bible Chapel, 198 Earn Street",8,66,4,242,6,379,705,9
,"Fernworth School, 288 Pomona Street",12,59,5,364,12,611,1063,10
,"Freedom Community Centre, 85 Adamson Crescent",7,25,1,162,1,163,359,6
,"Gladstone Scout Hall, corner Holywood Terrace & Russell Street",11,22,2,326,2,109,472,4
,"Grasmere Kindergarten, 10 Heywood Street",13,25,7,328,6,214,593,6
,"Holy Trinity Anglican Church Hall, 61 King Street",9,40,1,435,6,329,820,11
,"Invercargill Middle School Hall, 31 Jed Street",4,28,0,247,5,233,517,9
,"Invercargill Public Library, 50 Dee Street",4,42,0,174,2,150,372,2
,"James Hargest College Junior Campus, 6 Layard Street",10,21,2,588,0,231,852,2
,"James Hargest College Senior Campus, 288 Layard Street",4,32,0,360,6,139,541,5
,"Kew Kindergarten, 51 Selwyn Street",2,30,2,122,1,179,336,6
,"Knox Presbyterian Church Hall, 107 Pomona Street",7,44,2,259,7,384,703,13
,"Lindisfarne Kindergarten, 34 Mitchell Street",5,27,3,286,2,229,552,8
,"New River School, 117 Elizabeth Street",7,19,4,143,3,286,462,8
,"Newfield Park School, 82 Wilfrid Street",9,41,1,336,7,346,740,4
,"Rosedale Gospel Chapel, 212 Bourke Street",4,17,1,267,4,170,463,8
,"Salford School Hall, 110 Lamond Street",2,20,1,334,1,153,511,3
,"Southland Girls' High School Hall, 328 Tweed Street",4,53,2,317,11,336,723,13
,"St Andrew's Youth Centre, 141 Manse Street",8,32,5,285,9,393,732,4
,"St John's Girls' School, 349 Dee Street",5,21,4,249,5,186,470,6
,"St John's Parish Hall, 108 Tay Street",1,15,1,98,1,116,232,0
,"St Joseph's School, 70 Eye Street",4,19,0,69,2,113,207,1
,"St Stephen's Church Hall, 290 North Road",17,45,3,657,5,393,1120,11
,"Te Wharekura O Arowhenua, 734 Tweed Street",4,14,0,171,2,186,377,4
,"Waihopai School Hall, 121 Herbert Street",6,42,4,471,0,182,705,2
,"Waverley Park School, 55 Eden Crescent",1,18,0,201,3,135,358,1
,"Windsor Community Church (Presbyterian), 19 Windsor Street",11,34,2,494,10,254,805,10
,"Windsor North School Hall, corner Windsor & Chelmsford Streets",5,26,4,456,3,186,680,3
"Kennington","Kennington Public Hall, 21 Rimu Road",4,5,0,142,0,56,207,0
"Lochiel","Lochiel School, corner Lochiel Bridge & Smith Roads",1,8,0,99,0,6,114,0
"Makarewa","Makarewa School, 56 Flora Road East",13,23,5,438,2,171,652,4
"Mokoreta","Mokoreta-Redan Centennial Hall, 1725 Wyndham-Mokoreta Road",0,1,0,61,0,6,68,1
"Mokotua","Mokotua Public Hall, 12 Clearwater Road",8,1,0,126,1,15,151,0
