Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Tokerau 68","Candidate Vote Details"
,,"DAVIS, Kelvin Glen","HARAWIRA, Hone Pani Tamati Waka Nene","HERBERT, Sheree Dawn","SHORTLAND, Waihoroi Paraone","Total Valid Candidate Votes","Informal Candidate Votes"
,Auckland Central
"Great Barrier Island","Great Barrier Island Community Health Centre, 80 Hector Sanderson Road",3,4,0,4,11,1
,"Okiwi School, Aotea Road",2,2,0,6,10,2
,"Tryphena Mulberry Grove School, Shoal Bay Road",3,3,0,2,8,0
,East Coast Bays
"Albany","Oteha Valley School, corner Oteha Valley Road & Medallion Drive",3,0,1,5,9,0
,"Pinehurst School  75 Bush Road",6,2,0,6,14,2
"Browns Bay","Browns Bay Red Cross Centre, 5 Glencoe Close",6,8,3,4,21,1
,"Browns Bay School, Masterton Road",7,2,0,3,12,1
,"Northcross Intermediate School, 10 Sartors Avenue",7,2,0,5,14,0
,"Pinehill School, corner Hugh Green Drive & Spencer Road",7,8,1,7,23,1
,"Progress Hall, (under Bays Club)  6 Anzac Road",2,0,0,4,6,1
,"Salvation Army East Coast Bays Hall, 5 Bayview Road",4,3,1,4,12,0
"Glenfield","Meadowood Community House, 55 Meadowood Drive (off Unsworth Drive)",10,4,0,6,20,1
,"Target Road Primary School, 80 Target Road",17,14,1,16,48,6
"Long Bay","Long Bay Baptist Church, 282 Glenvar Road",3,3,1,2,9,1
"Mairangi Bay","Rangitoto College, 564 East Coast Road",2,2,0,4,8,1
"Murrays Bay","Murrays Bay Intermediate School, 37 Sunrise Avenue",5,1,1,2,9,1
"Torbay","Glamorgan School, 145 Glamorgan Drive",12,0,1,9,22,2
,"Torbay School, 60 Deep Creek Road",3,6,1,5,15,1
,"Torbay Senior Citizens Club, Torbay Shopping Centre, 37 Watea Road",2,2,3,3,10,1
"Unsworth Heights","Westminster Christian School, 31 Westminster Gardens (off Unsworth Drive)",0,2,2,2,6,0
,Helensville
"Albany","Albany Community Hall, 3/21 Library Lane",10,3,2,12,27,2
,"Albany School, 6 Bass Road",1,2,2,5,10,0
,"Massey University, Gate 4, 82 Turtea Drive",4,3,0,2,9,0
,"Upper Harbour Primary School, 140 Kyle Road",1,1,0,5,7,1
"Coatesville","Coatesville School, 24 Mahoenui Valley Road",5,0,1,1,7,0
"Glenfield","Bayview Primary School, 60 Bayview Road",7,9,1,7,24,1
,"Manuka Road Primary School, 34 Manuka Road",13,13,1,13,40,2
"Greenhithe","Greenhithe School Hall, Isobel Road",6,2,1,11,20,3
,"St Michael's Anglican Church Hall, 12 Greenhithe Road",3,3,0,2,8,1
"Helensville","Helensville Primary School Hall, corner Rata & Garfield Roads",40,38,2,24,104,7
"Herald Island","Herald Island Community Hall, 57 Ferry Parade",1,2,0,2,5,1
"Hobsonville","Hobsonville Primary School, 104 Hobsonville Road",9,3,1,11,24,1
,"Hobsonville Public Hall, 397 Hobsonville Road",12,1,2,3,18,1
"Huapai","Huapai District School Hall, 40 Station Road",6,7,2,4,19,2
"Kaukapakapa","Kaukapakapa Village Hall, 977 Kaipara Coast Highway",13,17,3,15,48,5
"Kumeu","Kumeu Baptist Youth Hall, 21 Access Road",6,5,0,10,21,1
"Muriwai","Muriwai Fire Station, corner Coast & Motutara Roads",5,7,2,4,18,1
"Parakai","Haranui Marae, Haranui Road",4,8,0,2,14,3
,"Parakai School, 10 Fordyce Road",18,22,0,11,51,4
"Paremoremo","Ridgeview School, 1 Cutts Crescent",7,8,0,4,19,0
"Riverhead","Riverhead School, 21 School Road",8,5,0,11,24,2
"Waimauku","Waimauku School, 2 Muriwai Road",22,14,3,19,58,0
"Waitoki","Waitoki School Hall, 1119 Kahikatea Flat Road",3,4,0,3,10,0
"West Harbour","Marina View School, 97-99 Marina View Drive",8,8,2,10,28,0
,"West Harbour Alliance Church, 145 Moire Road",11,7,2,6,26,3
,"West Harbour Primary School, Simich Avenue",38,19,4,12,73,1
,"Westgate Baptist Church, 67 Hobsonville Road",10,8,0,3,21,3
"Whenuapai","Whenuapai School, 14 Airport Road",5,4,0,5,14,0
,"Whenuapai Village Hall, 41 Waimarie Road",4,0,1,2,7,0
,North Shore
"Bayswater","Bayswater School, Bayswater Avenue",21,19,5,19,64,5
"Belmont","Belmont Primary School, 3a Harrison Avenue",2,3,0,1,6,0
"Campbells Bay","Campbells Bay Methodist Church Hall, 218 Beach Road",2,2,1,2,7,0
,"Campbells Bay School Hall, 77 Aberdeen Road",4,1,0,3,8,0
"Castor Bay","Presbyterian Church Hall, corner Seaview Road & Katui Street",1,3,1,4,9,0
"Devonport","Devonport Community House, 32 Clarence Street",16,8,1,11,36,0
,"Devonport Holy Trinity Parish Hall, 20 Church Street",8,2,0,4,14,0
,"Devonport Presbyterian Church Hall, corner Victoria & Albert Streets",5,3,2,7,17,0
"Forrest Hill","Forrest Hill Presbyterian Church Hall, 151 Forrest Hill Road",10,7,1,6,24,3
"Hauraki","Hauraki School, 82 Jutland Road",4,0,2,3,9,0
,"Takapuna Bible Chapel Hall, 13 Jutland Road",6,6,1,8,21,2
,"Takapuna Grammar School, 210 Lake Road",7,4,0,2,13,0
"Mairangi Bay","Mairangi Bay Presbyterian Church Hall, 11 Hastings Road",4,1,1,2,8,3
,"Mairangi Bay School, Galaxy Drive entrance",5,5,0,1,11,0
"Milford","Carmel College, 114 Shakespeare Road",4,2,1,1,8,1
,"Milford Baptist Church Hall, 3 Dodson Avenue",4,3,0,2,9,2
,"Milford School, 34 Shakespeare Road",6,6,1,6,19,1
,"North Shore Hospital, Shakespeare Road",6,2,0,2,10,0
"Narrow Neck","Vauxhall School, Morrison Avenue",5,1,0,4,10,0
"Sunnynook","Sunnynook School, 27 Lyford Crescent",7,11,0,5,23,0
,"Wairau Intermediate School, 113 Becroft Drive",21,15,1,12,49,1
"Takapuna","Takapuna Methodist Church Hall, corner Lake Road & Tennyson Avenue",5,4,1,8,18,2
,"Takapuna Normal Intermediate School, 54b Taharoto Road",5,2,1,0,8,2
,"Takapuna School, 23 Auburn Street (or Anzac Street entrance)",4,2,1,4,11,0
,Northcote
"Beachhaven","Birkdale Beachhaven Ratepayers' Hall, 336 Rangatira Road",63,45,4,28,140,6
,"Maria Assumpta Parish Hall, 198 Beachhaven Road",15,22,2,16,55,0
"Birkdale","Birkdale Intermediate School, 200 Birkdale Road",29,32,4,28,93,1
