Electorate Candidate Votes Recorded at Each Voting Place
"Ilam 18","Candidate Vote Details"
,,"BALLANTINE, Beverley June","BROWNLEE, Gerard Anthony","DANN, James Macbeth","KELCHER, John Michael","STRINGER, John Charles","VEALE, Gareth Rhys","WAKEFIELD, Benita Waina","Total Valid Candidate Votes","Informal Candidate Votes"
"Akaroa","Akaroa Area School Gymnasium, 141 Rue Jolie (Selwyn Avenue entrance)",0,19,4,4,0,0,0,27,0
"Avonhead","Avonhead Kindergarten, 49 Staveley Street",10,297,134,65,17,9,5,537,6
,"Avonhead Primary School Hall, 55 Avonhead Road",8,553,235,108,39,17,6,966,7
,"Merrin School Hall, 41 Merrin Street",6,675,269,117,40,17,4,1128,10
,"Russley School Hall, 75 Cutts Road",1,26,9,7,0,1,0,44,0
,"St Mark's Presbyterian Church, 150 Withells Road",1,190,69,29,4,3,1,297,4
"Bishopdale","Bishopdale School Hall, 465 Greers Road",1,135,111,45,16,3,2,313,1
,"Breens Intermediate School Hall, 85 Breens Road",3,518,252,95,24,8,6,906,10
,"Cotswold School Hall, 44 Cotswold Avenue",6,514,283,101,34,5,5,948,14
,"Isleworth School Hall, 59a Farrington Avenue",1,287,182,83,25,5,7,590,5
,"St Margaret's Church, The Hub, 94 Farrington Avenue",3,337,263,90,44,8,6,751,13
"Bryndwr","St Stephen's Presbyterian Church Hall, corner Ilam & Aorangi Roads",8,272,185,90,24,11,8,598,19
,"Wairakei School Hall, 250 Wairakei Road",10,477,303,142,34,10,11,987,15
"Burnside","Burnside Elim Community Church, 193 Grahams Road",6,278,135,75,17,6,1,518,4
,"Burnside High School, J Block, 151 Greers Road (Memorial Avenue entrance)",7,303,134,68,19,10,4,545,7
,"Roydvale School Hall, 117 Roydvale Avenue",4,390,122,50,30,6,2,604,11
,"St Timothy Church Hall, 46 Kendal Avenue",12,337,178,87,34,10,6,664,4
"Christchurch City","ABC Salisbury Street, 150 Salisbury Street",0,6,3,2,0,1,0,12,0
,"Christchurch Public Hospital, The Great Escape Cafe, First Floor, 2 Riccarton Avenue",1,26,10,10,1,0,2,50,0
,"HMNZS Pegasus, 419 Montreal Street",0,18,7,1,0,0,0,26,0
,"St Michael's Church School Hall, corner Tuam & Durham Streets",0,12,7,2,0,0,0,21,0
"Fendalton","Christchurch Boys' High School, Big Room, Te Kura Street ",6,429,101,73,29,4,3,645,2
,"Fairleigh Kindergarten, 27a Garden Road",1,259,27,40,9,1,2,339,5
,"Fendalton Open Air School Staffroom, 168 Clyde Road",12,788,197,109,27,11,6,1150,10
,"Medbury School Hall, corner Clyde & Creyke Roads",4,325,63,44,9,7,3,455,3
,"St Barnabas Church Hall, corner Fendalton Road & Tui Street",0,452,67,46,14,4,2,585,3
"Harewood","Harewood Playcentre, 719 Harewood Road",0,158,48,23,11,2,2,244,7
"Ilam","Ao Tawhiti Unlimited Discovery, classroom S5, corner Parkstone Avenue & Oak Drive",6,227,96,52,4,10,2,397,4
,"Ilam School Hall, 66 Ilam Road",17,592,263,166,51,28,11,1128,7
,"Westburn School Hall, 257 Waimairi Road",11,684,326,175,38,33,8,1275,23
"Merivale","Heaton Normal Intermediate School Hall, 125-133 Heaton Street",11,386,64,58,14,3,4,540,6
,"Rangi Ruru Girls' School, Helen Kitson Function Centre, Rhodes Street entrance",8,525,123,102,19,6,10,793,5
"Papanui","Casebrook Intermediate, 90 Veitches Road",0,12,11,2,3,0,0,28,1
,"Northcity Church, 95a Sawyers Arms Road",1,25,6,7,3,0,0,42,1
,"Papanui High School, 30 Langdons Road",1,64,36,18,4,1,0,124,0
,"Paparoa Street School, 120 Paparoa Street",1,49,7,5,1,1,2,66,2
,"St Paul's Anglican Church Parish Hall, 1 Harewood Road",2,220,102,52,17,3,0,396,11
,"The Village Presbyterian Church Hall, corner Papanui Road & Frank Street",0,43,16,8,3,0,0,70,1
,"Waimairi School Hall, 1 Tillman Avenue",4,506,192,145,32,6,1,886,13
"Riccarton","Riccarton Baptist Church Hall, 80 Rattray Street",0,7,5,2,2,1,0,17,1
,"St Ninian's Presbyterian Church Hall, 9 Puriri Street",1,193,82,38,10,4,4,332,5
,"Wharenui School Library, 32 Matipo Street",1,72,27,10,4,4,1,119,2
"Russley","St Stephen's Methodist Church, 378 Yaldhurst Road",0,8,5,0,1,0,0,14,0
"Sockburn","Riccarton Primary School Hall, English Street",0,6,8,4,1,1,1,21,0
"St Albans","Beulah Church, 140 Springfield Road",0,16,4,3,0,1,0,24,0
,"Blind Foundation, 96 Bristol Street",0,14,4,1,0,0,0,19,2
