Electorate Candidate Votes Recorded at Each Voting Place
"Papakura 40","Candidate Vote Details"
,,"CATCHPOLE, Brent Stanley","COLLINS, Judith Anne","CONROY, Caroline Anne","FOWLER, Roger Norman","KENDALL, Anne Marie","MIKA, Jerome","STITT, Kevin Eric","THOMPSON, John Stanley","Total Valid Candidate Votes","Informal Candidate Votes"
"Alfriston","Alfriston School, Performing Arts Centre, corner Mill & Alfriston Roads",52,448,45,2,7,120,50,17,741,18
"Ardmore","Ardmore School Library, 559 Papakura-Clevedon Road",44,239,29,2,7,76,19,8,424,3
"Brookby","Brookby School, corner Brookby & West Roads",4,33,6,0,0,4,0,2,49,0
"Clevedon","Clevedon School, 13-17 North Road",4,73,8,0,1,7,2,1,96,4
"Drury","Drury School Hall, 23-25 Young Crescent",109,765,67,6,10,169,63,14,1203,9
"Hingaia","CCS Buildings, Potter Lounge, 128 Hingaia Road",30,335,22,0,7,64,12,10,480,6
"Karaka","Karaka School Hall, 12 Blackbridge Road ",18,294,19,0,2,40,15,6,394,4
,"Te Hihi School Hall, corner Linwood & Batty Roads",46,390,32,1,3,63,30,6,571,3
"Manurewa","Alfriston College, KT1 Foyer, Alfriston Road entrance",61,394,46,7,13,607,44,17,1189,23
,"Elmwood Village Community Centre, 131 Hill Road",42,184,19,2,0,92,18,5,362,15
,"Finlayson Park School Hall, 87 John Walker Drive",0,1,1,0,0,10,0,0,12,0
,"Greenmeadows Intermediate, Ferguson Road entrance",0,0,0,0,0,9,0,0,9,0
,"Hillpark School Hall, 57 Grande Vue Road",5,53,4,2,0,39,1,1,105,0
,"James Cook High School Hall, 12 Dr Pickering Avenue",9,5,0,4,2,53,0,0,73,0
,"Manurewa Central School, corner Great South & Hill Roads",6,21,3,0,0,44,2,1,77,0
,"Manurewa East School Hall, 10 Scotts Road",5,10,3,0,2,32,0,0,52,1
,"Manurewa Library, 7 Hill Road",17,93,16,2,3,140,11,6,288,6
,"Manurewa South Primary School Hall, 39 Tawa Crescent ",2,4,0,0,0,8,0,1,15,1
,"St Luke's Anglican Church Hall, 3 Russell Road ",2,5,1,0,1,25,2,0,36,1
,"The Gardens School Hall, 101 Charles Prevost Drive",72,697,77,4,8,258,61,20,1197,9
"Papakura","Community Hall, 18 Smiths Avenue",7,3,3,2,0,73,2,0,90,1
,"Cosgrove School Hall, 10 Cosgrove Road",135,383,58,6,8,378,24,10,1002,19
,"Kelvin Road School Hall, 74 Kelvin Road",95,182,38,4,5,255,24,4,607,10
,"Kereru Park Campus, 58 Beach Road",55,212,30,1,4,144,22,5,473,3
,"Nga Puawai O Wikitoria Te Kohanga Reo, 32 Old Wairoa Road",49,92,15,4,8,108,6,4,286,0
,"Opaheke School Hall, 12a Tasman Drive",109,406,60,3,2,254,58,9,901,17
,"Papakura Anglican Church Hall, 40 Coles Crescent",75,331,46,0,3,210,19,9,693,15
,"Papakura Central School, Rooms 15 & 16, 23 Ray Small Drive",134,617,58,4,4,285,49,15,1166,16
,"Papakura District Court, corner Great South Road & Wood Street",90,304,57,2,6,267,20,10,756,9
,"Papakura High School Hall, 11 Willis Road",99,236,51,3,11,314,15,3,732,14
,"Papakura Normal School Hall, Walters Road entrance",117,462,68,4,7,427,37,19,1141,9
,"Red Hill School Hall, 54 Redcrest Avenue (Mack Place entrance)",65,174,28,3,2,172,28,6,478,3
,"Rosehill Intermediate School Hall, 5 Jupiter Street",66,251,27,3,1,257,30,8,643,8
"Patumahoe","Patumahoe School, 38 Patumahoe Road",6,42,3,0,0,3,2,2,58,0
"Ramarama","Ramarama School, 126 Ararimu Road",10,71,8,2,0,16,10,1,118,0
"Takanini","Conifer Grove School Hall, 70 Walter Strevens Drive",173,867,81,10,10,370,46,16,1573,22
,"Takanini Community Church Hall, 160 Great South Road",39,132,26,2,3,163,16,7,388,13
,"Takanini School Hall, 39 Takanini School Road ",53,221,28,11,5,367,26,5,716,7
"Wattle Downs","Clayton Park School Hall, 187 Coxhead Road (Wattle Farm Road entrance)",144,518,59,3,10,414,64,11,1223,20
,"Reremoana School Hall, 15 Scotsmoor Drive",68,481,49,1,3,203,43,18,866,11
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",933,3970,300,42,48,2582,295,79,8249,138
,"Special Votes BEFORE polling day",84,410,61,12,6,445,26,17,1061,16
,"Special Votes On polling day",221,993,199,16,25,838,92,33,2417,42
,"Overseas Special Votes including Defence Force",19,186,39,4,2,64,8,6,328,3
,"Papakura Total",3374,15588,1790,174,239,10469,1292,412,33338,499
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33837
"Electorate Candidate Valid Votes","Party",,"COLLINS, Judith Anne - majority 5119"
"CATCHPOLE, Brent Stanley",New Zealand First Party,3374,.1012058312
"COLLINS, Judith Anne",National Party,15588,.4675745396
"CONROY, Caroline Anne",Green Party,1790,.0536924831
"FOWLER, Roger Norman",MANA Movement,174,.0052192693
"KENDALL, Anne Marie",Māori Party,239,.0071689963
"MIKA, Jerome",Labour Party,10469,.3140260364
"STITT, Kevin Eric",Conservative,1292,.0387545744
"THOMPSON, John Stanley",ACT New Zealand,412,.0123582698
