Electorate Candidate Votes Recorded at Each Voting Place
"Helensville 15","Candidate Vote Details"
,,"BRIGHT, Penelope Mary","DOUGHERTY, Deborah Shay","GRAHAM, Kennedy Gollan Montrose","HADDOCK, Corie Jon","HARRÉ, Laila Jane","KEY, John Phillip","PIRRIE, Phelan Michael","WHYTE, Brendan Richard","Total Valid Candidate Votes","Informal Candidate Votes"
,"Overseas Special Votes including Defence Force",6,10,143,86,48,373,1,1,668,2
,"Helensville Total",420,963,4433,4425,1315,22720,302,74,34652,208
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34860
"Electorate Candidate Valid Votes","Party",,"KEY, John Phillip - majority 18287"
"BRIGHT, Penelope Mary",Independent,420,.0121205125
"DOUGHERTY, Deborah Shay",Conservative,963,.0277906037
"GRAHAM, Kennedy Gollan Montrose",Green Party,4433,.1279291239
"HADDOCK, Corie Jon",Labour Party,4425,.127698257
"HARRÉ, Laila Jane",Internet Party,1315,.0379487475
"KEY, John Phillip",National Party,22720,.6556620109
"PIRRIE, Phelan Michael",ACT New Zealand,302,.0087152257
"WHYTE, Brendan Richard",Independent,74,.0021355189
