Electorate Candidate and Party Votes Recorded at Each Polling Place
"Hamilton West 14","Candidate Vote Details"
,,"CURTIS, Robert Ashmore","GREGORY, Patricia Sally Jane","GUDGEON, William Mulligan","MACINDOE, Timothy Harley","MORONEY, Suzanne Mary","PORT, Leslie David","WIKIRIWHI, Timothy Denis","Total Valid Candidate Votes","Informal Candidate Votes"
"Chartwell","Chartwell Cooperating Parish Hall, corner Comries Road & Belmont Avenue",1,1,1,22,13,0,0,38,1
,"Hukanui School, corner Hukanui Road & Pickering Crescent",1,1,1,29,11,0,0,43,0
"Claudelands","St Aidans Parish Hall, 24 Thames Street",0,3,0,24,26,0,0,53,0
"Deanwell","Deanwell School, 49 Deanwell Avenue",10,30,39,408,494,0,2,983,29
"Dinsdale","Aberdeen School, 48-62 Aberdeen Drive",3,62,87,1213,696,9,7,2077,36
,"St Clare's Co-operating Parish Hall, 97 Tuhikaramea Road",5,21,43,291,220,3,1,584,14
"Forest Lake","Forest Lake School, 59 Storey Avenue",5,31,32,556,391,2,3,1020,16
"Frankton","Frankton School Hall, 206 Massey Street",0,29,90,672,704,7,5,1507,35
,"Rhode Street School, 7 Rhode Street",4,18,39,216,304,1,0,582,12
,"St Columba Parish Hall, 50 Rifle Range Road",7,32,39,326,288,1,2,695,12
,"Westside Presbyterian Church Hall, 11 King Street",1,11,12,241,197,3,0,465,7
"Glenview","Glenview Primary School, Bruce Avenue",5,37,38,693,523,0,2,1298,16
"Hamilton City","Hamilton City Council, Garden Place",4,11,13,199,183,2,1,413,8
"Hamilton East","Hamilton East Primary School, Dawson Street",0,0,1,16,14,0,0,31,2
,"Knox Presbyterian Hall, 48 Albert Street",0,1,0,15,14,2,1,33,1
,"Marian Catholic School, 119 Firth Street",0,0,0,27,14,0,0,41,1
"Hamilton West","Hamilton West School, 36 Hammond Street",7,27,26,701,502,2,8,1273,31
,"Waikato Hospital, Fracture Clinic reception, Pembroke Street",1,5,8,107,95,1,0,217,12
"Hillcrest","Hillcrest Normal School, 218 Cambridge Road",1,0,2,12,8,0,0,23,1
,"Knighton Normal School, Knighton Road",1,1,2,10,17,0,0,31,1
"Koromatua","Koromatua School, 355 Koromatua Road",0,1,4,38,11,1,0,55,0
"Maeroa","Maeroa Intermediate School, 57 Churchill Avenue",5,11,27,361,307,3,7,721,12
"Melville","Melville Intermediate, 29 Mountview Road",5,9,18,188,254,0,1,475,12
,"Melville Methodist Church Hall, corner Bader Street & Normandy Avenue",11,26,49,375,495,1,5,962,25
,"Melville Primary School, 101 Ohaupo Road",2,17,32,295,293,1,1,641,22
"Nawton","Crawshaw School, Crawshaw Drive",1,8,13,122,247,3,2,396,19
,"Hamilton's Fraser High School, 72 Ellicott Road",7,21,14,395,244,2,0,683,17
,"Nawton School, 58 Livingstone Avenue",3,36,59,395,496,3,5,997,29
,"St Marks Hall, corner Dominion Road & Breckons Avenue",8,32,44,550,594,2,3,1233,31
"Pukete","Pukete School, 100 Pukete Road",8,14,20,660,345,1,7,1055,21
,"Te Rapa Primary School, 63 Ashurst Avenue",1,14,27,497,249,3,2,793,6
"Raglan","Raglan Town Hall, 41 Bow Street",0,0,5,19,10,0,0,34,1
"Rotokauri","Rotokauri School, 462 Rotokauri Road",2,14,10,411,91,1,1,530,4
"Rukuhia","Rukuhia School Hall, Rukuhia Road",0,1,4,27,10,0,0,42,0
"St Andrews","All Saints Hall, corner Cecil Street & Sandwich Road",5,19,37,747,336,3,2,1149,19
,"St Andrews Middle School, 90 Heath Street",1,17,27,343,229,2,1,620,18
,"Vardon School, 36 Cunningham Road",2,8,39,655,352,1,2,1059,17
"Te Kowhai","Te Kowhai School, 605 Horotiu Road",3,17,25,501,105,1,4,656,14
"Templeview","Church College of New Zealand, Reception Foyer, 435 Tuhikaramea Road",1,14,101,129,84,1,2,332,5
"Whatawhata","Whatawhata School, 9 Kura Street ",1,16,8,273,84,0,1,383,10
"Whitiora","Whitiora School, 38 Willoughby Street",2,13,13,296,223,0,5,552,19
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Hamilton East",1,12,26,434,177,2,4,656,11
,"Ordinary Votes BEFORE polling day - Taken in Hamilton West",16,48,112,1593,1116,4,15,2904,70
,"Ordinary Votes BEFORE polling day - Taken in Taranaki-King Country",0,0,0,3,2,0,0,5,1
,"Special Votes BEFORE polling day",3,1,10,44,64,0,1,123,2
,"Special Votes On polling day",14,48,96,1335,970,6,12,2481,57
,"Overseas Special Votes including Defence Force",1,6,1,123,67,1,0,199,3
,"Hamilton West Total",159,744,1294,16587,12169,75,115,31143,680
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",31823
"Electorate Candidate Valid Votes","Party",,"MACINDOE, Timothy Harley - majority 4418"
"CURTIS, Robert Ashmore",Independent,159,.0051054812
"GREGORY, Patricia Sally Jane",Conservative Party,744,.0238897987
"GUDGEON, William Mulligan",New Zealand First Party,1294,.0415502681
"MACINDOE, Timothy Harley",National Party,16587,.5326076486
"MORONEY, Suzanne Mary",Labour Party,12169,.390745914
"PORT, Leslie David",Democrats for Social Credit,75,.0024082458
"WIKIRIWHI, Timothy Denis",Independent,115,.0036926436
